jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Account Assistant / Executive,Aspire Group of Services,Lucknow,0-2years,150000 - 250000 INR,Male / Female both can apply. |  Freshers are also welcomed. |  Location - Lucknow |  Age - 21 yr to 35 yr |,AccountAssistant|AccountExecutive|
Account Assistant,Haresh Agencies,MumbaiCity,3-5years,240000 - 280000 INR,"Reputed authorized dealers of M/S HPCL since 1968, requires Account Assistant having operational knowledge of Book-keeping Entries, M S Office, and Banking. S/he should have a minimum of 2 to 3 years of experience  post his/her graduation.","Accounts|""BankReconciliation""|""DataEntries""|""accountsassistant""|Accounting|AccountsExecutive|Accountant|""FocusSoftware""|""WingsSoftware""AssistantAccountant""|Tally|"
Account Assistant,Esther Jeevitha (Proprietor of Morgan Techno India),Surat,1-6years,250000 - 450000 INR,Requirement for the post of Account Assistant.,Accounting|Taxation|GeneralLedger|AccountsExecutive|AccountsPayable|Auditing|F&A|Finance|AccountAssistant|JuniorAccountant|
"Accountant , Account Assistant Fresher/Experience",Cee Engineering Private Limited,Chennai,1-4years,229999 - 520000 INR,"CONTACT SANDHIYA 9043901682 |  We are urgently hiring ACCOUNTANT. Administering payrolls and controlling income and expenditure. Auditing financial information. compiling and presenting reports, budgets, and financial statements. Free food.",Accountant|Accountassistant|FinanceExecutive|Tally|
Accounts Executive Account Assistant  Accounts Head,Os Consultancy,Pune,1-10years,180000 - 370000 INR,"Hi,We are looking for Accounts executive Good communication Executive/ Manager/ Asst manager to handle Accounting, TDS, GST, Income tax,   |   Tally, Tally Erp9,Tally Erp, |   Batch : B.com, M.COM, |   EXP 2 TO 10 YEARS, |   SALARY 18 K TO 35 K, |     (HR 7066472312) |    |",Accountant|Accountassistant|AccountsExecutive|AccountsOfficer|AccountsManager|SeniorAccountant|Tally|
Account Assistant,C A. Galiakotwala And Company Private Limited,Pune,3-4years,250000 - 300000 INR,"Candidate should have knowledge of Tally ERP9, MS-Office, PF, ESIC, TDS Return Filling and GST Return filling",TallySoftware|VoucherBooking|Taxation|MsExcel|
"Accountant , Account Assistant Fresher/Experience",Vitalhunt Global Solutions Private Limited,Chennai,1-4years,229999 - 520000 INR,"CONTACT 9043901682 |  We are urgently hiring ACCOUNTANT. Administering payrolls and controlling income and expenditure. Auditing financial information. compiling and presenting reports, budgets, and financial statements. Free food and accommodation.",Accountant|Accountassistant|FinanceExecutive|Tally|
Account Assistant,I Square Consultancy,MumbaiCity,2-7years,190000 - 229999 INR,"A leading Electrical and Automation company in Marine Lines , Mumbai is presently hiring graduate with 2/4 years experience in Tally Accounting as Account Assistant |   |  Key Skills : B.Com with 3 year experience in Tally and GST  |   |  Holiday : Sunday",TallyAccountant|Billing|Accounting|Invoicing|Tds|Tax|BankReconciliation|GeneralLedger|PurchaseOrder|Materials|Vendor|QuotationHandling|
JR. Accountant / Account Assistant / Accountant,Atz Properties,Mumbai|MumbaiCity,0-3years,Not Specified,"Accounts Payable, Accounts Receivables, Invoices, Petty Cash, Creditors payment management, GST, Indirect Taxes.",Accountant|FinanceExecutive|GeneralLedger|voucherentries|Payables/Receivables|Invoices|Creditorspayment|PettyCash|Tally|
Accounts Executive -Bavala,Magna India Services,Ahmedabad,1-6years,100000 - 180000 INR,Job Type : Full Time |  Job Role : Accountant |  Hiring Process :Telephonic Interview |  Who can apply : Experienced (1+ Yeasrs)Experience: 1+ Years |  Location:  Bavala,Accountant|Accountassistant|FinanceExecutive|Tally|
URGENT OPENING FOR ACCOUNT ASSISTANT IN MALDIVES,Perfect Personnel,Maldives,4-7years,Not Specified,Looking for Account Assistant for Maldives |  Salary 500 USD,SalesAndMarketing|Quickbook|experiencemusthave|
Senior Accountant,Freelancer - Purushottam Munjajirao Dhutraj,Bengaluru/Bangalore,3-5years,200000 - 300000 INR,Urgent requirement for Senior Accountant,Accountant|Accountassistant|SeniorAccountant|
Account Assistant (Freshers) Job In Delhi,Source Creative,Delhi,0-2years,150000 - 250000 INR,Account Assistant,AccountAssistant|AccountExecutive|Accountant|AccountOfficer|Secretary|JuniorAccountant|
"Accounts Officer , pimpri",Magna India Services,Pune,3-6years,Not Specified,Monitor and maintain the accounts for daily Purchases & sales cash transactions in Tally Erp. |   ➢ Maintain journal ledger and all books of accounts up to Final accounts & Balance sheet. |   ➢ Perform internal audits and submit detailed recommendations to m,Account|AccountsExecutive|AccountAssistant|AccountOfficer|Accountant|JuniorAccountant|JR.Accountant|
Junior Account Manager Junior Civil Engineer Junior Analyst Account Assistant,Os Consultancy,Hyderabad/Secunderabad|Mumbai,1-11years,1660000 - 3629999 INR,Junior account managers provide assigned customers and sales teams with assistance.,JuniorAccountManager|JuniorAnalyst|AccountAssistant|Secretary|JuniorAccountant|AccountOfficer|Accountant|SR.Accountant|AccountExecutive|JR.Accountant|
Urgent Opening for Account Assistant in Bhosari.,AFIA Insurance Brokerage Services LLC,Pune,0-2years,Not Specified,"Urgent Opening for Account Assistant in Bhosari. |  Position: Account Assistant |  Qualification: BCOM, BA, MCOM |  Gender: Male/Female |  Experience: 0 to 2 year |  Location: Bhosari",Accountant|Tally|
Account Assistant Job For Freshers,Aspire Group of Services,Hyderabad/Secunderabad,0-2years,150000 - 250000 INR,Account Assistant,AccountAssistant|AccountExecutive|Accountant|Secretary|
Account Assistant,Biz Industries,MumbaiCity,3-8years,180000 - 300000 INR,"A well known Manufacturing company in Malad is presently hiring Male candidate for the position of Account Assistant . |   |    |   |  Desired Candidate : |   |  Male ,graduate residing around Malad , Mumbai |   |  3 years experence in Tally Billing",TallyAccountant|Billing|Invoicing|Gst|Ewaybill|Tds|Taxation|BalanceSheet|Reconciliation|GeneralLedger|Profit&Loss|TrialBalance|CreditNote|JournalEntry|PaymentReconciliation|Tally|
Account Assistant-Immediate Opportunity-Work from home,Biz Industries,Remote,1-6years,Not Specified,"We are looking for a driven, experienced and dynamic Account Assistance for our growing accounts team who are interested in home-based job and equipped for job matching the UAE standard business working days and working hours.",account|Ap|accountpayable|
Urgent Requirement- Senior Accountant/ Accountant,Biz Industries,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-4years,350000 - 550000 INR,We are urgently looking for a Dynamic & Pro Active Candidate in Accounts,Accountant|AccountsExecutive|Accountassistant|FinanceExecutive|
