jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Accounts Executive,Cadd School Private Limited,Chennai,1-4years,150000 - 200000 INR,Experience- 1-4 |  Wanted immediate joiners only. |  Job location: Vadapalani |  No of openings: 1,TallyErp|TaxDeductedAtSource(Tds)|AccountingStandards|
Accounts Executive,Sharp Facility,Bengaluru/Bangalore|Hyderabad/Secunderabad,2-5years,420000 - 720000 INR,We are hiring ........,Accountant|AccountsExecutive|Accountassistant|FinanceExecutive|AccountsManager|Gst|Taxation|Auditing|SeniorAccountant|Tally|
Accounts Executive / Accounts Head,Aspire Group of Services,Pune,1-10years,220000 - 440000 INR,"We Have a urgent Job Opening For Accounts Executive |  Qua – B.Com / M.Com / MBA |  Gender - Male / Female |  Experience : 1 to 7 |  Should have knowledge of TDS, Returns, GST. |  Job location - Bhosari, chakan, Pune |  Salary Depend on the interview |  8624006464",AccountsExecutive|AccountsAssistant|AccountsManager|FinanceExecutive|
Accounts Executive,Vitalhunt Global Solutions Private Limited,Lucknow,0-1years,160000 - 260000 INR,Preparing Financial statements and other reports from base records for different organizations. |  Ensure accountability for all activities income,AccountsExecutive|Accountant|AccountsAssistant|AccountsOfficer|FinanceExecutive|FinanceAccounts|AccountsManager|Tally|
Accounts Executive -Bavala,Lakshya,Ahmedabad,1-6years,100000 - 180000 INR,Job Type : Full Time |  Job Role : Accountant |  Hiring Process :Telephonic Interview |  Who can apply : Experienced (1+ Yeasrs)Experience: 1+ Years |  Location:  Bavala,Accountant|Accountassistant|FinanceExecutive|Tally|
Accounts Executive Accountant,Ultra Media & Entertainment Private Limited,Mohali|Chandigarh,0-3years,120000 - 280000 INR,Full time office based job. Good Knowledge of Tally and Excel.,Accountant|Accounts|Gst|Tds|AccountsTally|tally|Excel|Erp|
Accounts Executive Account Assistant  Accounts Head,Aspire Group of Services,Pune,1-10years,180000 - 370000 INR,"Hi,We are looking for Accounts executive Good communication Executive/ Manager/ Asst manager to handle Accounting, TDS, GST, Income tax,   |   Tally, Tally Erp9,Tally Erp, |   Batch : B.com, M.COM, |   EXP 2 TO 10 YEARS, |   SALARY 18 K TO 35 K, |     (HR 7066472312) |    |",Accountant|Accountassistant|AccountsExecutive|AccountsOfficer|AccountsManager|SeniorAccountant|Tally|
"Accounts & Finance Executive, Accounts & Finance Manager",Orissa Doot Private Limited,Mumbai|Pune,0-5years,310000 - 560000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accountant|AccountsExecutive|Accountassistant|AccountsOfficer|FinanceExecutive|AccountsManager|Tally|SeniorAccountant|
"Accounts & Finance Executive, Accounts & Finance Manager",Diraa HR Services,Hyderabad/Secunderabad|Kolkata,0-5years,350000 - 650000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accounts&FinanceExecutive|Accounts&FinanceManager|Accounting|AccountsExecutive|
Accounts Executive / Sr. Accounts Manager,3 Point Human Capital Private Limited,Mumbai,3-5years,Not Specified,Looking out for candidates having immense knowledge in accounts and finance. Having hands on experience in tally and good knowledge in MS Excel,AccountsExecutive|Tds|Vat|AccountsTally|Accountant|Payable|ReceivablesAndPayables|BankReconciliation|BalanceSheet|Reconcilliation|AccountsPayable|PowerPoint|Tally|Erp|MsExcel|
Finance & Accounts executive,Hopes Technology,Lucknow,Fresher,240000 - 310000 INR,"Skill and Competencies |   |  Well versed with Accounting standards, MS Excel & modelling |  Good presentation and communication skills to deal with top management |  Analytical skills to present insights to management on the business |",Finance|AccountsExecutive|Account|Banking|Taxation|Tax|AccountsAssistant|Tally|
Accounts Executive,Sapna Manish Sharma (Proprietor Of JBM India),Bhubaneswar,0-3years,Not Specified,|  Opening for Accounts Executive in Bhubaneswar Location,AccountsExecutive|Accountant|AccountsAssistant|FinanceExecutive|FinanceAccounts|
Accounts Executive,Comfyi Solution,Chennai|Coimbatore,0-5years,Not Specified,immediate openings for accounts executive,AccountsExecutive|Accountant|FinanceExecutive|
Accounts Executive,TechEra IT Consulting Private Limited,Chennai,1-3years,Not Specified,Opening for Accounts Executive-Chennai ( Kolathur),Accountant|AccountsExecutive|Accountassistant|AccountsOfficer|FinanceExecutive|Tally|SeniorAccountant|
Accounts Payable Executive - P2P,Disha Recruitment Services,Bengaluru/Bangalore|Chennai,5-8years,600000 - 1050000 INR,We have a opening for Accounts Payable - P2P,O2c|OrderToCash|P2p|CashApplication|R2rom|travelexpenses|nonpo|VendorMaster|VendorDevelopment|SourcingVendor|Accounting|Finance|GeneralLedger|AccountsExecutive|
Accounts Executive/Accounts manager. fresher/experience,Aspire Group of Services,Chennai,0-5years,440000 - 860000 INR,"CT.KAVITHA.7397309985.we are urgently requirement wanted for fresher or experience. overseeing accounts, ledgers, reporting system ensuring compliance with appropriate. exposure in accounts payable accounts, receivables.",Accounting|Taxation|Finance|GeneralLedger|AccountsExecutive|Auditing|ManagerOperations|MarketingManager|
Accounts & Finance Executive,Aspire Group of Services,Hyderabad/Secunderabad,0-1years,150000 - 250000 INR,Requirement for Accounts & Finance Executive.,Accounts&FinanceExecutive|Accounts&Finance|
Job opportunity for Accounts Executive in Mohali,Balaji Placement Service,Mohali,1-2years,200000 - 240000 INR,"Designation- Accounts Executive |   Location- Sector-82 ,Mohali |   Industry - Real Estate |   Experience 1-2 yrs |   Salary up to 20 k",AccountsExecutive|Accountant|Accounting|Ledger|BookKeeping|GeneralAccounting|Tds|Vat|StatutoryCompliance|Reconciliations|Taxation|ScrutinyOfLedger|Gst|
Accounts Receivable Executive,Esther Jeevitha (Proprietor of Morgan Techno India),Chennai,3-6years,Not Specified,"Maintain accurate records of all accounts Receivable transactions,  |    Working knowledge of AR concepts,",AccountsReceivableExecutive|accountsReceivabletransactions|ARconcepts|Ap|Mis|accountingprinciple|AccountReceivable|Ar|Gl|
