jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Accounts & Finance Manager,Q Visas Immigration,Canada,2-7years,4140000 - 6040000 INR,"Finance Manager, Accounts manager plan, organize, direct, control and evaluate the operation of financial and accounting departments. They develop and implement the financial policies and systems of establishments.",FinanceManager|AccountsManager|FinanceExecutive|FinancialController|FinanceAccounts|Accountant|AccountsManager|AccountsOfficer|AccountsHead|
Accounts & Finance Manager,Shalitin Immigrations LLP,Canada|Singapore,2-5years,450000 - 550000 INR,"UP TO 80% SPONSORSHIP PROVIDED BY EMPLOYERS END. |   |  Prepares monthly statements by collecting data; analyzing and investigating variances; summarizing data, information, and trends. |  Prepares state quarterly and annual statements by assembling data. |",Accounting|Taxation|AccountsExecutive|GeneralLedger|Auditing|FinanceManager|
Manager Accounts,Africure Pharmaceuticals India Private Limited,MumbaiCity,5-7years,Not Specified,Responsibility and accountability of all the finance and accounting functions,ManagerAccounts|
"Accounts & Finance Executive, Accounts & Finance Manager",Ultra Media & Entertainment Private Limited,Hyderabad/Secunderabad|Kolkata,0-5years,350000 - 650000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accounts&FinanceExecutive|Accounts&FinanceManager|Accounting|AccountsExecutive|
Accounts Executive / Sr. Accounts Manager,JDC Recruitment Services,Mumbai,3-5years,Not Specified,Looking out for candidates having immense knowledge in accounts and finance. Having hands on experience in tally and good knowledge in MS Excel,AccountsExecutive|Tds|Vat|AccountsTally|Accountant|Payable|ReceivablesAndPayables|BankReconciliation|BalanceSheet|Reconcilliation|AccountsPayable|PowerPoint|Tally|Erp|MsExcel|
"Accounts & Finance Executive, Accounts & Finance Manager",JDC Recruitment Services,Mumbai|Pune,0-5years,310000 - 560000 INR,"Accounts & Finance Executive, Accounts & Finance Manager",Accountant|AccountsExecutive|Accountassistant|AccountsOfficer|FinanceExecutive|AccountsManager|Tally|SeniorAccountant|
Accounts Receivable,Tapi Prestressed Products Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-7years,450000 - 700000 INR,Billing invoice generation. |  Billing invoice processing |  Booking incoming payments & allocation to appropriate invoices. |  Customer account reconciliation |  Customer master data creation,AccountsReceivable|AccountsPayable|GeneralLedger|Payable|CashApplication|Ar|
Accounts Manager,Hopes Technology,Ahmedabad|Kolkata,6-11years,700000 - 1200000 INR,"Responsible for complying accounts, preparation of trial balance, annual accounts closing and finalization. |  Reviewing the financial performance on monthly basis. |  Prepare monthly MIS.",AccountsManager|FinanceManager|AccountsOfficer|Accountant|AccountsExecutive|AccountsHead|CharteredAccountant|Finance|
Accounts Manager,Sigma Consultancy Services,Pune,5-10years,Not Specified,"Developing budgets,Legal compliance(Returns company/ individuals, taxation especially GST)",AccountsManager|Accounting|Finance|Budgeting|financialreporting|auditmanagement|LegalCompliance|Tally|
Accounts Executive/Accounts manager. fresher/experience,C A. Galiakotwala And Company Private Limited,Chennai,0-5years,440000 - 860000 INR,"CT.KAVITHA.7397309985.we are urgently requirement wanted for fresher or experience. overseeing accounts, ledgers, reporting system ensuring compliance with appropriate. exposure in accounts payable accounts, receivables.",Accounting|Taxation|Finance|GeneralLedger|AccountsExecutive|Auditing|ManagerOperations|MarketingManager|
Sr Manager - Finance & Accounts,Cynosure Corporate Solutions,Gurgaon/Gurugram,5-10years,700000 - 1500000 INR,'Candidate should have working knowledge ofGST and IND-AS |  Should be computer savvy and working knowledge of MS Office and Oracle11i ERP',Gst|Mis|Finance|Accounting|Taxation|Auditing|GeneralLedger|Oracle|Erp|
Manager Accounts,Roundworld Immigration Private Limited,Delhi|Gurgaon/Gurugram,5-10years,700000 - 1200000 INR,"We are looking for account Lead the Accounts Team, balance sheet finalization and maintain company’s profit & loss account",Ca|Charteredaccountant|Banks|Gst|Auditor&Accountant|
Sr. Accounts Manager.,Aosta Overseas Careers,MumbaiCity,8-15years,Not Specified,Looking for Sr. Accounts Manager.,Ca|Taxation|Accountant|Icwa|tally|SeniorAccountant|SeniorAccountsManager|
Accounts Manager,Kannappan Iron and Steel Company Private Limited,Chennai,3-7years,Not Specified,"As an Accounting Manager, you will supervise, monitor and evaluate all day-to-day accounting activities. ... In addition, you will be establishing financial status by developing and implementing systems for collecting, analyzing,verifying and report.",AccountsPayable|Accountsreceivable|Taxation|Tally|
Key Accounts manager - Payment Services,Diraa HR Services,Bengaluru/Bangalore,5-10years,Not Specified,Key Account Management - where need to manage the Payment Service Providers.,KeyAccountManager|KeyAccountManagement|KeyAccountsManager|KeyAccountsManagement|PaymentGateways|
