jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Illustrator,Parul University,Vadodara,0-5years,300000 - 600000 INR,We are looking for a talented Illustrator to create original elements and enviornment for animated videos.,Drawings|Sketches|AdobeIllustrator|AdobePhotoshop|
Fresher Graphic Designer Adobe Photoshop Graphics Designing Freshers Job Delhi NCR,DRPU Software Pvt. Ltd.,Delhi|Noida,0-1years,150000 - 480000 INR,"Hiring Freshers! We are Looking for creative Graphic Designers having good knowledge of Adobe Photoshop Designing for Websites & web portals, Designing Apps GUI & icons etc, Designing Banners Promos & Ads etc for Social Media, Print Media & website.",Freshers|GraphicDesigner|GraphicsDesigning|AdobePhotoshop|AdobeIllustrator|AdobeIndesign|
Graphic Designer,Parul University,Noida,1-3years,100000 - 400000 INR,"Graphic designer with minimum 2 years experience working knowledge of CSS,HTML,adobe software, premier pro and after effect",CorelDraw|AfterEffects|PremierPro|AdobePhotoshop|AdobeIllustrator|HTML|CSS|
Storyboard Artists,Azine Technologies,Vadodara,0-5years,300000 - 420000 INR,We are looking for the storyboard artist who can create a visual representation of the course animation’s narrative and find the most interesting ways to narrate the course content.,StoryBoardWriting|Sketches|Storyboards|AdobeIllustrator|
GRAPHICS DESIGNER,Disha Recruitment Services,Ahmedabad,0-5years,Not Specified,We are urgently looking for Graphic Designer who has designed magazines. The applicant should be very well equipped in Adobe Indesign/Adobe Photoshop/Adobe Illustrator for the same,GraphicDesigner|Illustrator|Freshers|AdobeIndesign|AdobePhotoshop|AdobeIllustrator|
Graphic Designer | 1-3 Years Exp | 15-25 K | JayaNagar,Mind Circus Innovations,Bengaluru/Bangalore,1-5years,180000 - 300000 INR,"- Creating ads, posters, brochures and other marketing material |      - Creating infographics and other short videos for marketing and brand awareness |      - Creating graphically designed material for all social media platforms",CorelDraw|AdobeAfterEffects|Indesign|Illustrator|Photoshop|AdobePhotoshop|AdobeIllustrator|
Storyboard Illustration Jobs | Designing Job | Adobe Illustrator | Delhi,Mind Circus Innovations,Delhi|Chandigarh,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Storyboard Illustration Jobs | Designing Job | Adobe Illustrator | Kochi,Mind Circus Innovations,Cochin/Kochi/Ernakulam|Thiruvananthapuram/Trivandrum,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Storyboard Illustration Jobs | Designing Job | Adobe Illustrator | Visakhapatnam,Mind Circus Innovations,Vijayawada|Visakhapatnam,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
Adobe Illustrator Job | Art Jobs | Storyboard Illustration | Bhopal,Mind Circus Innovations,Bhopal|Gwalior,0-5years,200000 - 500000 INR,We are looking for a motivated and talented individual with good knowledge of Digital Designing and Adobe Illustrator  who can build captivating design that conveys emotive stories through animations and videos that will grab attention.,Illustrator|Illustration|Indesign|DigitalDesign|Designing|Storyboarding|CharacterDesigning|2DArtist|2DAnimation|3DAnimation|3DArtist|Artist|BackgroundArtist|Photoshop|Creative&Design|CreativeArtist|FineArts|Storyboards|AdobeIllustrator|
