jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Agency Manager,Smartone Consultancy,Kolkata|Mumbai,1-8years,180000 - 330000 INR,Multiple Openings for Agency Manager with Our Client all Locations across India.,InsuranceSales|AgencyManager|BusinessDevelopmentManager|UnitManager|
Agency Manager,Nexplace Info Private Limited,Chennai|Coimbatore,1-3years,330000 - 330000 INR,Agent recruitment :  |   |  - Develop various sources of agent hiring & build a team of agent & agent pipe line |   |  - Conduct activity to enhance existing agent footfall to generate fresh referral for new agent hiring |   |  - Recruit quality agents as per the,AgencyManager|AgencySales|Lifeinsurance|BusinessDevelopmentManager|Seniorsalesmanager.|UnitManager|SalesManager|SalesDevelopmentManager|
"""Agency Manager""   ""Agency Development Manager""  ""Agency Sales Manager""  ""Agency Sales""",Ozone HR Services,Bhopal|Bhubaneswar,1-10years,Not Specified,ANY LOCATION Enable achievement of key business outcomes • Build a quality Agency by focusing on quality of hire and skilling  • Ensure adherence to all statutory and compliance requirements  |,"""AgencyManager""|BusinessDevelopmentManager|Lifeinsurance|Seniorsalesmanager.|AgencyDevelopmentManager|BusinessDevelopment|SalesManager|SalesDevelopmentManager|"
Agency Sales Manager - DSF (Channel Sales ),Proprietor Of Ssv Hr Services,Mumbai|MumbaiCity|NaviMumbai|Thane,1-3years,180000 - 300000 INR,Need to recruit & onboard New Agent to sell life insurance policies,AgencySalesManager|AgencySales|LifeInsurance|AgencyChannel|Sales|SalesOfficer|BD|Relationshipmanager|DirectSales|Bde|AccountManager|FieldSales|Insuranceagent|SalesExecutive|
"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",Ozone HR Services,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",SalesOfficer|Marketing|Relationshipmanager|Selling|Sales|Insurance|DirectSales|AccountManager|BD|Bde|Bdm|
"""Agency Manager""  ""Agency Development Manager""  ""Agency Sales"" ""Insurance"" sales",I Tech Solutions,Mumbai|MumbaiCity|NaviMumbai|Thane,1-11years,Not Specified,•	Development of Agency business in the location |  •	Focus on Business achievement |  •	Drive Digital Agenda |  •	Quality of  business |,Insurance|Lifeinsurance|AgencyManager|HealthInsurance|AgencySales|Advisors|
Unit Manager Agency Manager,I Tech Solutions,Mumbai|NaviMumbai|Thane,1-4years,Not Specified,Urgent opening for Health Insurance,healthinsurancesales|AgencySales|AgencyManager|UnitManager|
Bancassurance  Agency Manager,Sigma Consultancy Services,Mumbai|MumbaiCity|NaviMumbai|Thane,2-5years,Not Specified,Urgent opening for HDFC Life Insurance!!!,LifeInsuranceSales|Bancassurance|Bfsi|Insurance|DirectSales|FieldSales|Telesales|AgencyManager|
"MBA Fresher  MBA  MBA Marketing  Sales ,Sales Officer , Marketing, Agency Manager, unit Manager,",I Tech Solutions,Delhi|Surat,0-5years,Not Specified,"MBA Fresher  MBA  MBA Marketing  Sales ,Sales Officer , Marketing, Agency Manager, unit Manager,",Sales|Marketing|Businessdevelopment|SalesMarketing|Insurance|Telesales|DirectSales|MarketDevelopment|InstitutionalSales|CorporateSales|
Assistant Manager - Agency chanel,Eagleye HR Consultants FZE,Jaipur|Jammu,0-2years,Not Specified,Requirement for Manager position in Agency Channel at Aditya Birla life insurance...,SalesRepresentative|LifeInsuranceSales|AgencyDevelopmentManager|
"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",Q Visas Immigration,Kolhapur|Akola,0-5years,Not Specified,"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",Freshers|Graduates|GraduateFresher|Undergraduates|AssistantSalesManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",I Tech Solutions,Mumbai|Nagpur|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"MBA Fresher, Sales Agency manager manager sales office ,unit manager, Unit Manager , Insurance,",Sales|Marketing|Businessdevelopment|SalesMarketing|Insurance|Telesales|DirectSales|
Agency Manager  Business Development Manager  Sales Manager  Agency Channel,first india hr solution,Gurgaon/Gurugram|Faridabad,1-9years,Not Specified,Hiring for one of the Renowned insurance company for Gurgoan/Faridabad.,BusinessDevelopmentManager|AgencyChannel|LifeInsuranceSales|LifeInsuranceAdvisor|LicAgents|Selling|LifeInsuranceAgent|Marketing|lifeinsurance|SalesManager|
