jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Python Developers,DynPro India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,6-12years,250000 - 800000 INR,"6 Years+	  |   Technical development & delivery.	  |   Responsible for providing expertise in the software development life cycle, from concept, architecture, design, implementation, & testing. |   Leading & mentoring small-sized team.Architecture documents.","""Pythonprogramming""|""framework""|""AgileSoftwaredevelopmentmethodology""|""Architecture""|"
Product Manager,Onpassive,Hyderabad/Secunderabad,15-18years,2000000 - 2200000 INR,The Product Manager is responsible for both product planning and product marketing.,ProductHead|ProductDevelopment|ProductManager|AgileMethodology|
Software Delivery Manager,Ikrux Solutions (Opc) Private Limited,Pune,11-13years,Not Specified,Software Delivery management - product development |  People and resource management experience |  JD attached - Software Delivery Manager - Bank Connector,ProductDevelopment|ScrumMaster|AgileDevelopment|
Opening on Devops Engineer - New Delhi,Strategic Technology Resources International Private Limited,Delhi,3-7years,Not Specified,DevOps Engineer |  ·        Excellent problem-solving and troubleshooting skills |  ·        Process-oriented with great documentation skills. |  ·        Knowldege of best practices and IT operations in an always-up-available service.,Devops|AgileDevelopment|AWS|
Data Engineer – Data Analytics,Accelerated Growth Research And Delivery Center Private Limited,Ahmedabad,5-9years,Not Specified,"Accelerated Growth India (AGRDC) is seeking a Data Engineer with 5-7 years of experience. Candidate should have broad experience across SQL, ETL, BI and Data Warehouse technologies.",Analytics|Tableau|Etl|DataWarehousing|PowerBi|DataVisualization|SoftwareDevelopment|AgileDevelopment|Azure|AzureDataFactory|
Full Stck Web Engineer,HR Daily Consultancy LLP,Remote,5-10years,Not Specified,"Design, develop and deploy web applications, APIs, and SDKs primarily using Javascript & Typescript",JavaScript|react.js|Angularjs|Node.Js|AgileMethodology|MobileDevelopment|
ECOMMERCE RETAIL PRODUCT OWNER,E-Friend Solutions India,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-10years,1500000 - 1850000 INR,we are hiring,DevelopmentmanagementSolutiondesignRetailChangemanagement|BusinessAnalyst|Projectmanagement|Consulting|e-commerce|Testingengg|Seniortestengineer|Agile|Scrum|Scrummaster|
"Full Stack Developer (Laravel, Agular)",Aayam Consultants,Ahmedabad|Indore,3-8years,300000 - 700000 INR,"Front End Development, laravel developer, Angular JS, angular.js, React.Js, Agile Methodology, Scrum,",laraveldeveloper|FrontEndDevelopment|AngularJs|angular.js|react.js|AgileMethodology|Scrum|
Test Automation Manager / Test Automation Program Manager,E-Friend Solutions India,Pune,12-15years,2200000 - 2400000 INR,Test Automation scripts manager who will manage team to design and create the Test scripts for SW testing automation.,Pmp|BDDTestDrivenDevelopment|Pmp|AutomationTesting|ManualTesting|PerformanceTesting|SoftwareTesting|ApiTesting|SeleniumAutomationTesting|Tdd|AGILE|AgileTesting|ProjectManager|DeliveryManager|
Business Analyst (IT),SnapHunt Pte Ltd,Ahmedabad|Noida,4-9years,500000 - 1000000 INR,"Business Analyst,BA,Senior business analyst,ER diagrams,SDLC,Development lifeCycle,UML .agile,Software development,LifeCycle,",BusinessAnalyst|BA|DevelopmentlifeCycle|UML.agile|LifeCycle|Seniorbusinessanalyst|ErDiagrams|Sdlc|SoftwareDevelopment|
Solution Architect (SAP Hybris),Star Jobs Private Limited,Chennai,6-11years,Not Specified,"Defining project scope, specifications and estimating resources required to develop the proposed solution. Proposing the technical solution and overseeing the selection of technologies. |",SubjectMatterExpert|ProjectDevelopment|Ecommerce|Javascript|FrontEnd|Hybris|AgileMethodology|AgileProjectManagement|SolutionArchitect|SAP|
Node JS Developer,Angel And Genie,Noida,3-7years,Not Specified,"·Experience in NodeJS, with Express |  ·Experience on Java and development using AngularJS / ReactJS |  ·Application profiling |  ·TDD - test driven development |  ·Redis |  ·Strong knowledge on OOP and principles","""NodeJSDeveloper""|""NodeJS""|""AngularJS""|""ReactJS""|""NodeDeveloper""|""Applicationprofiling""|""TDD""|""testdrivendevelopment""|""SOAPintegration""|""Queues""|""Queryoptimisation""|""agiledevelopment""|"
