jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Airport Representative,Air Ticketing Executive,Ground Handling",H.J Solutions,Kolkata|Agartala,0-5years,Not Specified,"Dear Candidate, |  Greeting for the day! |  We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer |  Key Responsibilities |  Welcome passengers on board and directing them to their seats. |  Providing Inform",GroundStaff|CabinCrew|GuestRelationExecutive|HumanResource|FrontOffice|AdminExecutive|Aircraft|AirTicketingExecutive|Aerospace|GroundHandling|AirCargo|AirHostess|AirportManagement|OperationsManager|BackOffice|Backend|CustomerSupportO|
Urgent Hiring For Air ticketing executive,STT Solution,Amritsar|Chandigarh,0-3years,200000 - 380000 INR,Urgent Hiring For Air ticketing executive,Gds|Galileo|apollogds|traveltechnology|Ticketing|Reservation|Travel|InternationalTicketing|Airline|FlightBooking|Amadeus|
Required Air Ticketing Executive For Aviation Sector,IT global Services,Chennai|Hyderabad/Secunderabad,0-4years,340000 - 660000 INR,"Job Description |   Post- Air Ticketing  |    |   Eligibility: Minimum 12th Pass With Good Communication & Skills |    |   An airline ticket is a document or electronic record, issued by an airline or a travel agency, that confirms that an individual is entitled to a se",AirTicketingExecutive|AirConditioning|AirTicketing|GroundHandling|GroundStaff|AirHostess|AirConditioning|Aircraft|AirlineCabinCrew|AirHostess|CabinCrew|CabinCrewActivities|AirlineProcess|AirCargo|GroundServiceAssistant|AirCondition|
Urgent hiring for Air Ticketing Executive,Hire Zone Solution,Bengaluru/Bangalore|Delhi,0-3years,459999 - 680000 INR,"Ticket Agents work on airport counters or other designated sales points that airlines might have. In general terms, Ticket Agents greet and help customers and passengers with their flight reservations.",ActiveListening|Speaking|ServiceOrientation|socialperceptiveness|ReadingComprehension|Persuasion|
Air Ticketing Executive & Reservation,Freelancer Kamaljot Kaur,Chennai,0-1years,430000 - 550000 INR,"An Airline Ticketing Agent is an individual who is responsible for booking flight tickets and handle reservations for customers. Airline Ticketing Agents directly interact with customers, answer customer questions about flight timings, seat.",Ticketing&ReservationExecutive|
Air Ticketing Executive Ground Staff Cabin Crew,Tqs Hiring Solution,Bhopal|Bhubaneswar,0-3years,330000 - 580000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR kajal Jadhav-7834929263",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
"Airport Representative,Air Ticketing Executive,Ground Handling",Freelancer Kamaljot Kaur,Hyderabad/Secunderabad|Kolkata,Fresher,Not Specified,"Dear Candidate, |  Greeting for the day! |   |  We are Hiring for the jobs for the position of Air Ticketing / Ground Staff / Cabin Crew / Maintenance Engineer |  Key Responsibilities |   |  Welcome passengers on board and directing them to their seats. |  Providing Info",GroundHandling|DomesticTicketing|cabincrewactivities|airporthandling-operationgroundhandling|internationalticketing|Ticketing|AviationSecurity|groundstaffactivities|AirTicketing|groundcontrol|cabinservice|
Air Ticketing Executive Ground Staff Cabin Crew,Freelancer Kamaljot Kaur,Lucknow|Patna,0-3years,330000 - 580000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR kajal Jadhav-7834929263",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
Air Ticketing Executive Ground Staff Cabin Crew,Freelancer Kamaljot Kaur,Durgapur|Dibrugarh,0-3years,330000 - 580000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR kajal Jadhav-7834929263",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
Air Ticketing Executive Ground Staff Cabin Crew,Freelancer Kamaljot Kaur,Chennai|Hyderabad/Secunderabad,0-3years,330000 - 580000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR kajal Jadhav-7834929263",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
Air Ticketing Executive Ground Staff Cabin Crew,Freelancer Kamaljot Kaur,Pune|Thane,0-3years,330000 - 580000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR kajal Jadhav-7834929263",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
Air Ticketing Executive Ground Staff Cabin Crew ect.,Freelancer Rajesh Kumar,Allahabad/Prayagraj|Amravati,0-3years,330000 - 540000 INR,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR. Juhi dubey.9540369672",AirTicketingExecutive|GroundStaff|CabinCrew|Airhostess|BaggageHandling|servicereport|PassengerHandling|Reservation&Ticketing|GuestRelation|
Air Ticketing Executive Ground Staff Cabin Crew etc.,Freelancer Rajesh Kumar,Patna|Ranchi,0-1years,Not Specified,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR. SUMIT CHOUHAN.9540270245",GroundStaff|CabinCrew|guestrelationexecutive|AirHostess|AviationEngineer|FlightAttendant|Sr.CabinCrew|Airline|
Air Ticketing Executive Ground Staff Cabin Crew etc.,Freelancer Kamaljot Kaur,Patna|Ranchi,0-1years,Not Specified,"Greetings from Airline travel/tourism Ground Staff, Cabin Crew, Guest Relation, Guest Relation Executive, Air hostess, Aviation, Sr. Cabin Crew, Customer executive customer handling,Contact number HR. SUMIT CHOUHAN.9540270245",GroundStaff|CabinCrew|guestrelationexecutive|AirHostess|AviationEngineer|FlightAttendant|Sr.CabinCrew|Airline|
