jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
1 YEAR CONTRACT TO HIRE OPENING FOR DATA ENGINEER &DATA VISUALIZATION at HYDERABAD AND CHENNAI.,BR Raysoft Global Private Limited,Chennai|Hyderabad/Secunderabad,6-16years,Not Specified,1 YEAR CONTRACT TO HIRE OPENING FOR DATA ENGINEER &DATA VISUALIZATION at HYDERABAD AND CHENNAI. |  EXPERIENCE : 7+ YEARS,HADOOP|Alteryx|Tableau|QlikView|
Technical Lead,Freelancer Bhatt Deep Jayprakash,Hyderabad/Secunderabad|Pune,4-7years,500000 - 600000 INR,"Unique Selling Proposition (USP) of The Role AWS S3, Snowflake Lead",TechnicalSkillSetAWSS3|snowflake|Cassandra|Alteryx|
Alteryx Developer - Data Warehousing,Splunk Hr Consulting,Mumbai|MumbaiCity|NaviMumbai,3-6years,600000 - 1000000 INR,Alteryx (Mandatory) 2+ years of related experience with Alteryx.  Design and develop ETL workflows  Prepare technical specifications and documentation for Alteryx workflows. |  - ETL specific for creating datasets ( used by Tableau Data Extract for BI),#Alteryx#DataWarehousing#DataModeling#RDBMS#DataAnalytics#DataValidation#Tableau#ETL#Datamart#ETLTools|
PYSPARK -- TECHNICAL LEAD,Best infosystems Ltd,Bengaluru/Bangalore,7-11years,Not Specified,DATA ENGINEER DEV OPS INCLUDED STRONG PYTHON AND PYSPARK KNOWLEDGE EXPERIENCE WITH AWS AND STRONG AWS S3 KNOWLEDGE STRONG EXPERIENCE WITH JENKINS AND BITBUCKET BASIC ALTERYX UNDERSTANDING EASY TO LEARN STRONG SQL KNOWLEDGE APPLIES AGREED STANDARDS.,Pyspark|DataManagement|TechnicalLead|Agile|PYTHON|AWS|Jenkins|Bitbucket|Alteryx|Django|
Alteryx Architect,Insigma Technologies Private Limited,Bengaluru/Bangalore,8-12years,Not Specified,Looking for Alteryx Architect with Primary and recent experience in Alteryx ETL,AlteryxArchitect|AlteryxETL|MySQL/SQLserver/AWS|
Analyst - IT Resources,Arccaa Analytics And IT Solutions LLP,Bengaluru/Bangalore,5-8years,Not Specified,"Detailed Job Description: |  	Alteryx, Sagent, Dataiku |  Good to Have Skills |  	Tableau |",sagent|Dataiku|Alteryx|
Senior Analyst,Novartis Healthcare Private Limited,Hyderabad/Secunderabad,3-6years,500000 - 1100000 INR,Provide sales force analytics support to Novartis internal customers (CPOs & Regional marketing and sales teams) on various high complexity sales force analytical reports.,Reporting|DataAnalytics|DataVisualization|Dashboard|QlikSense|Alteryx|Excel|
Data Analyst / Sr. Analyst / Lead,LogicalHiring,Bengaluru/Bangalore|Gurgaon/Gurugram,3-9years,Not Specified,Opening in Bangalore & Gurgaon. Work from home option available from Chennai / Hyderabad / Pune,"""dataanalyst""|DataAnalysis|datorama|""powerBI""|""dataanalytics""|DataMining|DataManagement|DataCleaning|DataManipulation|DataExtraction|DataVisualization|Tableau|Qlikview|Alteryx|"
BI Developer,Advanced Technology Consulting Service Private Limited,Mumbai,2-4years,Not Specified,"Has hands-on experience in visualization tools (Specifically Tableau, Power BI & Looker)",BiDeveloper|visualizationtools|Looker|Tableau|PowerBi|Etl|DatabaseDevelopment|Sql|SSIS|Alteryx|Talend|
"Analyst/Specialist, Data Engineer",Randstad Offshore Services Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"Highly proficient in use of BigQuery, SQL, Alteryx, some exposure to essbase and MDX",Analyst|MDX|spatialanalysis|DataEngineer|Bigquery|Sql|Alteryx|Essbase|Tableau|PredictiveModelling|Python|
BI Lead,Advanced Technology Consulting Service Private Limited,Mumbai,5-9years,Not Specified,Has hands-on experience in visualization tools (Tableau and Power BI are mandatory.),BiLead|visualizationtools|Looker|Tableau|PowerBi|Etl|DatabaseDevelopment|Sql|SSIS|Alteryx|Talend|
Openings with One of the leading Audit Firm,Convate Consultancy Services Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,"Hi All, |   |  Greetings from CONVATE!! |   |  Here we an Immediate opening for Alteryx Development with one of the Leading Audit Firm in Bangalore. |",AlteryxDevelopment|AdvancedSql|
Assistant Manager / Deputy Manager_Mumbai(Powai),Freelancer Gaurav Vishnoi,Mumbai,3-8years,Not Specified,"Minimum 3 to 8 years of experience in Alteryx |     |    Should have experience with data extract, transform and load (ETL) tools as Alteryx and data visualization tools |     |    Power BI/Tableau or ETL experience will be an added advantage",PowerBi|Etl|Tableau|Sql|Alteryx|
Technical Tools / Alteryx / MS SQL / Python  / Structured Query Language,Ascendum Solutions India Private limited,Bengaluru/Bangalore,4-6years,Not Specified,"Hands on experience with Alteryx, MS-SQL, Python and other structured query language",TechnicalTools|datasourcetypesFlatfiles|datavisualizationtools|Alteryx|MS-SQL|Python|EtlTools|Databases|MicrosoftSqlServer|Sql|Oracle|DB2|Powerbi|Qlikview|Tableau|
Power BI Developer,Team Computers Private Limited,Delhi,1-4years,Not Specified,"Good Knowledge of Power BI. |  •         Knowledge of DAX functions, Power query to prepare effective business metrics and KPIs for indicating performance of a business. |  •         Develop and implement reports using effective  Data Modelling Techniques",ETLDeveloper|Businessintelligence|OLAP|Datawarehousing|PowerBi|Etl|
"Tableau Developer, Gurgaon & Chennai",Brain Management Consultants India Private Limited,Chennai|Gurgaon/Gurugram,3-8years,Not Specified,"Tableau Developer, Gurgaon & Chennai",TableauDeveloper|Reports|Dashboard|
Data Scientist,Novartis Healthcare Private Limited,Hyderabad/Secunderabad,6-10years,1000000 - 2000000 INR,"20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are |  on a data and digital transformation journey, leveraging analytics to generate actionable insights for |  Novartis medicines.",PredictiveAnalyticsandModeling|StatisticalModeling|R|CustomerSegmentation|DataScience|DataScientist|MachineLearning|Python|Nlp|NaturalLanguageProcessing|DecisionTrees|
"Big Data Developer - Thirdware, Chennai",Thirdware Solutions Limited,Chennai,5-10years,Not Specified,Thirdware Solution Limited is a multinational IT Business and Consulting Company in Enterprise Application Space (EAS) is recruiting Big Data Developers for Chennai operations.,BigDatadeveloper|BigDataManagement|InformaticaBDM|EDC|Sql|Hadoop|Hive|Etl|
Hiring for Data Scientist,Hyper Think Systems Private Limited,Hyderabad/Secunderabad,2-5years,300000 - 1000000 INR,Looking for Data Scientists for our Bangalore location,Python|DeepLearning|MachineLearning|NaturalLanguageProcessing|DataScience|DataScientist|
Senior Manager Audit Analytics,2COMS Consulting Private Limited,Bengaluru/Bangalore,7-12years,Not Specified,Responsibilities----------------  * Understanding of business processes and potential risk scenarios.  * Ability to conceptualize appropriate logic for analyzing potential risk scenarios  * Ability to understand requirements clearly and to be,
Sr MSBI Developer,A Thingz Solutions Private Limited,Hyderabad/Secunderabad|Visakhapatnam,7-10years,Not Specified,Sr MSBI Developer,Ssrs|SSIS|Sql|
"Big Data Developer - Thirdware, Chennai",Thirdware Solutions Limited,Chennai,5-10years,Not Specified,Hiring Big Data Engineers for our assignment in Chennai,Bdm|bigdatamanager|edc|enterprisedatacatalog|enterprisedatapreparation|dataingestion|BigData|hadoop|Hive|Sqoop|informatica|Etl|edp|
Job | We have an urgent Opening for DW/BI developer  (Navi Mumbai),Advanced Technology Consulting Service Private Limited,Mumbai,2-7years,Not Specified,Overall years of experience: 2-7 years  |  - Job Location: Mumbai,Tableau|PowerBi|
"Informatica BDM Developer - Thirdware, Chennai",Thirdware Solutions Limited,Chennai,5-10years,Not Specified,Hiring Informatica BDM Developer for an assignment in Chennai,informaticabdm|edc|datacatalog|dataengineering|BigData|Hadoop|Kafka|Hive|Sqoop|DataVisualization|Spark|informatica|Python|Powercenter|edp|
