jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SAS AML Technical Analyst,J J Electrical Industries,Bengaluru/Bangalore,6-15years,Not Specified,•	SAS AML environment Admin & Programming knowledge (BASE SAS & Advance SAS)  & SAS AML 7.1 - Mandatory |    •	Oracle 12c -  PL/ SQL – Mandatory |    •	AML domain knowledge  |    •	Basic Unix command |     |,SAS|Aml|
ERM and AML Officer for Qatar,Vinirma Consulting Private Limited,Qatar,10-15years,Not Specified,Urgent hiring for ERM and AML Officer for Qatar.,ERM|Insurance.|Aml|
Know your Customer Agents Required for KPOs Immediately Walkin/call Rina,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,Analyzing data to identify patterns and compare transaction history against KYC standards.,DataAnalysis|Kyc|knowyourcustomer|dilligencedeligence|Aml|
Analyst / Senior Analyst /TL - KYC Operations,Golden Opportunities Private Limited,Mumbai,2-5years,Not Specified,KYC / AML / Screening - Domain and Process,Analyst|Kyc|knowyourcustomer|KYCOperations|TeamLead|Aml|
Analyst / Senior Analyst /TL - KYC Operations,Golden Opportunities Private Limited,Mumbai,2-5years,Not Specified,KYC / AML / Screening - Domain and Process,Analyst|Kyc|knowyourcustomer|KYCOperations|TeamLead|Aml|
Junior/Senior Level- KYC/AML,Anri Solutions HR Services Private Limited,Delhi|Pune,2-12years,400000 - 1400000 INR,"Dear Candidate, |   |  We are hiring for MNCs for KYC/AML Role for Pune/Gurgaon locations.",KYCAML|TransactionMonitoring|sanctionscreening|DueDiligence|
Urgent Opening of Manager/Sr. Manager- AML at Bangalore with MNC bank,Transgnx HR Solutions Private Limited,Bengaluru/Bangalore,10-17years,1500000 - 2400000 INR,"Urgent Opening of Manager/Sr. Manager- AML at Bangalore with MNC bank  |  (Mandate skills are AML & Sanctions, CDD, Retail Knowledge)",CddAnalyst|RiskControl|Sanction|Aml|
Analyst / Senior Analyst /TL - KYC Operations,Golden Opportunities Private Limited,Mumbai,2-5years,Not Specified,KYC / AML / Screening - Domain and Process,Analyst|Kyc|knowyourcustomer|KYCOperations|TeamLead|Aml|
URJENT HIRING FOR KYC/AML DOMAIN/PEGA FOR LEADING MNC FOR BANGALORE,Anri Solutions HR Services Private Limited,Bengaluru/Bangalore,7-12years,Not Specified,"HI, |   |  GREETINGS FROM ANRI SOLUTIONS. |   |  SKILL-  KYC/AML DOMAIN/PEGA |   |  EXP - 7 TO 12 |   |  NP- 60 DAYS",Kyc|PEGA|
KYC- Senior Analyst,My Corporate Jobs,Pune|Thane,0-5years,Not Specified,"Kyc Senior Analyst |  Skills- KYC,AML,Due Diligence, Investment Banking |  Salary- upto 5LPA |  Location- Pune/Mumbai",Kyc|KYCAML|AntiMoneyLaundering|knowyourcustomer|AntiMoney|Compliance|DueDiligence|InvestmentBanking|
Back Office Operations,Namr infotech Private Limited,NaviMumbai,1-6years,100000 - 240000 INR,BACK OFFICE OPERATIONS. |   ROLE:-KYC VERIFICATION |   EXP:- 1-5 YRS (BPO-BACK OFFICE ETC.) |   REQ:- GUD COMMUNICATION SKILLS. (FLUENT ENGLISH). |   SALARY:- 15K-20K (IN HAND) |   LOCATION:- GHANSOLI NAVI MUMBAI (ONLY NAVI MUMBAI & NEAR BY AREA CANDIDATES APPLY),Kyc|KYCAML|BackOffice|BackOfficeOperations|CustomerService|CustomerServiceExecutive|CustomerCare|CustomerSupport|CustomerCareExecutive|
Urgent Hiring For Assistant Manager Operation Manager Branch Manager Banking Operations,Royal Hire Placement,Cochin/Kochi/Ernakulam|Madurai,1-4years,350000 - 770000 INR,Cash Handling Account Opening - KYC/AML Cheque Clearing TPP - Cross Selling Customer Handling Handling Branch Operations Handling Client / Customer queries Reportin and MISCash transaction with customers Back up to Branch Operations.,BackOffice|BankingOperations|BankingProcess|BankingSales|Financial|FinancialServices|SystemAdministrator|BankingDomain|
KYC Specialist/ Analyst Non Voice,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,Not Specified,KYC Specialist/ Analyst Non Voice,KYCSpecialist|NonVoice|TransactionProcessing|KYCstandards|
Sr. Software Engineer/Developer/Programmer,Aarav Consultancy,Mumbai|MumbaiCity|NaviMumbai|Thane,3-6years,Not Specified,Urgent opening for Sr. Software Engineer/Developer/Programmer for Mumbai(Mulund)Location.,ASP.NETWebForms|.NETCore|MSSQLwithPL/SQL|ORACLEwithPL/SQL|MYSQLwithPL/SQL|C#|Javascript|JQuery|
Fraud Investigator,Blucognition Private Limited,Pune,2-6years,Not Specified,Looking for Fraud Investigator,riskmodeling|Analytics|fraudmodelling|FraudAnalytics|
Branch Banking Operations Assistant Manager /depute Manager/officer,Aspire Group of Services,Lucknow,0-2years,130000 - 229999 INR,Fresher & experienced candidates can apply |  Qualification :- Graduation or Post Graduation.,AccountOpening|Kyc|ChequeClearing|BranchBanking|
"Trade Finance Jobs for Payments, Document Checking, Guarantees",White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,2-7years,Not Specified,"JD |   1-10 Years experience in combined Trade Operations and Bank Payments, Doc Checking, Guarantee",Payments|DocumentChecking|TradeOperations|BankPayments|TradeFinance|CashManagement|TradeServices|
Urgent Requirement for Data Architect work form home,E-Solution India,Mumbai|MumbaiCity|NaviMumbai|Thane,9-19years,Not Specified,Job Title: DATA Architect |   Experience: 9 to 15 yrs |   Job Location: (After 1 Year) Mumbai,MicrosoftCertification|BusinessIntelligence|BusinessAnalyst|Msbi|SSIS|Ssrs|Ssas|BI|cloud|MicrosoftPowerBi|DataArchitect|SqlServerIntegrationServices|
Automation Testing,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad|Pune,5-8years,Not Specified,Urgent Opening_AUtomation Testing_5 to 8 Years_Pune & Hyderabad_Immediate to 15 Days,AutomationTestEngineer|AutomationTesting|SoftwareTesting|QATesting|Devops|Jira|
IOT Engineer,Innominds Software Private Limited,Bengaluru/Bangalore,4-8years,Not Specified,Openings || IOT Engineer || Bangalore,Embedded|Python/C#|Iot|Azure|
Bank Officer Branch Banking - Bangalore( Executive / Sr.Exec ),AasaanJobs Private Limited,Bengaluru/Bangalore,1-3years,Not Specified,Candidates will go on field & acquire new customers by selling them Saving & Current accounts,Sales-CASA|Casasales|BusinessDevelopment|LeadGeneration|Sales|ColdCalling|
Bank Officer Branch Banking - Kolkata ( Executive / Sr.Exec ),AasaanJobs Private Limited,Kolkata,1-3years,Not Specified,Candidates will go on field & acquire new customers by selling them Saving & Current accounts.,Sales-CASA|Casasales|BusinessDevelopment|LeadGeneration|Sales|
Compliance Manager,Future Focus Infotech Private Limited,Mumbai,5-7years,Not Specified,"Compliance Manager is responsible for making sure that a company's administration is running smoothly, particularly with regard to the company's compliance with statutory and regulatory requirements.",RegulatoryCompliance|CorporateLaw|CS|LegalJobsinBFSI.|
