jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"JAVA,J2EE,Analytical & Requirement understanding skills,AgularJS",Keen Bright Solutions Llp,Chennai,3-7years,Not Specified,"JAVA,J2EE,Analytical & Requirement understanding skills,AgularJS",JavaJ2ee|Angular|Gitlab|
Analytical Assistant Executive Secretary Executive Assistant Executive Assistance Analytical Mind,Qssot Technologies Private Limited,Bengaluru/Bangalore,0-5years,200000 - 400000 INR,"Recruitment for Internal Position Bangalore |          |          Walk-In Mon - Sat: 11 to 17 hours |           |          Address: |          https://maps.app.goo.gl/SPGomYTCVnZPGwtZA |           |         S-1210, Qssot, software solution, |         Ardente Office One, |         Hoodi Main Rd, Hoodi, Bengaluru 560048 |         PH 09618919049",AnalyticalThinking|AnalyticalMethods|AnalyticalAbility|AnalyticalMind|ExecutiveAssistant|ExecutiveAssistantSecretary|ExecutiveAssistance|PersonalSecretary|PersonalDigitalAssistants|Pa|SecretaryFemale|ExecutiveSecretary|PersonalAssistant|
Executive Analyst,Sipra Labs Limited,Hyderabad/Secunderabad,1-5years,200000 - 700000 INR,Executive For Quality Control – GC WET Lab  |,AnalyticalChemistry|PharmaceuticalResearch|
Analytical Chemistry Associate/Scientist,Unicca Emporis Private Limited,Bengaluru/Bangalore|Chennai,0-5years,350000 - 1250000 INR,"Using A Range Of Software, Techniques And Equipment To Carry Out Research And Analysis |   Analysing And Interpreting Data |   Making Sure That Data Is Accurately Recorded In Accordance With Guidelines |   Reporting And Presenting Results |",physicalchemistry|InorganicChemistry|PolymerChemistry|Inorganic|Spectroscopy|Raman|SyntheticOrganicChemistry|OrganicChemistry|Numerical|CreativeSkills|Quantitative|TroubleshootingSkills|PlanningSkills|Check|AnalyticalChemistry|OrganicChemi|
Manager Analytics QuadPay,Blucognition Private Limited,Bengaluru/Bangalore|Pune,5-7years,Not Specified,Looking for Manager Analytics QuadPa,AnalyticalReports|StatisticalAnalysis|SAS|Sql|Python|
Senior Infrastructure Leader IT,MP Dominic & Co,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-9years,940000 - 1420000 INR,We are Urgently looking for an outstanding Global Configuration Manager with solid experience in designing and maintaining,Analytical|Activedirectory|DataProcessing|Customerservice|ItServices|Configurationmanagement|MsOffice|InformationTechnology|
Laboratory Executive,Global Placement,Bengaluru/Bangalore|Delhi,0-2years,Not Specified,|  We are hiring Laboratory Executives for PAN India based fully automated diagnostic laboratory.,clia|Biochemistry|photometry|Elisa|Flowcytometry|Nephelometry|Hematology|AnalyticalChemistry|Cytogenetic|
Digital Marketing Executive,Wright Placements,Mumbai,3-5years,450000 - 650000 INR,"The key responsibility of the Digital Marketing Specialist is to conceptualise, execute and oversee brand building, marketing communication & digital promotion activities for TGF & it’s clients.",CommunicationSkills|PresentationSkill|analyticalskill.|
Hiring For Medical Coding Executive,Randstad Offshore Services Private Limited,Coimbatore|Visakhapatnam,Fresher,270000 - 480000 INR,"Medical Coders work for healthcare facilities where they convert patients information to standardised codes, which are used on documentation for healthcare insurance claims and for databases.",MedicalCoding|MedicalBilling|Healthcare|MedicalCoders|Pharma|MedicalCodingAnalyst|Coder|
Claims Analyst,Volar Fashion Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,"Skills necessary include analytical reasoning, confidential professionalism, positive attitude, prompt accurate decision making, and friendly demeanor in all communications (internal and external).",AnalyticalReasoning|CLAIM|ANALYST|DecisionMaking|COMPLAINCE|
E-Commerce Executive,Brahmani Business Management Private Limited,Mumbai|MumbaiCity,2-4years,Not Specified,Requirement for E-commerce Executive for a fashion e-commerce brand with exposure in all kinds of online platforms and efficient in advance excel (data analysis),Ecommerce|Ecom|EcommerceSolutions|Market|Analytical|CatalogManagement|ProductManagement|Excel|
Web Developer,Best infosystems Ltd,Faridabad,3-5years,330000 - 550000 INR,"Writing well designed, testable, efficient code by using best software development |  practices |   Creating static and dynamic website layout/ user interfaces by using standard HTML/ |  CSS practices |   Integrating data from various back-end services and dat",HTML/CSSskills.|Analyticalskills.|Analytical|Javascript|CSS|
