jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior ReactJS Developer,Digiair Technologies And Analytics Private Limited,Chennai|Kolkata,2-5years,250000 - 600000 INR,We are looking for a good JavaScript developer who is proficient with React.js.,react.js|jQuery|Html5|Css3|Node.js|
Business Development Executive,Bruhat Insights Global Private Limited,Chennai,0-2years,Not Specified,We are #Hiring!!!!!! |   |  Looking for #Freshers or #experienced candidates to work in a fast paced environment. If you have experience in #ClientRelationship #ClientHandling #businessdevlopment #b2bsales #KAM please share your resume to bharath@avtarcc |   |,KAM|KeyAccountManager|CorporateSales|BusinessDevelopment|ClientRelationship|ClientAcquisition|
HR Generalist - FT - Startup,Yavda Analytics Private Limited,Hyderabad/Secunderabad|Bhubaneswar,2-7years,300000 - 800000 INR,"HR Generalist will be help us manage all HR activities including recruiting, employee management, career planning.",Recruitment|Hiring|TalentAcquisition|EmployeeManagement|PerformanceManagement|Compensation|
AR Caller/ AR Analyst,Medenet Analytics India Private Limited,Bengaluru/Bangalore,0-2years,Not Specified,AR caller - Medical Billing - US Healthcare Industry,ARCaller/ARAnalyst-USHealthCareIndustry|
US IT Recruiter,Spin Analytics and Strategy (OPC) Private Limited,Hyderabad/Secunderabad,3-6years,Not Specified,3 yrs of experience in 'US Recruitment' in either IT or Engineering field |  Must be willing to work in night shifts |  Must have Sound knowledge on IT and Technical concepts |  Qualified candidate should have understanding of US staffing hiring process (for,Screening|W2|UsStaffing|UsRecruitment|C2C|UsItRecruiter|
Freshers,Medenet Analytics India Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,We are looking for Accounts Receivable/Payment Posting/ Data Entry staff to work in a US Healthcare Industry - Medical Billing Process,FresherBPO|Freshers|Graduates|GraduateFresher|Undergraduates|
Customer Support Associate,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,3-7years,300000 - 700000 INR,Candidates should provide support to customers by clearly communicating information in a user-friendly and professional manner. Candidates are mainly responsible for taking charge of the queries (via email) from the customers,CustomerSupportAssociate|EmailSupport|ChatSupport|InboundProcess|OutboundProcess|
Technical Support Executive,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,3-7years,Not Specified,Candidates should provide support to customers by clearly communicating technical solutions in a user-friendly and professional manner. Candidates are mainly responsible for taking charge of the queries (via email or phone),InternationalVoiceSupport|InboundCalls|TechnicalSupport|
Quality Analyst – Solution Delivery,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,3-7years,300000 - 700000 INR,"Process audits to check the delivery of service daily, highlighting any deviations from the set standards |   Assess agent performance over a call, email & chat",EmailSupport|ChatSupport|Qualityauditor|Audit|QualityAnalyst|SolutionDelivery|
Looking for IT RECRUITERS,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,1-3years,Not Specified,Should have experience in end to end recruitment (Calling candidates/Use of Portals & social media for recruitment). |,ItRecruiter|ItStaffing|TechnicalRecruiter|
Java Developer Core Java,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,4-8years,600000 - 1000000 INR,"Role: Developer – Java Core |      |     Location: Hyderabad |      |     Experience: 4 years to 8 years |      |     Should have worked in Core JAVA development projects using OOPS, exception Handling,",Javadeveloper|javathreads|CoreJava|Oops|Api|Multithreading|Jenkins|REST|Git|
UI Developer,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,4-6years,Not Specified,Role:  Developer – UI developer |    |   Location: Hyderabad |    |   Client : TCS (C2H) |    |   Experience:  4 years to 6 years |    |   •	Should have worked in UI development projects on Angular 4+ versions  – E3 Level |,UiDevelopment|Html5|Javascript|CSS|Bootstrap|Git|jQuery|
Full Stack Developer,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,4-6years,Not Specified,"Role: Developer – Full stack developer |    |   Location: Hyderabad |    |   Experience: 4 years to 6 years |    |   Should have Expertise in front-end technologies, including JavaScript, CSS3 and HTML5",HanaDB|Javascript|Html5|react.js|AngularJs|jQuery|ServerSideProgramming|Dbms|Git|ApacheServer|
