jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior Database Engineer,FUSAQ Technologies Private Limited,Remote,10-15years,Not Specified,"Want to be part of a global team of best minds developing next generation DataOps platform USA based company, xFusion is hiring to extend their product development team in India. We are looking for the best minds and of course, will pay the best.",Apache|Spark|Scala|Python|Java|
Apache Spark,BT Technologies Online Private Limited,Bengaluru/Bangalore|Pune,5-9years,Not Specified,Apache Spark,ApacheSpark|SparkSql|Python|
JAVA with STRUT,BT Technologies Online Private Limited,Bengaluru/Bangalore,7-8years,Not Specified,JAVA with STRUT  |  Skill: JAVA with STRUTS / Mean stack with STRUTS,CoreJavaJ2EEJSF|ApacheFrameworks|
"Apache Kafka Developer, /Core Java, Microservices/Scrumanster : -Immediate Opening with our Top MNC",Future Focus Infotech Private Limited,Hyderabad/Secunderabad,5-14years,Not Specified,"Apache Kafka Developer, /Core Java, Microservices/Scrumanster : -Immediate Opening with our Top MNC Client Hyderabad Location.",ApacheKafkaDeveloper|/CoreJava|Microservices/Scrumanster|
Immediate C2H Opening for Apache HTTP and Nginx in Mumbai,BR Raysoft Global Private Limited,Mumbai,3-13years,Not Specified,Immediate C2H Opening for Apache HTTP and Nginx in Mumbai,Apache|Nginx|
Application Engineer required for One Of the Leading IT Company in Chennai,Fortumax Career International Private Limited,Chennai,4-8years,1200000 - 1500000 INR,"The Application Engineer ensures that all in-house and 3rd party applications conform to our configuration and deployment standards so that every application can be deployed, monitored and managed in a consistent and reliable fashion.",ApplicationDeveloper|Deployment|UNIX|Linux|Shellscripting|Perl|Python|IbmMqSeries|Configuration|ApacheTomcat|
Big Data Developer,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Mumbai,2-7years,Not Specified,Big Data Developer on Quess Corp ltd Payroll having  2500 clients,BigDataDeveloper|HDFS|andPig|BigDataDeveloper/Engineer|DataVisualizationDeveloper|BusinessAnalyticsSpecialist|ApacheHadoop|ApacheSpark|Cassandra|Rapidminer|ApacheStorm|Yarn|Mapreduce|Hive|DataScientist|BigDataArchitect|
Performance Tester,A Thingz Solutions Private Limited,Hyderabad/Secunderabad,4-9years,Not Specified,Performance Tester,MicrofocusLoadRunner|ApacheJmeter|
Immediate need for Linux/Cloud Engineer,Codewrite Systems India Private Limited,Bengaluru/Bangalore,2-10years,Not Specified,"As a Linux/Cloud Engineer, you will work with leading-edge software and cloud technologies. You will also assist customers during service related events, including creating support tickets and answering basic technical questions related to their",Linux|Apache|aws|Azure|
"Java/ j2ee with Camel, Apache",Best infosystems Ltd,Pune,5-10years,Not Specified,6+ years Software Development (and Design) work experience in Java / J2EE,Camel|Apache|Java|Microservices|SpringBoot|
