jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
QA Architect,Labridge Consulting,Hyderabad/Secunderabad|Noida,10-15years,Not Specified,Designation:QA Architect |  Experience:10+ Years |  Location: Hyderabad /  Noida |  Notice Period: less than 15 Days |   |,QAArchitect|Uft|Jenkins|Selenium|Appium|Protractor|
Appium Testing,Larsen & Toubro Infotech Limited,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,"Strong understanding and hands on experience on Core Java, Maven",AppiumTesting|JavaAppium|Appiumtool|AutomationTester|
Appium Testing,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,4-12years,Not Specified,"Strong understanding and hands on experience on Core Java, Maven",AppiumTesting|JavaAppium|Appiumtool|AutomationTester|
Appium Testing,Larsen & Toubro Infotech Limited,Mumbai|Pune,4-12years,Not Specified,"Strong understanding and hands on experience on Core Java, Maven",AppiumTesting|JavaAppium|Appiumtool|AutomationTester|
Openings for Mobile Automation Test Engineer_Bangalore,Sun Technology Integrators Private Limited,Bengaluru/Bangalore,6-9years,Not Specified,Senior Mobile Automation looking who can join us ASAP.,MobileAutomation|Appium|Android|Ios|ApiTesting|UiAutomation|DatabaseTesting|
Associate  Quality Assurance Engineer,AasaanJobs Private Limited,Mumbai,3-6years,1000000 - 1400000 INR,Associate digital quality assurance -Mobile app testing Automation Selenium |   |  Automation: 20% |  Selenium: 20% |  Appium: 20% |  Jenkins: 20% |  GRPC: 20%,SeleniumAutomation|Java|Appium|Jenkins|
Selenium with Appium,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,4-12years,Not Specified,"This is Contract to Hire position, resource will be work on the payroll of Quess Corp at Client location.",Selenium|Appium|
Mobile Test Engineer,Andnr Soft Solutions Private Limited,Mumbai,2-4years,Not Specified,Job Opportunity for Mobile Test Engineers |   Job Location: Mumbai |   Mode: C2H |   Relevant Experience: 2 to 4 years |   Notice Period: Immediate to 15 Days |  *Outstation candidates should be ready to go to work location (Mumbai) when required by client.*,"""MobileTester""|Appium|"
Opportunity For Senior Automation Development Engineers,Crestron Software Development India Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Crestron is looking for individuals who can contribute towards, Design and Development of Automation Frameworks, Implement Automation Strategies to support new and future products.",AutomationTesting|Java|Python|C#|Selenium|Appium|
Automation Testing Engineer,Quench Techno Valley,Coimbatore,3-4years,Not Specified,Looking for automation tester with minimum 3 yrs of exeperience. Candidate who have experience in tools like Selenium and Appium is required. Both male and female can apply.,Appium.|AutomationTesting|Selenium|
Senior software engineer - Appium,Larsen & Toubro Infotech Limited,Pune,3-12years,Not Specified,"Strong understanding and hands on experience on Core Java, Maven, Appium for Android and iOS both, XCTest, Espresso frameworks, teat automation, cucumber, GIT, Jira, Jenkins, simulators etc.",Appium|TestAutomation|Cucumber|Java|Maven|
Automation Testing (Selenium/Java/Appium) : Navi Mumbai (Mahape),Qc Acumen Private Limited,MumbaiCity|NaviMumbai,2-7years,400000 - 800000 INR,"Dear Candidate,  |   |  Urgent opening with leading IT firm.","""AutomationTesting""|""AutomationTester""|""Appium""|""Selenium""|""Java""|"
Mobile Automation Test Engineer,Brain Management Consultants India Private Limited,Bengaluru/Bangalore,4-6years,Not Specified,'Core Java 2-3 years. Must' |  'Framework development experience 6 months. ' |,"""Frameworkdevelopment|Appium|Ios|Android|CoreJava|"
"Automation Architect,Mumbai & Bangalore",3i Infotech Limited,Bengaluru/Bangalore|Mumbai,12-20years,Not Specified,"Automation Architect,Mumbai & Bangalore |",AutomationArchitect|AppiumandSOAPUI|Selenium|Postman|Eggplant|Java|C#|Nodejs|Codedui|
Salesforce QA - Automation Testing,Fin Infocom Private Limited,Bengaluru/Bangalore|Mumbai,4-12years,Not Specified,Role - Salesforce QA - Automation Testing |   |  Location - Pan India,CPQCloud|SalesforceAutomationTesting|UiAutomation|ApiAutomation|Selenium|Tosca|Selenium|SalesforceTesting|Groovy|Shell|Cucumber|Testng|Appium|
Appium Tester,Quess IT Staffing (Formerly known as Magna Infotech),Hyderabad/Secunderabad,1-3years,200000 - 300000 INR,Job title: Mobile testing Appium |    |   Build Automated Test scripts for Mobile application and the tools used are Appium / Selenium / Jmeter / JIRA  |   Should write automation scripts for Android and iOS platforms.   |   Working directly with developers.,Appium|SeleniumAutomation|Selenium|Jmeter|JIRA|
Mobile Automation tester,Aritha Consulting Services Private Limited,Bengaluru/Bangalore|Pune,5-12years,Not Specified,Mobile automation tester |   |  Selenium+ Core java+ APPIUM(android and ios both)+ BDD+GIT,Selenium|Appium|CoreJava|Bdd|Git|
Automation Test Engineer,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-6years,Not Specified,"3 to 5 years experience in Automation testing |  Hands-on experience on Appium, Selenium and TestNG/Junit |  Good programming skills either on Java or python |  Knowledge on CI/CD pipeline and Jenkins is a plus |  Should be able to arrive at testcases and buildi",Appium|Java|Jenkins|MobileTesting|MobileApplicationTesting|TestEngineer|SoftwareTesting|Qa|
Automation Tester (Mobile Application),Innointel LLC,Remote,2-7years,300000 - 550000 INR,"Understanding business logic of existing projects and communicating it with team members. Estimating, prioritising, planning and coordinating testing activities",ManualTesting|AutomationTesting|Selenium|Appium|TestScripts|TestCases|DefectTracking|
QA -automation with Appium,Avionic Consulting Solutions,Hyderabad/Secunderabad,4-7years,Not Specified,"QA resource with 4 to 7 plus years on automation - Mobile testing in Appium (native/web). Desirable : Prior experience in Banking Domain with strong, experience in Web based (CRM and .NET) applications, Android applications.",Qa|automation|Manual|Appium|MobileTesting|
Automation QA Lead,Andnr Soft Solutions Private Limited,Bengaluru/Bangalore,6-8years,Not Specified,"Automation Testing (on front end, backend (API Testing and DB testing)), Appium, Selenium, Framework designing, Test cases, logging and log aggregators.",AutomationTesting(onfrontend|backend(APITestingandDBtesting))|Frameworkdesigning|loggingandlogaggregators.|Appium|Selenium|TestCases|
Quality Analyst,Fpt India Private Limited,Ahmedabad,2-5years,Not Specified,Quality Analyst,QualityAnalyst|ManualTesting|Postman|Jmeter|Appium|Jenkins|
"Test Manager (Automation-Selenium, Katalon, Appium) - Telecom Domain",Larsen & Toubro Infotech Limited,Mumbai,10-13years,Not Specified,Job Opportunity for Automation Test Manager (Telecom Domain) position |     Job Location: Mumbai |     Experience: 9+ Years |     Mode: C2H/Permanent |     Notice Period: Immediate to 20 Days,AutomationTestManager|TestManagerQAManager|
