jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent Hiring For Ground Staff Profile,Diraa HR Services,Bengaluru/Bangalore|Cochin/Kochi/Ernakulam,Fresher,350000 - 750000 INR,We are hiring for ground staff...,Learning|Teamwork|ProblemSolving|initiativeandenterprise|planningandorganising|
Urgent Hiring for air Ticketing job in Airline,Blue Chip Hr Solutions,Delhi|Hyderabad/Secunderabad,Fresher,Not Specified,We are hiring for air ticketing job in airline.,CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|
Urgent hiring for ground Staff.,HR Grid Solutions,Delhi|Hyderabad/Secunderabad,0-2years,Not Specified,We are hiring for ground staff job at airport...,CommunicationSkills|PeopleSkills|Criticalthinkingskills|PositiveAttitude|Teamwork|Honesty|
Hiring for the Ground Staff and Air Ticketing Roles.,White Collar Job,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-2years,Not Specified,We are hiring for ground staff and Air Ticketing...,CommunicationSkills|Criticalthinkingskills|PeopleSkills|PositiveAttitude|Teamwork|
Hiring for Ground Staff and Cabin Crew.,Avontix Global Private Limited,Bengaluru/Bangalore|Kannur,0-2years,550000 - 750000 INR,We are hiring for Airport Staff...,Teamwork|communication|ProblemSolving|initiativeandenterprise|PlanningandOrganising|
"Urgent Hiring for Ground Staff, Air ticketing and Cabin Crew in Airline.",Blue Chip Hr Solutions,Chennai|Kolkata,0-2years,Not Specified,"We are hiring staff for 3 job profile - Ground Staff, Air ticketing and Cabin crew...",CommunicationskillsPlanning|OrganizingResponsibility|Teamwork|Problem-solvingskills|Interpersonal|abilitiesFlexibility|SoftSkills|ManagementSkills|Professional|
Cabin Crew Hiring,Blue Chip Hr Solutions,Chennai|Cuddalore,Fresher,350000 - 750000 INR,We are hiring fro the Cabin Crew...,Teamwork|ProblemSolving|Learning|planningandorganising|initiativeandenterprise|
Hiring for the Airport Work .,Blue Chip Hr Solutions,Bengaluru/Bangalore|Guwahati,0-2years,350000 - 750000 INR,We are hiring for the Air Ticketing Profile...,planningandorganising|self-management|Teamwork|ProblemSolving|
Hiring for the Cabin crew in Airline.,Blue Chip Hr Solutions,Bengaluru/Bangalore|Delhi,Fresher,Not Specified,We are hiring for the Cabin crew job in airlines...,CommunicationSkills|Criticalthinkingskills|PositiveAttitude|Leadership|Knowingyourlimitations|
urgent hiring for cabin crew for girls,Blue Chip Hr Solutions,Bengaluru/Bangalore|Chennai,0-1years,320000 - 780000 INR,"As a cabin crew member, you'll provide excellent customer service to passengers while ensuring their comfort and safety throughout the flight. Serving refreshments and meals and selling gifts and duty-free items are all part of the job.",excellentcommunicationskillsexceptionalcustomerserviceconfidenceindealingwitharangeofpeoplegoodco-operationskillsasyou'llworkwithdifferentteamsday-to-daycompassionandtheabilitytosupportyourcolleaguesdiscretionwhendea|
Cabin Crew,My Corporate Jobs,Delhi|Hyderabad/Secunderabad,0-2years,459999 - 780000 INR,Cabin crew jobs involve a lot of hard work and commitment but the rewards can be excellent.Cabin Crew are a vital part of commercial aviation for a number of reasons. Their role is to provide a high standard of customer care.,ExcellentCommunicationSkills|ExcellentCustomerService|worktogetherasateam|Inthecaseofanemergency|itisessentialthatcabincrewhavetheabilitytoremaincalm.|
