jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
A210184-Civil & Architectural drafts man for EDGE Data centers,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to prepare drawings as suggested by design engineer,CivilEngineering|ArchitecturalDesign|RevitStructure|AutoCad|
Java Architect,Isg Compusolutions India Private Limited,Delhi|Noida,9-12years,Not Specified,"Requires 9+ experience in J2EE application development. |  Including 3 years as an Architect or Associate Architect as an Individual Contributor. |  Proficiency in Core Java, J2EE, ANSI SQL, XML, Struts, Hibernate, EJB. |  Proficiency in Core Java Language. |",J2EE|Java|Sql|Xml|Struts|Hibernate|Ejb|AnsiSql|
AWS Architect,VP Delivery & Operations,Bengaluru/Bangalore|Mumbai,5-15years,Not Specified,"FrontM is a UK and India based, fast-growing software platform startup built with patented architectural design using MERN stack and AWS infra. This role is for a senior backend engineers with AWS, DevOps, CI/CD and node.js development experience.",AWS|Cloudfront|Node.js|JavaScript|Ec2|
Solution Architect,Selligence Solutions Private Limited,Coimbatore,15-25years,Not Specified,- 15+years of writing strong production-quality code  |  - .net core 3.x expertise |  - strong SQL database development |  - capable and experienced in optimizing products for mobile devices |  - experience in managing and building cloud-ready applications,.NetArchitect|Azure|.NET|.NET|Sql|SqlDatabase|TestDrivenDevelopment|
QA Architect,Labridge Consulting,Hyderabad/Secunderabad|Noida,10-15years,Not Specified,Designation:QA Architect |  Experience:10+ Years |  Location: Hyderabad /  Noida |  Notice Period: less than 15 Days |   |,QAArchitect|Uft|Jenkins|Selenium|Appium|Protractor|
VLSI -  Architect,Enigmasoft Technologies Private Limited,Goa,2-5years,Not Specified,Hiring for Goa Location,Autocad|Rhino|SketchupandPhotoshop|buildingcodes|understandingofconstructiontechnologies&detailing|
.Net full stack developer,C P Careers Private Limited,Chennai|Noida,2-5years,600000 - 1300000 INR,"Job description |   |  We are hiring .Net full stack developers @ Noida office |  Job Type: Permanent |  Notice Period : Immediate to 30 days only |  Shift: 12 Pm - 9 Pm |  Work from home until further notice |  Mandatory skills : Asp.net , C# , SQL , Angular OR React OR",ASP.NETCORE|C#+anyfront-endtechnologieslikereact|KnowledgeofAgileandworkingknowledgeofcloud|ExperiencedinSQL|Postgres/MySQLdb|JavaScript.|CSSKnowledgeonCloud|Net|Angular|Oops|Asp.net|C#|Sql|Angular|React|HTML|
OPENINGS FOR SAP MM CONSULTANT END USER FOR FRESHER,Career Mantra Management Services,Mumbai|Pune,0-2years,20000 - 130000 INR,Should have min 2 Years Experience in SAP as End User or core team member |   Should be an engineer with Mechanical/ Electrical background with maintenance |   Should have hands on knowledge of the SAP PM Process and Transactions |   Experience : 0-2 Years |,endusersupport|SapConsultant|FunctionalConsultant|
Sr.Net full stack developer,C P Careers Private Limited,Chennai|Noida,5-10years,1100000 - 2000000 INR,Job description |   |  We are hiring .Net full stack developer for Noida office |  Total Exp :5 + yrs to 10 yrs |  Notice Period : Immediate to 30 days only |  Domain experience: Logistic (Added advantage),SQLServer&Angular4/5/6|atabaseschema(SPs/triggers)design|developmentandoptimizationwithRDBMSdatabase|strongdesign|codinganddebugging|icrosoftdesignpatterns|developmentbestpractices|applicationblocks|Tools|ASP.NET|Mvc|C#|
"Architect , Interior Designer, Furniture Designer / Canada & Australia",I2canz Outsourcing Private Limited,Australia|Canada,2-10years,2550000 - 3550000 INR,"Architects conceptualize, plan and develop designs for the construction and renovation of commercial, institutional and residential buildings. They are employed by architectural firms, private corporations and governments,or they may be self-employed",Architect|InteriorDesigner|FurnitureDesigner|ChiefArchitect|Residentialarchitect|
