jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Development Associate,Aerolith Business Private Limited,Delhi|Gurgaon/Gurugram,1-4years,800000 - 1000000 INR,Urgent Hiring for Business Development Associates,BusinessDevelopmentAssociate|Mba|BusinessDevelopment|Sales|ClientServicing|LeadGeneration|
Quality Associate,Urbanclap Technologies India Private Limited,Noida,0-2years,150000 - 290000 INR,"Profile: Quality Associate |  Salary : 16,000 to 20,000 In hand |  Interview time : 11AM - 6PM |  Who can Apply : Fresher and Experienced (0 to 2 Year) |  Salary : 16,000 to 20,000 In hand |  Interview Venue : B-113, Ground Floor, Sector-64, Noida -201301 |",GoodCommunicationsSkills|
Sales Associate,C P Careers Private Limited,Bengaluru/Bangalore|Delhi,1-5years,300000 - 600000 INR,Visit prospective customers homes for their Home Painting Requirement |  Do a home survey and pitch to Customers about the UCs Painting Services and consult them to make the right choices. |  Win the customer & get UC hired for the Customers Painting work,FieldSales|SalesOfficer|BusinessDevelopment|Sales|
ASSOCIATE MANAGER,2COMS Consulting Private Limited,Bengaluru/Bangalore|Chennai,5-9years,600000 - 1200000 INR,"Job Description |   |  Job Responsibilities |   |   |   |   Provide Primary support for PostgreSQL and MongoDB |   |   Troubleshoot database service outages as they occur, escalate using escalation |   |  matrix |   |   Provide night on-call after-hours and weekend support |   |   When perfo",occurs|Tools|Rpo|Rto|pgdump/clusters|index/query|writtenandverbal|prevention|postgresql|mongodb|powershell|Vmware|Kubernates|
Process Associate,Aspire Group of Services,Kolkata,1-5years,Not Specified,With the ongoing agenda of preventing the spread of the COVID 19 virus across the globe requesting all to adhere to the precautionary measures suggested by the government and health authorities. We wish you and your family good health.We can arran,ProcessAssociate|
Admin Associate,2COMS Consulting Private Limited,Lucknow,0-1years,Not Specified,Core Competencies: 1. Communication and Interpersonal skills |    |   2. Housekeeping / Vendor Management |    |   3. Event Management & Employee Engagement / Recruitment & Coordination |    |   4. HR Activity,AdminExecutive|AdministrationExecutive|AdminAssistant|FrontOfficeExecutive|AdminOfficer|AdminManager|Administration|OfficeAssistant|
Process Associate Accounts,Crescendo Manpower Consultany Private Limited,Kolkata,2-3years,Not Specified,Urgent hiring experienced accounting professionals in a leading MNC companyJob Designation: Process Associate (Accounting)Job Description:  * Must have good English speaking and narration skills.Cordinate with clients over calls  * Good to,
ASSOCIATE MANAGER-QED,Continuum Managed Solutions LLP,Hyderabad/Secunderabad,2-6years,200000 - 280000 INR,"WE HAVE OPENING FOR ASSOCIATE MANAGER-QED IN A FMCD COMPANY,LOCATION HYDERABAD,SALARY UPTO 2.8 LPA","QED|5S|""QualityAssurance""|Iso|""QCTools""|"
Associate Manager-Engineering,Provance Business Consulting Private Limited,Mumbai|Pune,8-13years,Not Specified,Location |  Pune / Mumbai  |   |  Qualifications |  B.E/B.Tech in Computer Science or related field required   |   |  Experience |  8 Years - 0 Months To 12 Years - 0 Months |,Handlingscrumteam|Complexproject|Complexproject|opensourcetechnology|Event-DrivenArchitecture|DesignPatterns|AgileScrumProcess|ProjectLifeCycle|
Business Development Associate,Investors Guru Private Limited,Delhi|Kanpur,1-3years,Not Specified,Business Development Associate. |  Experience-1 to 3 |  Location-All over the India,B2C|Sales|Businessdevelopment|SalesMarketing|DirectSales|
Process Associate (International Voice),Insigma Technologies Private Limited,Hyderabad/Secunderabad,0-5years,200000 - 500000 INR,"Hiring for top MNCs in Hyderabad, for BPO (Business Process Outsourcing)services, Which offers a professional work environment, outstanding challenges, industry competitive compensation, accelerated career growth and overseas opportunities.","""Internationalvoiceprocess""|""Internationalprocess""|""InternationalSales""|Customersupport""|""Voiceprocess""|""Customerservice""|""VoiceSales""|""ADP""|""Amazon""|""HSBC""|""Dell""|""Deloitte""|""Regalix""|""C3I""|""Accenture""|""Cognizant""|"
SR/Assistant/Associate Professor,Urbanclap Technologies India Private Limited,OtherIndia,0-5years,1200000 - 2000000 INR,Hiring for - SR/Assistant/Associate Professor : Psychiatry  |   |  Company Name - Narayan Medical College & Hospital |  Post - Permanent |  Location - Bihar |  Salary -  12 L per annum ( Fresher ) / Experienced - Negotiable/ Hike on last CTC |,Psychiatry|SR|Assistant/AssociateProfessor|
Process Associate IR Operation,FMS Solutions India Private Limited,Nagercoil,0-5years,Not Specified,Maxerience highly believes on Artificial Intelligence & Internet-of-Things based systems for the digital world. We are seeking for a reliable and organized person to join us as a Process associate.,ComputerKnowledge|GoodCommunication|
Sales Associate - Urban Company,Dronacharya HR Management,Hyderabad/Secunderabad|Mumbai,1-6years,300000 - 600000 INR,Visit prospective customers homes for their Home Painting Requirement Do a home survey and pitch to Customers about the UCs Painting Services and consult them to make the right choices. Win the customer & get UC hired for the Customers Painting work.,FieldSales|DirectSales|b2bsaSalesExecutive|ChannelSales|CorporateSales|DirectSelling|
ASSOCIATE MANAGER-FINANCIAL SERVICES,Coral Bling Services Private Limited,Gurgaon/Gurugram|Mumbai,10-14years,2000000 - 3050000 INR,"You will be aligned to our Financial Services, Insurance, and Capital Market vertical which is focused on helping clients with their tax preparations, insurance coverage, and investment portfolios.",JournalEntries|Consulting|FinancialPlanning|RecordToReport|FinancialRiskManagement|ClosingAndReporting|GeneralLedger|GeneralAccounting|record2report|CapitalMarket|InvestmentBanking|FixedIncome|Securities|Ncfm|HedgeFunds|
Process Associate/Senior Process Associate,Manheer Singh (Proprietor Of BigBoss Decor),Hyderabad/Secunderabad,2-6years,Not Specified,"Experience in day to day book keeping,  |  Complete month end closures |  Maintain client work papers |  Create and post period end journal entries |  Reconcile balance sheet accounts  |  Maintain and document client specific notes  |",BookKeeping|Monthendclosures|clientworkpapers|JournalEntries|
Associate Product Manager,TRT (India) Private Ltd.,Mumbai,3-6years,Not Specified,"|   |  Product Manager who has a passion for bringing digital products to life, you enjoy spending time understanding customer problems, and working directly with Technology, UX, Sales, and business teams. You have a passion for Agile manag",productRoadmap|userbehavior|conceptualize|Productrequirement|Documentation|
Financial Services Associate,Coral Bling Services Private Limited,Ahmedabad|Surat,0-5years,100000 - 180000 INR,Sales and Business Development,Sales|Businessdevelopment|Marketing|DirectSales|FieldSales|InsuranceSales|FinancialSales|BankingSales|SalesExecutive|
Customer Care Associate,BluSapphire Technologies,Mohali|Chandigarh,0-1years,170000 - 190000 INR,WORK FROM OFFICE |  Hiring For Customer Care Service |  Qualification :- Graduates or Under Graduates |  Chat and Voice Process |  Location :- Mohali |  Salary :- 16k with CTC |  Rotational Shift |  Rotating Week Off |  Contact no :- HR Tanzeem 8956137033,DomesticProcess|CustomerCareAssociate|ChatProcess|VoiceProcess|Inbound|CallCenter|Bpo|CustomerSupport|
Associate Software Engineer,ATA Infotech Ventures Private Limited,Pune,0-3years,170000 - 250000 INR,Immediate opening For Associate Software Engineer/Developer For 2020 Passed Out Only.,Fresher|Java|CSS|Javascript|Bootstrap|HTML|SoftwareEngineering|
