jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
A210185-MEP Electrical Draughtsman for Datacenters,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the Electrical & HVAC works of Datacenter,HVACDraughtsman|RevitMep|AutoCad|
OPENINGS FOR Civil DESIGN ENGINEER FRESHERS,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 229999 INR,We have urgent openings for Civil Design Engineer for Freshers. We are looking for a talented and detail-oriented Design Engineer to join our creative team.As the Design Engineer all candidates should be creative thinkers with excellent skills. |   |,UgNx|DesignEngineer|AutoCad|Solidworks|
A210184-Civil & Architectural drafts man for EDGE Data centers,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to prepare drawings as suggested by design engineer,CivilEngineering|ArchitecturalDesign|RevitStructure|AutoCad|
Auto Cad Design Diploma,Orissa Doot Private Limited,OtherIndia,0-3years,Not Specified,Opening for Auto Cad Design  in Bhubaneswar Location .,AutoCadDesignDiploma|3D|2DDesign|DesignEngineer|
Wanted Design Engineer - Freshers,Z-Tech Solutions,Chennai,0-1years,Not Specified,"Openings for Mechanical design Engineer, From 0 to 1 years   , with basic knowledge in Design ( Auto CADD - Solid Works & CATIA ) related terms , and should also be self motivated and good in work Efficiency |                  |",MechanicalEngineer|Catia|AutoCad|SolidWorks|
OPENINGS FOR BE MECHANICAL DESIGN ENGINEER FRESHERS,Career Mantra Management Services,Mumbai|Pune,0-1years,120000 - 229999 INR,We have urgent openings for Mechanical Design Engineer for Freshers. We are looking for a talented and detail-oriented Design Engineer to join our creative team.As the Design Engineer all candidates should be creative thinkers with excellent skills.,UgNx|DesignEngineer|AutoCad|Solidworks|
Wanted Design Engineer - Freshers,Z-Tech Solutions,Chennai,0-1years,Not Specified,"Openings for Mechanical design Engineer, From 0 to 1 years   , with basic knowledge in Design ( Auto CADD - Solid Works & CATIA ) related terms , and should also be self motivated and good in work Efficiency |                 |",MechanicalEngineer|Catia|AutoCad|SolidWorks|
Architect  Interior Designer Site Supervisor,Nishanth Chowda ( Proprietor Of Nishanth Chowda ),Hyderabad/Secunderabad,2-5years,Not Specified,Urgently need an Architect(B arch compulsory) and Interior Designer at jubilee hills check post Hyderabad,SketchUp|SiteManagement|BoqPreparation|AutoCad|MsOffice|
Mechanical Design Engineer  ( Internship -  AutoCAD / Solidworks / Creo / NX / CATIA ),Manheer Singh (Proprietor Of BigBoss Decor),Chennai|Trichy,0-5years,Not Specified,Mechanical Design Engineer ( AutoCAD / Solidworks / Creo / NX / CATIA ),MechanicalDesignEngineer|MechanicalEngineer|CadDesign|Creo|Catia|SolidWork|AutoCad|NX-Unigraphics|Solidworks|
Mechanical Design Engineer  ( Internship -  AutoCAD / Solidworks / Creo / NX / CATIA ),Newzen Infotech,Madurai|Tirunelveli,0-5years,Not Specified,Mechanical Design Engineer ( AutoCAD / Solidworks / Creo / NX / CATIA ),MechanicalDesignEngineer|MechanicalEngineer|CadDesign|Creo|Catia|SolidWork|AutoCad|NX-Unigraphics|Solidworks|
Mechanical Design Engineer  ( Internship -  AutoCAD / Solidworks / Creo / NX / CATIA ),Career Mantra Management Services,Erode|Salem,0-5years,Not Specified,Mechanical Design Engineer ( AutoCAD / Solidworks / Creo / NX / CATIA ),MechanicalDesignEngineer|MechanicalEngineer|CadDesign|Creo|Catia|SolidWork|AutoCad|NX-Unigraphics|Solidworks|
CAD Engineer,Z-Tech Solutions,Mysore,1-6years,250000 - 450000 INR,Requirement for CAD Engineer.,CADEngineer|Design|Drafting|Solar|Autocad2D|Autocad3D|CAD|Pv|ElectricalEngineering|AutoCad|
WE HAVE ARGENT REQUIREMENT FOR DESIGN CANDIDATE LOCATION PUNE,Z-Tech Solutions,Pune,0-2years,180000 - 220000 INR,"Dear Candidate, |  We have an urgent requirement design engineer. |  PRODUCTION,QUALITY,DESIGN ENGINEER FRESHERS |  AutoCAD, Catia design engineer - fresher experience |  FOR MORE DETAILS VISIT OUR OFFICE 9AM TO 2PM AND CALL 8669702312,706672312,8002551517",DesignEngineer|Automobile|Cam|Catia|AutoCad|SolidWorks|
Mechanical Engineer,Constro Systems and Engineers Private Limited,Chennai|Hyderabad/Secunderabad,0-1years,110000 - 220000 INR,"Mechanical engineers research, design, develop, build, and test mechanical and thermal sensors and devices, including tools, engines, and machines.",AutoCad|Solidworks|
"Autocad Draughtsman Mechanical, Auto Cad Designer",Western Magic Developers,Bengaluru/Bangalore|Delhi,0-5years,350000 - 650000 INR,"Fresher Autocad Draughtsman Mechanical, Auto Cad Designer",Autocad|AutoCadDesigner|DraughtsmanMechanical|DesignEngineer|Freshers|Draughtsman|
Hiring for Tool Design Engineers Experienced,Wright Placements,Bengaluru/Bangalore|Pune,3-8years,229999 - 480000 INR,"Experience in method Planning, series tool design and manufacturing concepts.  |  Candidates should have experience in Tool design and development work . |  Experience : 3-8 Years |  Salary:25K to 4OK |   |  Auto Cad UG |  NX, RAC ,2D,3D |  Electronics Sheet Metal",SheetMetalDesign|PressTool|Design|AutoCad|Solidworks|Ugnx|
Wanted Design Engineer - Freshers,Newzen Infotech,Chennai,0-1years,Not Specified,"Openings for Mechanical design Engineer, From 0 to 1 years   , with basic knowledge in Design ( Auto CADD - Solid Works & CATIA ) related terms , and should also be self motivated and good in work Efficiency |                |",MechanicalEngineer|Catia|AutoCad|SolidWorks|
