jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
HYUNDAI MOTORS PVT LTD (AUTOMOBILE),Balraj Associates,Bareilly|Durgapur,0-1years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
Hiring for Automobile Industry,Arush Manpower Solution,Hyderabad/Secunderabad|Visakhapatnam,0-1years,Not Specified,Automobile Company Hiring Fresh And exp.Male & Female candidates for his all India process. |   10th to 12th Graduate and Diploma & qualified candidates are required.,Automobile|
Automobile Engineer,Adot Consultancy,Cochin/Kochi/Ernakulam|Thrissur,1-2years,110000 - 220000 INR,"Their job responsibility is to design, manufacture and operate automobiles. It incorporates elements of mechanical, electrical, software and safety engineering as applied to design and manufacture buses, bikes, trucks and other vehicles and machines",Technician|Mechanic|AutomobileEngineer|ServiceEngineer|
"Automobile Industries Jobs Hiring Full Time,Store Keeper,Supervisor.",Arush Manpower Solution,Dharamsala|Shimla,0-5years,Not Specified,"Perform maintenance and repair on customer vehicles. Identify problems with vehicles using the equipment. Explain automotive repairs and issues and provide great customer service. ... Repair and replace brake pads, wheel bearings, sensors and other,",AutomobileEngineer|Automobile|Manufacturing|Vehicle|
MAHINDRA MOTORS PVT LTD (Automobile),Balraj Associates,Surat|Tezpur,0-3years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
"Automobile Industries Jobs Hiring Full Time,Store Keeper,Supervisor.",Arush Manpower Solution,Dibrugarh|Jorhat,0-5years,Not Specified,"Perform maintenance and repair on customer vehicles. Identify problems with vehicles using the equipment. Explain automotive repairs and issues and provide great customer service. ... Repair and replace brake pads, wheel bearings, sensors and other,",AutomobileEngineering|Automobile|Manufacturing|Mechanical|
HYUNDAI MOTORS PVT LTD (AUTOMOBILE),Balraj Associates,Guwahati|Moga,0-2years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
MAHINDRA MOTORS PVT LTD (Automobile),Balraj Associates,Shillong|Shimla,0-2years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
TATA MOTORS PVT LTD (Automobile),Balraj Associates,Nellore|Silchar,0-3years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
TATA MOTORS PVT LTD (Automobile),Balraj Associates,Varanasi|Vijayawada,0-2years,Not Specified,"Apply Male&Female Candidate, Fresher and Experience,",Automobile|
