jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Research Specialist,Azure Knowledge Corporation Private Limited,Delhi|Mumbai,3-13years,Not Specified,"Research Specialist in Market Research industry with excellent English communication skills and vast experience in CATI in US. Experience in Telecom, Finance and Banking sector must. Immediate joining preferred |",ResearchOfficer|ResearchExecutive|ResearchAssociate|ResearchAssistant|
Sr. Project Manager (Opening across India),Azure Knowledge Corporation Private Limited,Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Applicant must be from Market Research industry only, Should have experience of Face to Face and online studies,    Experience in US market MUST, Ready to work in US shift, Work from home flexibility",Sr.ProjectManager|ProjectManager|DeliveryManager|SeniorProjectManager|
Vice President Sales VP Sales (Opening for USA and Canada),Azure Knowledge Corporation Private Limited,Canada|US,3-10years,Not Specified,Applicant must be from US only and worked in Market Research industry having experience in healthcare sector,VicePresidentSales|VPSales|
Vice President Operations (Opening across India ),Azure Knowledge Corporation Private Limited,Bengaluru/Bangalore|Delhi,3-10years,Not Specified,Applicant must be from Market Research industry having experience in healthcare sector,VicePresidentOperations|VPOperations|
"Digital Marketing, Social Media Marketing (Position across India)",Azure Knowledge Corporation Private Limited,Ahmedabad|Bengaluru/Bangalore,5-15years,Not Specified,"Manage Azure's digital presence pertaining to ongoing recruitment efforts on all major and relevant forums, platforms and networks. Generate ongoing interest from Healthcare respondents. Engage with online forums, groups and special purpose portals",SocialMediaMarketing|DigitalMarketing|OnlineMarketing|
"Senior Project Manager (Job location Brazil, Mexico, USA)",Azure Knowledge Corporation Private Limited,Mexico|US,5-10years,Not Specified,"Applicant must be from Market Research industry. Job would include execution of projects , participating in bids , finding vendors and vendor management",ProjectManager|SeniorProjectManager|DeliveryManager|
azure developer,Keen Bright Solutions Llp,Hyderabad/Secunderabad,3-10years,Not Specified,azure developer,Azure|
IMMEDIATE CONTRACT TO HIRE (1 YEAR) OPENING FOR  AZURE ARCHITECT. NOTICE PERIOD: 30 DAYS EXPERIEN,BR Raysoft Global Private Limited,Bengaluru/Bangalore|Chennai,5-10years,Not Specified,IMMEDIATE CONTRACT TO HIRE (1 YEAR) OPENING FOR  AZURE ARCHITECT. |  NOTICE PERIOD: 30 DAYS |  EXPERIENCE: 5+ YEARS |  MANDATORY SKILLS: |  o	Preferably certified in Mule 4. Azure logic apps |  o	Azure event grid |  o	Azure Function app |  o	Azure DevOps |  o	Azure APIM |   |,AZURELOGICAPPS|AZUREFUNCTIONSAPP|AZUREEVENTGRID|
Active Directory azure active directory AZURE office 365 O365,3 Minds ESolutions Private Limited,Chennai|Mumbai|MumbaiCity|NaviMumbai|Thane,4-14years,Not Specified,remote position for support engineer,ActiveDirectory|Azure|O365|Office365|Office365|AzureAd|AzureActiveDirectory|
Azure DevOps Engineer,Enigmasoft Technologies Private Limited,Goa,2-6years,Not Specified,Hiring for Goa Location,AzureActiveDirectoryB2B|AzureActiveDirectoryDomainServices|Multi-FactorAuthentication|AzureActiveDirectory|
Azure Data Engineer/Architect,Digiquint Solutions Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"-Azure Migrations, Azure infrastructure, Documentation & Communication, Azure Consultant.",AzureMigrations|Azureinfrastructure|DocumentationandCommunication|AzureConsultant|AzureDataLakeStorage|AzureSynapse|AzureDataFactory|
DevOps Engineer - Azure,3 Minds ESolutions Private Limited,Chennai|Mumbai,4-14years,Not Specified,"Urgent Hiring for Web Platform Engineer with skills Devops, AZURE, AKS, Kubernetes in Mumbai/ Chennai/Pune Location.",WebplatformEngineer|DevopsEngineer|Devops|Azure|
DevOps Support Engineer,Insigma Technologies Private Limited,Noida,1-5years,Not Specified,"The person should be responsible for co-ordination between DevOps Core team, Support team and Product Development team. He / She should track DevOps task, do follow-up and provide basic support on technical front.",Devops|Azure|
.Net Developer,Synechron Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-13years,Not Specified,".Net, Azure, Angular, PCF",Pcf|Angular|Azure|
Azure Devops Architect,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore|Chennai,10-15years,Not Specified,"Encora is looking for Azure Devops Architect with 10-15 years experience in Azure Cloud, Azure Migrating On-Premises to Azure Cloud, SaaS, PaaS, IaaS, Azure portal, Azure Web App, Micro services, Azure function, Azure SQL, Azure Devops- Docker, Kuber",Iaas|Saas|Mvc|Sql|AWS|Gcp|Azure|Oracle|
Python Application Developer with Azure Infra Experience,HTC Global Services (India) Private Limited,Bengaluru/Bangalore,3-10years,1350000 - 2190000 INR,HTC Global Services is hiring Python Application Developers with Azure Experience for Bangalore Location.,Python|Azure|
