jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"B2B commerce lightning experienced professional on hourly basis work, Chennai-Whatsapp HR 7200003809",Bright Hat Private Limited,Chennai,2-7years,Not Specified,"We require experienced Salesforce B2B commerce candidate with lightning experience.  Interested candidates, kindly text message to Whatsapp No. 7200003809 mentioning that you are applying for B2B commerce lightning. We will get back to you.","""B2Bcommercelightning""|""Lightning""|""SalesforceB2Bcommerce""|""Salesforcelightning""|"
Collection Process B2B/Collection Associates,Spirient Staffing Solutions Private Limited,Delhi|Gurgaon/Gurugram,1-6years,Not Specified,"Managing Collection Partner for optimum efficiency . |  Monitoring, timely resolution all issues highlighted by agency. |  Calling High Value customers and retaining them |  Managing payment collection from field through riders |  Manage Collection targets.",CollectionProcess|CollectionExecutive|Retention|collectionassociate|CollectionB2B|
Urgent looking for B2B (Key Account Manager).,TradeBulls Securities Private Limited,Delhi,3-8years,350000 - 450000 INR,"Business-to-business (B2B) is a transaction or business conducted between one business and another, such as a wholesaler and retailer. B2B transactions tend to happen in the supply chain, where one company will purchase raw materials from another to",B2b|
"Telesales , Business Development , B2B Sales",Hire Zone Solution,Delhi,0-3years,100000 - 150000 INR,"Identifying Clients, Introducing the Company and Self, Presenting the Concept, Convincing Its Values and Its Benefits and Executing Orders and other Corporate Services, Adhering to Target Limits. |   |  This Job Does Want You to Collect Data, Sort anylzise",OutboundSales|Telesales|BusinessAnalyst|FinancialAnalyst|b2bsales|
Corporate Sales Executive,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,2-5years,Not Specified,Urgent requirement for Sales executive for gurgaon location,B2bSales|
Corporate Sales Supervisor,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,Urgent requirement for Sales supervisor for gurgaon location,InternationalSales|B2bSales|
"Hiring for Key Account Manager(B2B sales) in Tradebulls Securities for Bangalore,Chennai & Hyderabad",TradeBulls Securities Private Limited,Bengaluru/Bangalore|Chennai,1-6years,Not Specified,"Looking for 1year +Experience in Broking in B2B sales(Sub Broker sales)for Bangalore,Chennai & Hyderabad Location |   Work form Home is available  |     Acquisition of New Sub broker to the company |",Broking|SubBroker|B2bSales|franchiseacquisition|
Sales Officer (B2B),Spirient Staffing Solutions Private Limited,Delhi|Gurgaon/Gurugram,1-4years,Not Specified,We're looking for sales officer for Gurgaon location with Excellent Communication skills.,BroadbandSales|Telecommunication|Telecom|Broadband|
International E-Commerce Manager (Alibaba) B2B,Lapaya Luggage Private Limited,Jaipur,2-5years,200000 - 600000 INR,We are looking for someone who has good experience in Alibaba (B2B) Process.,InternationalBusinessDevelopment|InternationalMarketAnalysis|InternationalBusinessExposure|internationalbusinessstrategy|
ITO- B2B VOICE SUPPORT- WORK FROM OFFICE @ PUNE | 8237076800,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Technical Support VOICE process,Virginmedia|concentrix|Wipro|Troubleshooting|Voice|internationalvoiceprocess|Technicalsupport|techsupport|desktopsupport|ApplicationSupport|
EDI Specialist(AXWAY),Labridge Consulting,Hyderabad/Secunderabad,3-5years,Not Specified,Designation: EDI Specialist(AXWAY) |   Experience : 3-7 Years |   Location: Hyderabad |   Mode: Full Time |       |,EDISpecialist|Edi|Axway|B2bIntegration|
Digital Marketing Executive,RheinBrucke IT Consulting Private Limited,Chennai,1-3years,300000 - 500000 INR,An European based B2B IT firm is looking for a digital marketing executive for the internal digital marketing team.,DigitalMarketing|EmailMarketing|B2b|EmailCampaign|
Business Development - IT Sales,MP Dominic & Co,Cochin/Kochi/Ernakulam,2-7years,Not Specified,Excellent experience in IT Sales,"""ITSales""|""BusinessDevelopmentITSales""|""InternationalITSales""|B2b|B2C|"
Lead Generation Executive,Strategic Initiatives,Kozhikode/Calicut,1-3years,180000 - 280000 INR,"We are looking for an experienced Lead Generation Executive to work with our Sales and Marketing team to develop and execute a healthy lead generation program, driving qualified leads into the sales pipeline.",LeadGeneration|LeadGenerationSales|B2bSales|B2bMarketing|
Sales Associate - Urban Company,Urbanclap Technologies India Private Limited,Hyderabad/Secunderabad|Mumbai,1-6years,300000 - 600000 INR,Visit prospective customers homes for their Home Painting Requirement Do a home survey and pitch to Customers about the UCs Painting Services and consult them to make the right choices. Win the customer & get UC hired for the Customers Painting work.,FieldSales|DirectSales|b2bsaSalesExecutive|ChannelSales|CorporateSales|DirectSelling|
One Stop Selection - GRADUATE- B2B VOICE PROCESS| FIX SHIFT SAT-SUN OFF| 8237076805,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Kick Start Your Career In Top International Bpos  .,Bba|Bca|BA|Bcom|Bsc|Graduate|Fresher|Voice|calling|Inbound|Outbound|B2b|customerservice|internationalvoiceprocess|fixshift|
"National relationship Manager , b2b sales",I Tech Solutions,Mumbai|MumbaiCity|NaviMumbai|Thane,2-6years,Not Specified,Urgent hiring for NRM,NationalSalesManager|SalesManager|
B2B Corporate Business Development Manager,Hiremount Solutions Private Limited,Ludhiana,5-10years,Not Specified,B2B Corporate Business Development Manager ll sales ll Healthcare,B2BCorporateBusinessDevelopmentManagerllsalesllHealthcare|
B2B Integration Developer,Select Source International Private Limited,Chennai|Cochin/Kochi/Ernakulam,3-7years,Not Specified,"IBM Sterling, MuleSoft",IBMSterling|Mulesoft|
Copy Writer,Eteam Info Services Private Limited,Bengaluru/Bangalore,3-6years,Not Specified,"Role: Copy Writer |  Payroll: eTeam |  Loc: Bangalore (Now WFH) |  4-5 years professional copywriting exp with solid portfolio of work |  Proficiency in MS Word, Excel, PowerPoint & Adobe Acrobat Pro |  B2B exp. Prior exp in Marketing Technology, will be beneficial",CopyWriter|Marketing|MsWord|Powerpoint|AdobeAcrobat|B2b|MsExcel|
Senior Executive - Sales/ Assistant Manager- Sales ||Corporate Sales/B2B Sales| Bangalore,Monster.com - India,Bengaluru/Bangalore,1-8years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,SeniorExecutive-Sales|AssistantManager-Sales|CorporateSales|B2bSales|ClientRetention|Acquistion|Businessdevelopment|RevenueGeneration|Reportsgeneration|
Sales Executive - B2B Sales - Industrial Sales,Aspire Group of Services,Lucknow,0-1years,Not Specified,REQUIREMENTS |  *Proven experience as a Sales Executive or relevant role in B2B Sales. |  *Excellent knowledge of MS Office. |  *Should have Competency and skills required for Sales. |  *Fast learner and passion for sales. |,INDUSTRIALENGINEER|LeadGeneration|B2bSales|IndustrialSales|businesstobusiness|Marketing|B2bMarketing|
"B2B Sales, Business Development (online work from home) for Steel Ecommerce",AGT Software Impex,Delhi|Gurgaon/Gurugram,1-11years,Not Specified,"Identifying Clients, Introducing the Company and Self, Presenting the Concept, Convincing Its Values and Its Benefits and client onboarding, Adhering to Target Limits. This Job is work from home in the USA working hours",SalesProfessional|AccountExecutive|
Senior Executive - Sales/ Assistant Manager- Sales ||Corporate Sales/B2B Sales| Mumbai,Monster.com - India,Mumbai,1-8years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,SeniorExecutive-Sales|AssistantManager-Sales|CorporateSales|B2bSales|ClientRetention|Acquistion|Businessdevelopment|RevenueGeneration|Reportsgeneration|
