jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Php developer,Sales Moguls Private Limited,Delhi,1-3years,Not Specified,We are looking for talented Php developer capable of developing highly demanding e-commerce applications.  |    |   For more pls call Hema @ 8800847556,Smarty|Phpdeveloper|PhpMysqlAjax|PHPprogrammer|Wordpress|WordpressDeveloper|Drupal|Magento|Php|CakePHP|Joomla|jQuery|Javascript|AJAX|Json|CSS|
Sales Officer,HDFC Sales Pvt Ltd,Mumbai,0-3years,Not Specified,Looking for  Sales Officer,Sales|SalesOfficer|Freshers|RelationshipManagement|BankingSales|BankingProductsales|BusinessDevelopment|
Social Media Marketing Executive/Manager,Sales Moguls Private Limited,Delhi,3-6years,Not Specified,Looking for a Social Media Marketing Manager with minimum 3 years of experience.,SMOExecutive|SocialMedia|SocialMediaExecutive|OnlineMarketing|Advertising|SocialNetworking|SocialMediaManager|InternetMarketing|facebook|instagrammanager|ContentWriter|ContentManager|ContentEditor|SocialMediaMarketingManager|SEO|
Relationship Manager/Executive,Sales Moguls Private Limited,Delhi,1-3years,Not Specified,Looking for a Relationship Manager/Executive with good communication skills. |   Freshers can apply too.,Telesales|CRM|Recruiter|NonITrecruiter|Bde|Bdm|Relationshipmanager|Sales|Selling|Marketing|DirectSales|AccountManager|BD|CrmSales|
UI/UX Developer,Sales Moguls Private Limited,Delhi,2-3years,240000 - 340000 INR,"Requirement of UI/UX Developer for Technology team for a permanent position, a person who has about 2-3 years of experience in UI/UX Development for web and software development. |",Photoshop|WebDeveloper|UserInterfaceDevelopment|Html5|Css3|Javascript|Bootstrap|jQuery|UiDevelopment|UserInterface|graphicaluserinterface|UXDeveloper|Programming|UiDesign|UX/UIDesign|
Corporate Sales Executive,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,2-5years,Not Specified,Urgent requirement for Sales executive for gurgaon location,B2bSales|
"Telesales , Business Development , B2B Sales",Hire Zone Solution,Delhi,0-3years,100000 - 150000 INR,"Identifying Clients, Introducing the Company and Self, Presenting the Concept, Convincing Its Values and Its Benefits and Executing Orders and other Corporate Services, Adhering to Target Limits. |   |  This Job Does Want You to Collect Data, Sort anylzise",OutboundSales|Telesales|BusinessAnalyst|FinancialAnalyst|b2bsales|
Corporate Sales Supervisor,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,Urgent requirement for Sales supervisor for gurgaon location,InternationalSales|B2bSales|
"Hiring for Key Account Manager(B2B sales) in Tradebulls Securities for Bangalore,Chennai & Hyderabad",TradeBulls Securities Private Limited,Bengaluru/Bangalore|Chennai,1-6years,Not Specified,"Looking for 1year +Experience in Broking in B2B sales(Sub Broker sales)for Bangalore,Chennai & Hyderabad Location |   Work form Home is available  |     Acquisition of New Sub broker to the company |",Broking|SubBroker|B2bSales|franchiseacquisition|
Senior Executive - Sales/ Assistant Manager- Sales ||Corporate Sales/B2B Sales| Bangalore,Monster.com - India,Bengaluru/Bangalore,1-8years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,SeniorExecutive-Sales|AssistantManager-Sales|CorporateSales|B2bSales|ClientRetention|Acquistion|Businessdevelopment|RevenueGeneration|Reportsgeneration|
