jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Business Analyst /BA/Chennai/Pune/Mumbai/Bangalore/Hyderabad,3 Minds ESolutions Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,We are looking for Business Analyst with 5+years of experience.,BusinessAnalyst(BA)|Itil|
SAP FICO BA CONSULTANT,Best infosystems Ltd,Bengaluru/Bangalore,10-15years,Not Specified,Looking for SAP FICO BA CONSULTANT,SapFico|
Business Analyst,ServeRight HR Services,Bengaluru/Bangalore,8-12years,Not Specified,• Analyze business requirements |   • Deep understanding of processes and breaking down complexities |   • Work with stakeholders to capture requirements and support other functions by clearly explaining requirements,BusinessAnalyst|BA|Seniorbusinessanalyst|
Principal Analyst - BA,Ikrux Solutions (Opc) Private Limited,Pune,10-12years,1300000 - 2500000 INR,Business Analyst with experience in payments/banking/finance domain and product owner.,Payments|BusinessAnalyst|BA|ProductOwner|
Business Analyst,Kored Infratech Private Limited,Hyderabad/Secunderabad,4-7years,350000 - 400000 INR,"A bachelor’s degree in business or related field or an MBA. |  A minimum of 5 years of experience in business analysis or a related field. |  Competency in Microsoft applications including Word, Excel, and Outlook. |  Excellent documentation skills. |",BusinessAnalyst|BA|ResearchAnalyst|
Business Analyst (BA),Xpoodle Tech Private Limited,Noida,2-5years,Not Specified,"Elicits, analyzes, specifies, and validates the business needs of stakeholders, be they customers or end users.",BusinessAnalyst|
BA - IT/ Business Analyst - IT / Technology Asst Manager,Axs Solutions And Consulting Private Limited,Mumbai,2-3years,350000 - 450000 INR,"We are looking A Assistant Manager with experience in Project Management, Team Management, Stake holders management, Preparing business documentations, presentation, demonstration of product to the clients, client Management etc.",BA/BusinessAnalysis/ProductPlaning/ProjectManagement/RiskAnalysis/StakeholdersManagement/Customerrelationship/Demonstration/Presentation/|
Senior Business Analyst,Devoy Softech Private Limited,Gurgaon/Gurugram|Noida,4-10years,Not Specified,We are hiring Senior Business Analyst position in the Noida location.,telecom|BusinessAnalyst|BA|BusinessConsultant|Seniorbusinessanalyst|HealthcareIt|
Sr. Lead Analyst - BA,Ikrux Solutions (Opc) Private Limited,Pune,6-8years,1000000 - 1800000 INR,Configuration analyst with experience in the payments/banking/finance domain,Configurationanalyst|Payments|
Business Analyst Business Analyst (BA) Business Analyst Insurance,Omnino Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,4-10years,Not Specified,• Requirement gathering and creation of BRD/SRS/FRS. • Oversee and test new changes in Life Asia/Group Asia application. • Co-ordinate with various stakeholders. •Provide solutions and design with the help of development team for Life Asia/Group Asia,LifeAsia|GroupAsia|CRM|os/400|
Investment Banking Operations,JMA Global IT Solutions SDN BHD,Coimbatore,Fresher,229999 - 430000 INR,"This investment banking job description was inspired by the responsibilities outlined by a list of investment banks including Goldman Sachs, Morgan Stanley, Credit Suisse, UBS, and Barclays. To ensure you have the skills required for the job, check o",M.Com|Mba|Bba|BA|B.Com|Businessanalyst|
Business Analyst,A V Immigration And Careers Consultancy Private Limited,Hyderabad/Secunderabad,3-6years,Not Specified,"Looking for a passionate Business Analyst to grow one of our product areas (IoT Platform, Smart Home)",BusinessAnalyst|BusinessConsultant|FinancialAnalyst|BA|ResearchAnalyst|SystemAnalyst|
ICT Business Analyst - Australia,IT People Corporation LLC,Australia|Canada,3-8years,1600000 - 3200000 INR,"ICT BUSINESS AND SYSTEMS ANALYSTS work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users business needs",ICTBusinessAnalyst|BusinessAnalysis|BA|systemtestplans|
Business Analyst,A V Immigration And Careers Consultancy Private Limited,Hyderabad/Secunderabad,4-6years,Not Specified,This is a great opportunity for anyone who wants to get into Blockchain to have a chance to get involved with real IT projects. We have greatly contributed to the advancement of Hyperledger Blockchain development,BusinessAnalyst|BA|Coding|
Business Analyst - Canada,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,3-8years,1600000 - 3200000 INR,"ICT BUSINESS AND SYSTEMS ANALYSTS work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users business needs",BusinessAnalyst|BusinessAnalysis|BusinessPlanning|BA|BusinessProcesses|businesspractices|projectplans|projectmanagementmethodologies|
Business Analyst - Canada,Pear Visa Immigration Services Private Limited,Australia|Canada,9-14years,1600000 - 3200000 INR,"ICT BUSINESS AND SYSTEMS ANALYSTS work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users business needs",BusinessAnalyst|BusinessAnalysis|BusinessPlanning|BA|BusinessProcesses|businesspractices|projectplans|projectmanagementmethodologies|
B Tech Engineer | MBA | MCA | BCA | B Com req in CANADA & AUSTRALIA,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,3-8years,3500000 - 8500000 INR,"Engineers , Master of Business Administration, Master of Computer Applications , Bachelor of Computer Applications |   |  Person should be skilled with at least 3 + year of experience",BCom|Bba|Mba|Bca|MA|Bbm|Bsc|BA|BE|BTech|BTechMechanicalEngineer|
ICT Business Analyst - Australia,Comfyi Solution,Australia|Canada,9-14years,1600000 - 3200000 INR,"ICT BUSINESS AND SYSTEMS ANALYSTS work with users to formulate system requirements, develop system plans and documentation, review and evaluate existing systems, and design and modify systems to meet users business needs",ICTBusinessAnalyst|BusinessAnalysis|BA|systemtestplans|
"B.com ,Bsc , BBA , BCA Freshers",Pozent Corporation,Chennai,0-1years,Not Specified,"Any fresher with Excellent communication skill in English to work for office administration, Willingness to learn. Ms office skills required.",BA|Bsc|Bba|Bcom|Accounting|Freshers|Trainee|DataAnalyst|Bcom|Accounts|Admin|
Business Analyst,Best infosystems Ltd,Chennai,5-8years,Not Specified,"5 -8 years of experience, with at least 2 years in the field of customer management. |",BusinessAnalyst|CustomerManagement|BA|
BUSINESS ANALYST,Bharat Head Hunters Private limited,Bengaluru/Bangalore,6-10years,Not Specified,Looking for a Business Analyst for the CPG/Retail/Manufacturing domain.,BusinessAnalyst|BA|Agile|SCCM|
