jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
BACK OFFICE OPERATIONS EXECUTIVE,The Right Connection,Mumbai,3-5years,Not Specified,|                                  |                              |                                  |,
Back Office Executive,Shree Home Appliances and Services Private Limited,Pune,1-3years,120000 - 150000 INR,"SAP Bussiness One Module Knowledge. Good knowledge of MS Office. Purchase Order, Invoices, call registration, call closing data updation.",BackOfficeExecutive|DataEntryOperator|BackOfficeOperations|
Back Office Executive,Aspire Group of Services,Lucknow,0-1years,150000 - 280000 INR,Job Location :- Lucknow  |   |  Age Limit :- 18 to 35  |   |  Salary :- 14000/- to 25000/- per month |   |  Any Graduates,BackOffice|BackOfficeExecutive|OfficeAssistant|OfficeStaff|
Back Office Executive,Career Development Management,Kolkata|Asansol,0-1years,Not Specified,Post Openings On Direct - 24. |  Candidate Criteria :- Age limit 18 Years To 28 Years. |  Qualification :- HS Pass / Graduation Preferable.,BasicComputerKnowledge|
Back Office Executive,Jobs Rider,Mumbai|Goa,Fresher,130000 - 440000 INR,"online data entry jobs work from home opportunities, schedule  your working hours wisely. voice and non voice customer care support available. WORK FROM HOME  |       LAPTOP OR PC required",DataEntry|
Back Office Executive,Zarbex Solutions,Agra|Ahmednagar,1-5years,140000 - 530000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Nisha  -7290954272",BackOfficeAssistant|
Data Entry Executive/Back Office Executive/ Data Entry,Aspire Group of Services,Ahmedabad|Lucknow,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                      Concern Person Regarding That Mr. -HR  Soniya |                      Contact No.-8447612779,DataEntryExecutive|BackOfficeExecutive|DataEntry|Computer|Laptop|Android|
Back Office Executive/ Office Assistant,Jobs Rider,Kanpur|Lucknow,0-1years,Not Specified,"•Must have strong Computer Knowledge •Should be well versed in Emails. |  MIS management ,Front and Back office jobs, documentation, public relation and Reports Preparation, handling incoming calls",BackOffice|OfficeAssistant|OfficeExecutive|Computeroperator|
Back Office Executive,Jobs Rider,Panipat|Patan-Gujarat,1-5years,140000 - 440000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sushma-7289963579 |  Company",BackOfficeExecutive|DataEntryOperator|OfficeAssistant|
Back Office Executive,Zarbex Solutions,Ahmedabad|Kolkata,1-4years,130000 - 430000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sushma-7289963579 |  Company",BackOfficeExecutive|BackOfficeOperations|OfficeAssistant|AdminExecutive|DataEntryOperator|MisExecutive|Backend|ComputerOperator|
