jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Coordinator - Female For Software Company in Mumbai,Sanda Office Management Services Private Limited,Mumbai|MumbaiCity,1-3years,150000 - 250000 INR,"A Coordinator works closely with the team members, managers and leads to help deliver major organizational projects efficiently. The Project Coordinator manages the information distribution, report collation and communication support.           |    |",Coordinator|Co-ordination|Assistant|
Customer Success Executive,HR Support,Gurgaon/Gurugram,5-10years,Not Specified,"You will be responsible for account management, product adoption, account growth and |  account success. |  5-10 years of experience in a customer facing support/success/account management role |  Exceptional SAAS product knowledge",customerservice|saasproduct|AccountManagement|InternationalBpo|crm|SalesForce|
Hiring for chat process,HR Support,Delhi|Noida,1-2years,Not Specified,Hiring for Customer service chat process |  Any graduate undergraduate with min 6 months of international bpo exp can apply |  Must have good communication skills  |  Salary upto 17k |  5 days working,customerservice|chatprocess|NonVoiceProcess|graduateBPOFreshers|B.comFreshers|
International Bpo Salary upto 6 LPA,HR Support,Gurgaon/Gurugram,1-4years,Not Specified,Hiring for US Finical Institution |  Profile -FAST(Fraud Accounting Security Team) (Voice - US) |  Education - Graduate can apply but no B.tech |,customerservice|InternationalBpo|UsProcess|calling|OutboundProcess|Graduate|InternationalCallCenter|Bpo|
Hiring for Third Party Collection Process,HR Support,Noida,1-4years,Not Specified,Graduate with min 1 year International Bpo (Must have exp in Collection Process only) |  Excellent command over english |  Comfortable with rotational shifts |  Salary 20-35 k in hand (as per exp) + Incentives,CollectionProcess|thirdpartycollection|creditcardcollection|encorecollection|iqorcollection|
Database Administrator for an IT company in Mumbai,Sanda Office Management Services Private Limited,Mumbai|MumbaiCity|NaviMumbai,2-5years,120000 - 360000 INR,"Looking for a Database Administrator who will keep the database up and running smoothly. The goal is to provide a seamless flow of information throughout the company, considering both backend data structure and frontend accessibility for end-users.",DatabaseAdministrator|PostgreSQL|Mysql|Sqlite|Dba|
Technical Process,HR Support,Gurgaon/Gurugram,1-2years,Not Specified,Graduates including Btech |  Semi tech Experience |  Min 12 months of international bpo exp |  Australian Shift |  Software support process,btechgraduate|semitech|InternationalBpo|technicalsupport|techsupport|SoftwareSupport|
Hiring for International Bpo (Fresher/Exp Both),HR Support,Gurgaon/Gurugram,0-5years,Not Specified,|                                  |,
"Hiring for Kannada, Malayalam Language",HR Support,Gurgaon/Gurugram,0-1years,Not Specified,Moderate content for a Global Social Platform. 24*7 Shifts. |  JOb Location Gurgaon.  |  Graduation Mandatory.NO BTECH |  Freshers/ exp candidates with or without content moderation exp can apply. |  In hand 15k+ variables,Graduate|InternationalBpo|kannadalanguage|malayalamlanguage|CallCenter|Bpo|
Hiring for International bpo salary upto 31k in hand,HR Support,Gurgaon/Gurugram,2-4years,Not Specified,Any graduate with min 18 months of international bpo exp can apply |  No (B.Tech/BE) |  Must have excellent communication skills |  Salary upto 31k in hand,InternationalBpo|customerservice|Graduate|InternationalCallCenter|CallCenter|Bpo|VoiceProcess|Inbound|
Hiring For Core Technical Process,HR Support,Gurgaon/Gurugram,1-4years,Not Specified,Any Grad Or UG With Min 1 year Semi - Technical / Tech Experience. |  Salary 3.5 L to 5.6 Lac |  24*7 Shifts |  should have knowledge of Active directory Microsoft Office 365.Server Support,voicetechnicalsupportrepresentative|InternationalBpo|Technical|Wipro|TCS|scustomerservice|dellcustomersupport|activedirectory|ibmserversupport|TechnicalSupportExecutive|Dns|Office365|technicalsupport|ExchangeServer|
Hiring for Graduate Fresher,HR Support,Gurgaon/Gurugram,0-1years,Not Specified,Need Graduate Fresher (No B.tech And BE) |  Salary 14.5k to 16k. |  Rotational Shifts |  Comfortable with Work from Office. |  Location Gurgaon. |  Cab Facility |  Call |  Monika 7210210944,customerservice|InternationalBpo|VoiceProcess|Inbound|Graduate|BA|Bcom|Bba|Bsc|Bca|Bbm|bjmc|
Opening for fresher in International Bpo,HR Support,Gurgaon/Gurugram,0-1years,Not Specified,"Hiring for International bpo |  Any graduate, undergraduate, dropout or 12th pass can apply |  Must have excellent communication skills |  Comfortable with rotational shifts",InternationalBpo|customerservice|VoiceProcess|Fresher|bpofresher|Bpo|CallCenter|Voice|Inbound|
Hiring freshers for International Bpo,HR Support,Delhi|Gurgaon/Gurugram,0-4years,Not Specified,|                                  |,
Hiring for Graduate fresher Salary 21k,HR Support,Gurgaon/Gurugram,0-2years,Not Specified,Graduate fresher (No B.Tech/BE) |  If B.Tech than must have international bpo exp of min 1 year |  Excellent communication skills |  Rotational shifts |  Salary 21-25k in hand,customerservice|InternationalBpo|CallCenter|Bpo|Fresher|Graduate|BA|Bba|Bcom|Bca|bjmc|Bbm|VoiceProcess|Inbound|
Hiring For Technical Process Salary upto 25k,HR Support,Gurgaon/Gurugram,1-4years,Not Specified,Any Grad With Min 1 year Semi - Technical / Tech Experience. |   Salary upto 25k in hand |   24*7 Shifts |   Must have good technical knowledge,voicetechnicalsupportrepresentative|InternationalBpo|Technical|Wipro|TCS|scustomerservice|dellcustomersupport|activedirectory|ibmserversupport|TechnicalSupportExecutive|Dns|Office365|technicalsupport|ExchangeServer|
Opening for chat process,HR Support,Delhi|Noida,1-2years,Not Specified,Hiring for Customer service chat process |   Any graduate with min 1 yr of international bpo exp can apply |   Must have good communication skills  |   Salary upto 22k |   5 days working,customerservice|chatprocess|NonVoiceProcess|graduateBPOFreshers|B.comFreshers|
Hiring for Voice Process,HR Support,Gurgaon/Gurugram,1-5years,Not Specified,Graduate with min 1 year International Bpo (Must have voice exp) |   Excellent command over english |   Comfortable with rotational shifts |   Salary 20-45 k in hand (as per exp) |   Location : Gurugram,customerservice|VoiceProcess|InternationalBpo|CallCenter|InternationalCallCenter|Voicesupport|CustomerCareExecutive|
Hiring for Outbound Sales Process,HR Support,Gurgaon/Gurugram,1-4years,Not Specified,"Any grad, ug with min 1 yr of international bpo exp |  Ready to work with outbound sales process |  Must have excellent communication skills |  24*7 shifts",Outboundsales|Sales|InternationalBpo|InternationalCallCenter|VoiceProcess|
Hiring for International BPO,HR Support,Noida,1-3years,Not Specified,Need people with 1 year of BFSI experience only |  Graduate/undergraduate  |  24/7 shift |  5 days rotational working |  Noida location |  Cab facility |   |  Salary: 4.25  LPA |,InternationalBpo|Banking|Finance|Bfsi|
Inside sales,HR Support,Gurgaon/Gurugram,1-5years,Not Specified,"• end to end inside sales |  • software selling/cloud platform, microsoft office 365 (Azure, Dynamic - ERP/CRM) |  • B2B sales - Client interaction |","""insidesales""|""sales""|""technicalslaes""|""techsales""|""softwaresales""|""itsales""|""b2bsales""|"
Engineer Remote Support,HR Support,Noida,3-6years,Not Specified,"4-year engineering degree  |  Experience with multiple types of server and storage hardware |  Experience with Active Directory tools and utilities |  Solid PC skills and proficiency in office productivity software (Microsoft Office, Microsoft Visio",engineerremotesupport|activedirectory|Software|Troubleshooting|technicalsupport|Vmware|Microsoft|
Hiring for Undergraduate Fresher,HR Support,Gurgaon/Gurugram,0-1years,Not Specified,"Need Graduate, Undergraduate, dropout or 12th pass Fresher  |   Salary 14.5k to 16k. |   Rotational Shifts |   Comfortable with Work from Office or Home |   Location Gurgaon. |   Cab Facility |   Call |   Monika 7210210944",customerservice|InternationalBpo|VoiceProcess|Inbound|Graduate|BA|Bcom|Bba|Bsc|Bca|Bbm|bjmc|
Customer Service Executive,HR Support,Gurgaon/Gurugram,0-3years,Not Specified,We Are Hiring For INTERNATIONAL CUSTOMER SERVICE (VOICE) |   |  *Need Excellent Communication Skills |   |  *Min 6 Months Of Experience With Any ICC  |   |  *Both Side Cabs |   |  *Rotaional Shifts |   |  *Work From Office |   |  *Gurgaon Location |   |  * Salary Up To 3.64 LPA,customerservice|CustomerCare|CustomerSupport|CustomerServiceExecutive|CustomerCareExecutive|
