jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Backend Developer,Sourcebase Technologies Private Limited,Delhi|Gurgaon/Gurugram,5-10years,Not Specified,"LAMP (Linux, Apache, Mysql, PHP) environment, Drupal, Laravel, CMS, HTML/HTML5, CSS/CSS3, and JavaScript/jQuery/angular JS,  |  •	Laravel technology stack |  •	Custom API development |  •	CMS/MVC framework: Drupal & Laravel  |",Drupalspecialist|DrupalDeveloper|larLaravel|Drupal|ApiDevelopment|LampLinux|Javascript|Jquery|Php|CSS|AJAX|HTML|Jscript|Xml|
Senior Backend Developer,Monster.com - India,Gurgaon/Gurugram,5-8years,Not Specified,5 years of experience in Backend development,Golang|Python|
Contract Recruiter -Backend,BT Technologies Online Private Limited,Hyderabad/Secunderabad,1-3years,Not Specified,The job is to clean the posted jobs to better the quality,Recruiter|HrExecutive|Recruitment|NonITrecruiter|HrRecruitment|ItStaffing|TechnicalRecruiter|RecruitmentExecutive|
Sr. Software Backend Engineer,Deputize Consultancy Private limited,Mumbai,3-6years,600000 - 1000000 INR,"Working with the latest web technologies to build new features, improve performance and reliability of existing features, and improve the development processes",ProductDevelopment|Startup|BackendDeveloper|BackendEngineer|Redis|Kafka|Springboot|SpringBoot|Mangodb|MangoDb|
Java Backend Developer,Freelancer- Phoenix Hr Solutions And Consulting,Delhi,5-9years,Not Specified,Java Backend Developer  |    Account SAMSUNG  |    Location is Gurgaon |    10 open position and no customer round.  |    5 to 9  years’ experience |    Looking for Only contractors and immediate joiner .  |,SpringFramework4.X|Java8(JDK1.8)|ActiveMQorRabbitMQ|
.Net Backend Developer,NVK Staffing Solutions,MumbaiCity,5-8years,Not Specified,".Net Backend Developer |  Minimum 5+ Years of exp     |  Technical Requirement |  - Must to Have |      o C# |      o SQL Server |  - Good to Have |      o MVC Knowledge |   |  Utilize established development tools, guidelines, and conventions including but. not limited to ASP",.NET|SQLServer|C#|Mvc|
Magento BackEnd Developer,Career Axes Engineering Services,Bengaluru/Bangalore,1-8years,300000 - 1500000 INR,"Looking for the candidates with 1 to 8 years of continuous Magento 1 & 2 development experience, Permanent Work From Home Option is Available",Magento|Wordpress|Php|
Backend Application Engineer,Talentbes Executive Search,Bengaluru/Bangalore,3-10years,Not Specified,Design and develop cloud based software components conforming to industry best practices. |  Design and implement RESTful APIs using Python/Django |  Use modern CI/CD technology to maintain software. |  Design and developer adapters Support integration,automatedunittestcaseusingpytest/mock|Phython|RestfulApi|Postgressql|MySQL|
backend developer,Tresbien Hr Consultancy,Bengaluru/Bangalore|Chennai,5-8years,Not Specified,"Resolves issues surrounding installation, usage, upgrade and training on products. Provides on-site support as needed. |  Resolves issues surrounding installation, usage, upgrade and training on products. Provides on-site support as needed. |",GITLABandAzureDeployment.|CoreJava|SpringBoot|MYSQL|
Backend Developer,Quess Corp Limited,Delhi,3-5years,500000 - 800000 INR,Back End Developer NCR Delhi |  Job Description |  You will be part of a Development team and work on building World's first Gamified Customer Engagement platform that is set to redefine the way brands connect with customers |  You will be involved in coding,Apicoding|NodeJS|Javascript|Python|
Backend Developer,Growing Careers,MumbaiCity|NaviMumbai,4-6years,700000 - 1000000 INR,"Atleast 5 years experience  as Node.js developer. Extensive knowledge of Javascript, Webstacks, Libraries & frameworks.Knowledge  of RESTFul Development. MongoDB Elastic search. Web applications. Node.js",Node.js|JavaScript|BackendDeveloper|MongoDb|RESTful|WebApplications|Frameworks|
Backend Developer,Bitkraft Technologies LLP,Bengaluru/Bangalore,8-16years,Not Specified,8+ years of experience with handing end-to-end development,Java|Springboot|Coding|BackendDeveloper|
Backend Developer,Axtechnosoft Private Limited,Chennai,1-4years,Not Specified,Requirement of Backend Developer,Backend|backenddevelopment|NodeJS|NodeJS|ExpressJs|MeanStack|Nodejs|Node.js|
Backend Engineer,Aspire Group of Services,Mumbai|MumbaiCity|NaviMumbai|Thane,1-4years,200000 - 700000 INR,We are looking for an experienced Backend Engineer to join our team. You will be responsible for the server side of our web application. |     If you have excellent programming skills and a passion for developing applications or improving existing.,Phpdeveloper|Mysql|Sql|SQLServer|MongoDB|Oracle|Node.js|NodeJS|Nodejs|PhpMysql|
Software Engineer/ Backend Engineer,Layer5 India Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-5years,700000 - 800000 INR,Software Engineer/ Backend Engineer |  Experience :- 3 years to 5 years |  Location :- Remote only,AnalysisTools|cd|Git|Sql|Nosql|BackendDeveloper|BackendEngineer|RESTful|Apis|Java|DataStructures|Algorithm|
Office Assistant / Backend,Aequor Information Technologies Priivate Limited,Gorakhpur|Lucknow,0-5years,200000 - 260000 INR,Administrative Duties: |    |   *Scheduling |   *Answering and routing phone calls |   *Managing social media |   Dear candidates for interview details contact on same number immediately (8881110432),OfficeAssistant|OfficeExecutive|OfficeAdmin|OfficeCoordinator|
Senior Backend Developer,Cambio Consulting India Private Limited,Bengaluru/Bangalore,8-15years,700000 - 1500000 INR,We are hiring For Back End Developer (Golang) for its Bangalore office,Golangframeworks|Python|Java|Php|Sql|Css3|
Java Backend Developer,Antra Inc,Hyderabad/Secunderabad,4-9years,Not Specified,Java Backend Developer,Java|Microservices|Threads|Jenkins|
Python Backend Developer,Prishatech India (opc) Private Limited,Hyderabad/Secunderabad,4-10years,Not Specified,"Python/Flask, REST API architecture",Docker+Kubernetes|
Backend Operations /Online work from home,Hirewand Technologies Private Limited,Coimbatore|Madurai,0-5years,Not Specified,"we are providing work from home jobs to every individuals , basic typing skills  and laptop/computer is mandatory for this work. this platform is available for serious job seekers. No registration fees for joining.",WorkFromHome|TypingWork|ContentWriter|ContentDeveloper|ContentEditor|parttimejobs|fulltimejob|jobsinkerla|jobsinCoimbatore.|
"Sr. Dotnet Developer (WebAPI, Backend)",Rudraksha Fire Security Services,Hyderabad/Secunderabad,3-5years,Not Specified,Must be proficient in developing object-oriented applications. Must have hands on experience on C# & MS SQL,.Net4.7|WebAPI2.0|C#|Dotnet|DotNet|CSharp|
Java - Backend,Riju Karan (Proprietor Of Toyota Climax India),Bengaluru/Bangalore,4-9years,Not Specified,At least 4 - 5 years Java/J2EE and Cloud related experience. |   |,Java|JavaJ2ee|Multithreading|
