jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"B.com ,Bsc , BBA , BCA Freshers",Comfyi Solution,Chennai,0-1years,Not Specified,"Any fresher with Excellent communication skill in English to work for office administration, Willingness to learn. Ms office skills required.",BA|Bsc|Bba|Bcom|Accounting|Freshers|Trainee|DataAnalyst|Bcom|Accounts|Admin|
B Tech Engineer | MBA | MCA | BCA | B Com req in CANADA & AUSTRALIA,Pear Visa Immigration Services Private Limited,Australia|Canada,3-8years,3500000 - 8500000 INR,"Engineers , Master of Business Administration, Master of Computer Applications , Bachelor of Computer Applications |   |  Person should be skilled with at least 3 + year of experience",BCom|Bba|Mba|Bca|MA|Bbm|Bsc|BA|BE|BTech|BTechMechanicalEngineer|
"B.tech , BCA, BSCIT Freshers/graduates for Samsung  technical support process",I way solutions,Mohali|Chandigarh,0-5years,200000 - 250000 INR,"urgently required B.tech , BCA, BSCIT Freshers/graduates for Samsung  technical support process",btech|Bca|mtech|CustomerService|CustomerSupport|TSE|Tsa|Fresher|Mca|Bscit|Mscit|TechnicalSupport|ItHelpdesk|
Python Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Python Internship in Ahmedabad,Maxgen Technologies Private Limited,Ahmedabad|Mehsana,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|Projects|BE|SummerIntern|Mca|Python|
Hiring Fresher's For Associate || BCA & BSC Computers Graduates,Maxgen Technologies Private Limited,Chennai|Mumbai,0-2years,320000 - 409999 INR,we are hiring ......,BSCFresher|Bca|Bsc|
Python Internship in Pune,Maxgen Technologies Private Limited,Pune|Amravati,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Data Science Internship in Pune,Maxgen Technologies Private Limited,Pune|Satara,Fresher,Not Specified,Summer Intermship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Data Science Internship in Mumbai,Maxgen Technologies Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Hiring Fresher's For Associate || BCA & BSC Computers Graduates,Maxgen Technologies Private Limited,Hyderabad/Secunderabad|Kolkata,0-2years,300000 - 420000 INR,we are hiring ......,BSCFresher|Bca|Bsc|Bcom|Pg|Ug|Bba|Bbm|MA|
Part Time Work@Home Data Entry Work / Home Based Work earn upto 6k weekly,Maxgen Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-3years,340000 - 450000 INR,Most Important: Computer / Laptop Or Android Phone Is Compulsory . |        Basic Computer Knowledge. |        Payments -Weekly/Monthly |        Age Limit 18 to 45 |        No Work Pressure |        No Time Bound |    Part Time Jobs |,bca/mca/mba/bcom/graduate/postgraduate/12thpass/workingprofessions/ITprofessions/nurse|
Virtual Recruitment Drive l Techno-functional roles l Fresher's,Maxgen Technologies Private Limited,Bengaluru/Bangalore|Chennai,0-2years,310000 - 409999 INR,Virtual Recruitment Drive l Techno-functional roles l Freshers & Experienced |   We are looking to hire Freshers from Computer Science/IT (completed under graduation/post graduation) for techno-functional roles.,ComputerScience|btech|Bca|Java|aws|Python|Scripting|Tcl|Cloud|Mca|
BBA/MBA/BCOM/BHM/BCA Freshers - Management Profiles,Maxgen Technologies Private Limited,Chennai|Gurgaon/Gurugram,0-2years,300000 - 450000 INR,we are hiring fresher's must apply,Bba|Bcom|Bsc|Bca|Mba|Bbm|Freshers|
Part time and home-based work for everyone and earn upto 6k per week,Career Mantra Management Services,Bengaluru/Bangalore|Chennai,0-3years,220000 - 450000 INR,"Urgently required Data Entry Operator,computer Operator  |       Computer / Laptop Or Android Phone Is Compulsory .  |       Basic Computer Knowledge.  |       Freshers are Welcome  |       No Target  |       No Work Pressure  |       No Time Bound  |       Part Time Jobs",Freshers|Bca|Bcom|Bba|btech|Mba|Nurse|workingprofessional|housewives|Graduate|PostGraduate|Mca|
Machine Learning Internship,Sky Scrapper Consulting,Ahmedabad|Rajkot,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|BE|Msc|Projects|Mca|MachineLearning|
Python Internship in Pune,Sky Scrapper Consulting,Pune|Jalgaon,Fresher,Not Specified,Summer Internship in Python,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|Python|
Python Internship in Mumbai,Eteam Info Services Private Limited,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|AcademicProjects|Bsc|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|python|
Data Science Internship in Mumbai,New Horizon College Of Engineering,Mumbai|NaviMumbai,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
Data Science Internship in Pune,Diraa HR Services,Pune|Sangli,Fresher,Not Specified,Summer Internship,Internship|LiveProjects|Bsc|AcademicProjects|B-Tech|Bca|Msc|BE|Projects|SummerIntern|Mca|DataScience|
