jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Opening for  fresher and exp ( MBA-HR-BBA-BCOM-any HR background),Career Mantra Management Services,Mumbai|Pune,0-2years,120000 - 450000 INR,Create and  maintain the skill mapping of all resources who are a part of the proficiency; External hiring ;resource rotation; proactive bench; work with coE to create and implement skill up gradation program.if interested please Post : Shifshare.,MbaFinance|MBAMarketing|Ca|MBAFinanceFresher|Banking|Accounts|PGDMFinance|B.Com|MbaFresher|
Accounts Fresher Chennai Nandampakkam Wanted Immediately,Axceltrees Consulting Private Limited,Chennai,0-1years,Not Specified,"Qualification: BCOM Or MCOM |  Fresher and having interested to work for Accounts Division / Projects.  |  Job location - Nandambakkam, near MIOT Hospital, Chennai. |   |",Fresher|AccountsAssistant|accountstrainee|Bcom|Mcom|Payable|Receivable|GeneralLedger|GeneralAccounting|TALLY|Gl|
Bcom Freasher,Singhvi Dev & Unni LLP,Bengaluru/Bangalore,0-1years,Not Specified,B com FresherLooking out for Freshers - BCOM who can join us immediately  |  BCOM graduates having basic knowledge of Finance (Balance Sheet and P&L)  |  Interested Candidates can share their profile at [HIDDEN TEXT] - mentioning the role Fresher -,LookingoutforFreshers-BCOMwhocanjoinusimmediately|
Looking For experienced (MBA-HR/BBA/BCOM/Any HR background),Comfyi Solution,Bengaluru/Bangalore|Mumbai,4-8years,650000 - 1050000 INR,urgent requirement,Mba|MbaFresher|Fresher|MbaHr|HumanResource|Recruitment|
Part Time Work@Home Data Entry Work / Home Based Work earn upto 6k weekly,Sky Scrapper Consulting,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-3years,340000 - 450000 INR,Most Important: Computer / Laptop Or Android Phone Is Compulsory . |        Basic Computer Knowledge. |        Payments -Weekly/Monthly |        Age Limit 18 to 45 |        No Work Pressure |        No Time Bound |    Part Time Jobs |,bca/mca/mba/bcom/graduate/postgraduate/12thpass/workingprofessions/ITprofessions/nurse|
Part time and home-based work for everyone and earn upto 6k per week,Sky Scrapper Consulting,Bengaluru/Bangalore|Chennai,0-3years,220000 - 450000 INR,"Urgently required Data Entry Operator,computer Operator  |       Computer / Laptop Or Android Phone Is Compulsory .  |       Basic Computer Knowledge.  |       Freshers are Welcome  |       No Target  |       No Work Pressure  |       No Time Bound  |       Part Time Jobs",Freshers|Bca|Bcom|Bba|btech|Mba|Nurse|workingprofessional|housewives|Graduate|PostGraduate|Mca|
"B.com ,Bsc , BBA , BCA Freshers",Sky Scrapper Consulting,Chennai,0-1years,Not Specified,"Any fresher with Excellent communication skill in English to work for office administration, Willingness to learn. Ms office skills required.",BA|Bsc|Bba|Bcom|Accounting|Freshers|Trainee|DataAnalyst|Bcom|Accounts|Admin|
One Stop Selection - GRADUATE- B2B VOICE PROCESS| FIX SHIFT SAT-SUN OFF| 8237076805,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Kick Start Your Career In Top International Bpos  .,Bba|Bca|BA|Bcom|Bsc|Graduate|Fresher|Voice|calling|Inbound|Outbound|B2b|customerservice|internationalvoiceprocess|fixshift|
BPO- GRADUATE FRESHER- GET SAT-SUN OFF | WORK FROM OFFICE @ PUNE 8237076805,Sky Scrapper Consulting,Pune,0-5years,Not Specified,Kick Start Your Career In Top International Bpos  .,Bba|Bca|BA|Bcom|Bsc|Graduate|Fresher|Voice|calling|Inbound|Outbound|B2b|customerservice|internationalvoiceprocess|fixshift|
Freshers - Earn 18K - FXD SAT & SUN OFF. 1 ROUND - CAll - 9960920092,The tour vacations,Pune,0-5years,Not Specified,Kick Start Your Career In Top International Bpos  .,Bba|Bca|BA|Bcom|Bsc|Graduate|Fresher|Voice|calling|Inbound|Outbound|B2b|customerservice|internationalvoiceprocess|fixshift|
