jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
BDM Sales,Orbitouch Outsourcing Private Limited,Noida,3-13years,50000 - 1000000 INR,"·         Should have experience of 3 to 4 Years in the field of website development designing and sales  |   |  ·         Sales experience and good with communication skills  |   |  ·         Plan, develop and oversee the overall business development strategy",BusinessDevelopmentManager|Marketing|Relationshipmanager|BD|Sales|DirectSales|CorporateSales|InternationalBusinessDevelopment|
informatica BDM,Junaati Technologies Private Limited,Gurgaon/Gurugram,6-8years,Not Specified,we are looking for informatica BDM developer@Gurgaon,Bigdatamanagement(BDM)|Informatica|
urgent requirement for BDM at BARODA LOCATION,TradeBulls Securities Private Limited,Vadodara,1-11years,Not Specified,|  Interested Candidate can send their Resume on [HIDDEN TEXT] or can directly Contact on 7878453788,"""sales""|""marketing""|BusinessDevelopment|"
Job Opening for BDM Sales -SAP,Team Ace HR LLP,Mumbai|Pune|MumbaiCity,6-16years,Not Specified,Hiring for BDM Sales -SAP,Bdm|BusinessDevelopment|BusinessDeveloper|BusinessDevelopmentManager|
Job Opening for BDM Sales -MS,Team Ace HR LLP,Mumbai|Pune|MumbaiCity,6-16years,Not Specified,Hiring for BDM Sales -MS,BusinessDevelopmentManager|BusinessDevelopment|BusinessDeveloper|
Business Development BDM  Sales Executive,Talenthunter360,Mumbai|MumbaiCity,1-6years,Not Specified,Looking for some one who is will to work Us Shift With good communication |,BPOExecutive|Bdm|SalesExecutives|
BDM,Vitalhunt Global Solutions Private Limited,Ahmedabad,5-10years,Not Specified,Position : Business Development Manager |  Experience : 5+ Years |  Location : Ahmedabad,Bdm|Marketing|InternationalSales|
Sales Development Representative or BDM,Etimesource Technology Solutions Private Limited,Noida,3-8years,600000 - 1500000 INR,his Sales Development Representative will be getting in at the ground floor of a fast moving startup and will be integral to the success and growth of our sales initiatives.,SalesRepresentative|DirectSales|BD|Sales|BusinessDevelopmentManager|AccountManager|Marketing|LeadGeneration|Leads|Insidesales|Businessdevelopment|Marketresearch|Presales|SalesProfessional|BusinessDevelopment|MarketDevelopment|ItSales|
Business Development Manager,Aspire Group of Services,Lucknow,0-1years,160000 - 220000 INR,BD Manager is responsible for generating institutional sales and growing the business volume across several franchises within his region.,Bdm|Sales|
BDM Marketing Manager Sales & marketing,Falcon Multi Services Limited,Mumbai|MumbaiCity,3-12years,Not Specified,Urgent Opening for Business Development Manager,BDM/Businessdevelopmentmanager/MarketingManager/Sales&marketing|
BDM,Perint Infosystems India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,8-12years,Not Specified,"Minimum of 8-10 years of sales and Business development experience in IT consulting with proven track record of success. |   |  Proven Experience in business planning, development of account sales and relationship management",BusinessDevelopmentManager|Relationshipmanager|AccountManager|Marketing|RecruitmentHead|TalentAcquisition|RecruitmentManager|
Sales Officer,Orissa Doot Private Limited,OtherIndia,0-4years,Not Specified,Opening for Sales officer  in Bhubaneswar Location,SalesOfficer|Marketing|Bdm|Sales|
Senior Business Development Manager / Business Development Manager,Nexplace Info Private Limited,Bengaluru/Bangalore,10-16years,Not Specified,Looking for Senior Business Development Manager,BusinessAnalyst|BusinessDevelopmentManager|Bdm|
Sales/ marketing/ BDE/ BDM/Diploma/  Btech / Mechanical /Automobile/ Rajasthan,AGN Corporate Consultancy Services,Jaipur|Udaipur,2-4years,Not Specified,Required Btech /Diploma /ITI/ Mechanical / Freshers/ Sales/ Business Development,Sales|Marketing|Bde|Bdm|Businessdevelopemnet|LeadGeneration|coldcalling|IndustrialSales|mechanicalsales|Diploma|Btech|Mechanical|Automobile|Rajasthan|
Sales/ marketing/ BDE/ BDM/Diploma/ Btech / Mechanical /Automobile/ Haryana,AGN Corporate Consultancy Services,Ambala|Kurukshetra,0-2years,Not Specified,Sales/ marketing/ BDE/ BDM/Diploma/ Btech / Mechanical /Automobile/ Haryana,Sales|Marketing|Bde|Bdm|Businessdevelopemnet|LeadGeneration|coldcalling|IndustrialSales|mechanicalsales|Diploma|Btech|Mechanical|Automobile|Haryana|
Sales  Manager / BDM { NIC and NICSI },Aayam Consultants,Delhi,4-9years,450000 - 900000 INR,Need sales person who is handling NIC and NICSI account,BusinessDevelopmentManager|NIC|NICSI|GovernmentSales|Tender|Bidding|SalesManager|ItSales|
Business Development Manager / Business Development / BDM,Holy Faith International Private Limited,Indore|Raipur,2-5years,Not Specified,Generating Leads |   Product Demos in Schools /conducting Workshops |,BusinessDevelopmentManager|BusinessDevelopment|Marketing|Sales|LeadGeneration|MarketDevelopment|ClientAcquisition|
Opportunity for Tech Sales/Pre sales/ Tech Lead profile,Synersoft Technologies Private Limited,Bengaluru/Bangalore|Kolkata,0-5years,Not Specified,We have an opportunity for Tech Sales/Pre sales support profile in our company |,Techsales/Technicalsales/Presalessupport/BDM/ITinsidesales|
Sales Officer (FMCG),Orissa Doot Private Limited,Bhubaneswar,2-4years,Not Specified,Opening for Sales Officer (FMCG) in Odisha location,SalesOfficer|Marketing|DirectSales|Bdm|
Business Development Executive,Orissa Doot Private Limited,Bhubaneswar,0-2years,Not Specified,Opening for Business Development Executive in Odisha location,Bde|Marketing|DirectSales|BD|Bdm|
Territory Manager BDM,Radial HR Solutions,Mumbai|Thane,1-4years,Not Specified,"Experience of sales in Central Mumbai for Products  like Frozen  Food. |  · Experience of HoReCa Trade is a must |  · Responsible for Channel business set up and focused for Hotel, Restaurants and Caterers.",Sales|horeca|BusinessDevelopment|B2bSales|B2b|BD|
BDM/ASM/SM - Life Insurance,Skycruze Services,Bengaluru/Bangalore,1-4years,250000 - 500000 INR,Looking for the position of BDMASMSM - Life Insurance: Require Candidates with 1+yrs of experience in any sales,BDM/ASM/SM-LifeInsurance|Sales|relationshipmanagement|hnisales|WealthManagement|Marketing|businessdevelopment|Insurance|lifeinsurance|
"Sales Executive, Sales Manager ,BDM, Marketing Executive, Mumbai Pune Location",Wings Brand Activations India Private Limited,Mumbai|Pune,2-7years,200000 - 300000 INR,Hiring for Sales Profile for our client with heavy incentives schemes  |    Sales and marketing Experience |    Lead Support |    Selling product to the customer B2C |    Generating business and build good relationship with customer  |,Sales|Marketing|BusinessDevelopment|Selling|SalesOfficer|SalesExecutives|Relationshipmanager|BD|DirectSales|BusinessDevelopmentManager|Insurance|InsuranceSales|InsuranceSalesOfficer|SalesManager|
Spot Offer for Corporate Sales BDE/BDM (Lucknow),PeopleStrong,Lucknow,1-3years,110000 - 430000 INR,Openings for Corporate Sales Marketing (Lucknow) Looking for both Male & Female (Spot Offer),BusinessDevelopment|Sales|Marketing|
