jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent Hiring for the Airport Work For the Ground Staff & Ground Handling Activities Job Profile.,Proximity Immigration Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,190000 - 570000 INR,• Airport Ground Staff Responsibilities include in a full range of Customer Service |                                               Required Candidate profile |                                               Qualification: 12th Pass & Above |                                               Age Limit:( 18 to 35) years for Male & (18 to 30 )year,12Pass|TravelAgent|HotelManagement|Restaurant|Hospitality|Bhm|Mall|Steward|Aviation|RestaurantManager|
BHM Candidates for Australia,Adal Immigrations LLP,Australia|Germany,1-6years,470000 - 810000 INR,Minimum 1+ years of relevant experience  - MUST |    Must have good knowledge of English  - MUST |    Age: Must be below 40. |,HotelManagement|HotelBookings|HotelAccounting|HotelsAndRestaurants|Hotels/restaurants|Hospitality|Bhm|Restaurant|Resort|Mall|Steward|RestaurantManager|
"Urgent Hiring For The Cabin Crew, Cabin Attendant & Cabin Crew Activities.",Q Visas Immigration,Pondicherry|Alappuzha/Alleppey,Fresher,190000 - 580000 INR,"We are looking for Cabin Crew able to create a pleasant flight experience for our guests. You will be able to work autonomously, take initiatives and collaborate with colleagues in order to help passengers enjoy their time aboard",12Pass|GraduateTrainee/ManagementTrainee|Aviation|airworthiness|aviationbiofuel|navalaviation|HotelManagement|Restaurant|Bhm|Hospitality|Mall|Resort|RestaurantManager|
Restaurant Manager Required Under Work Permit Visa,Esther Jeevitha (Proprietor of Morgan Techno India),Australia|Canada,2-7years,1500000 - 5000000 INR,"Will have the overall responsibility for directing the daily operations of a restaurant in the absence of Restaurant General Manager's, ensuring compliance with company standards in all areas of operation, including product preparation and delivery.",FoodQuality|CustomerService|HotelManagement|Hospitality|Bhm|Restaurant|Resort|RestaurantManager|
Hotel Manager Required In Canada,Rajesh Mishra (Proprietor of M/S Rajlaxmi Enterprises),Australia|Canada,2-7years,Not Specified,"Hotel Managers are responsible for managing employees and for planning, marketing, coordinating, and administering",CustomerSupportExecutive|HotelManagement|Resort|Restaurant|Bhm|Hospitality|RestaurantManager|
Hotel Manager,Flight To Sucess Immigration Services Llp,Chennai,1-6years,250000 - 450000 INR,Requirement for the post of Hotel Manager.,HotelManager|HotelManagement|Restaurant|Resort|Bhm|Hospitality|RestaurantManager|
Banquet Executive,Hiringhub,Lucknow,2-5years,110000 - 320000 INR,This post is for Hotel Antares by Rajlaxmi. The hotel is situated at Mohanlalganj in Lucknow.,HotelManagement|Hospitality|BanquetExecutive|Bhm|Steward|
Housekeeper required in Hongkong,Smart Solution,Germany,0-5years,6600000 - 8800000 INR,"Performing a variety of cleaning activities such as sweeping, mopping, dusting and polishing. Ensuring all rooms are cared for and inspected according to standards. Protecting equipment and making sure there are no inadequacies",BscBhmsBhmHospitalityHotelManagementStewardRestaurantMallResortRestaurantManager|
"Hotel Management,  Event Management , Customer Support  Customer Care  Customer Service",Asha Kiran Immigration Services Private Limited,MumbaiCity|NaviMumbai,1-3years,Not Specified,Hiring for Venue manager,HotelManagement|Bhm|EventManagement|Events|EventsHandling|
BBA/MBA/BCOM/BHM/BCA Freshers - Management Profiles,Proximity Immigration Private Limited,Chennai|Gurgaon/Gurugram,0-2years,300000 - 450000 INR,we are hiring fresher's must apply,Bba|Bcom|Bsc|Bca|Mba|Bbm|Freshers|
