jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Front End Developer,SliceMyPage,Lucknow,0-3years,120000 - 300000 INR,"We are looking  for the position of Front End Developer who is  responsible for ensuring the alignment of web design and user experience requirements, optimizing web pages for maximum efficiency, and maintaining brand consistency across all web pages",Photoshop|HTML|CSS|Javascript|Bootstrap|WebDesigner|
Full stack Developer,Deputize Consultancy Private limited,Mumbai,4-5years,Not Specified,"Please share copy of your updated resume if you are available and interested to learn more about this opportunity;   |   |  Full stack Developer |  Andheri, Mumbai  |   |   |  Roles and Responsibilities |  • Displaying sound knowledge of software engineering |  process, you",Java|J2EE|Javascript|Angular|Bootstrap|
"UI Developer (Angular , Javascript)",Bodhami Private Limited,Bengaluru/Bangalore|Goa,1-4years,250000 - 350000 INR,"Bodhami is a National Award Winner of 2020 and featured on National Startup Showcase. We are looking for a UI Developer with hands on experience in Angular, Java to join our award winning team. |",Angular|Bootstrap|Html5|CssJavaScript|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
UI Developer,Computer Generated Solutions India PVt. Ltd.,Hyderabad/Secunderabad,4-8years,400000 - 800000 INR,UI Developer with Angular,Angular|HTML|CSS|Bootstrap|
Full stack developer,Focuz Academy,Cochin/Kochi/Ernakulam,3-5years,Not Specified,"A full stack developer must have a range of technical and soft skills to qualify for the job role. |   They must have knowledge of front-end technologies like:HTML, JavaScript, and CSS |    Foundation, Bootstrap and other CSS frameworks |",Javascript|Java|Bootstrap|Html5|
"Axion Technical Services Pvt Ltd, Chennai is hiring PHPWeb Developers",Axion Technical services Private Limited,Chennai|Trichy,2-5years,Not Specified,"# Axion Technical Services Pvt Ltd, Chennai is hiring Web Developers having 2-5 Years of |  experience |   |  # As a PHP Web Developer, the Web Developer relies on experience in web application |  development to design and PHP-based web applications |",Phpdeveloper|PhpMysql|Javascript|Jquery|CSS|Joomla|Codeigniter|Bootstrap|
Associate Software Engineer,Manheer Singh (Proprietor Of BigBoss Decor),Pune,0-3years,170000 - 250000 INR,Immediate opening For Associate Software Engineer/Developer For 2020 Passed Out Only.,Fresher|Java|CSS|Javascript|Bootstrap|HTML|SoftwareEngineering|
Full Stack Developer,eAnswer Network India Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,1-4years,240000 - 300000 INR,Required Experience: 2-4 years |    |   Mode of work: Remote(Until Covid 19 lock-down),Html5|Css3|Javascript|jQuery|Bootstrap|Phpdeveloper|Php|Bootstrap|
UI UX Designer,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-9years,Not Specified,Experience - 5+ years |  Location - Remote |  Notice Period - Immediate joiners to 30 days preferred,WMNOW|Chatbot|jQuery|Js|Bootstrap|HTML|
React.Js,Emastech Consultancy services (OPC) Private Limited,Pune,0-2years,Not Specified,Looking for React Developer for Pune,react.js|CSS|Html5|Bootstrap|JavaScript|
"Hot Vacancies for ""Magento""",Shell Info Technologies Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Hiring Alert!! |    |   Role : Magento |    |   Experience:5-8Years |    |   Location : Bangalore |    |   Notice :Max 1 Month |    |   Interested pls share updated Cv's on this mail [HIDDEN TEXT] |,MagentoDeveloper|Magento|RestApi|Git|jQuery|Php|Xml|Node.js|Grunt|Gulp|Bootstrap|
Lead/Sr.PHP Developer,Mohideen Rahim (Proprietor of Braincert India),Coimbatore,4-8years,Not Specified,"Comprehensive knowledge of Open Source CMS platforms including WordPress, Joomla, and the ability to implement complex sites and create custom components, modules, and plugins as necessary. |",PHPDeveloper|PhpLead|Bootstrap|Json|JQuery|Html5|WebServices|JOOMLA|Wordpress|Moodle|Laravel|
