jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Bpo Non Voice,Fazo Software,Chennai,Fresher,180000 - 340000 INR,Salary 12000 CTC |   Immediate joining |   No WFH |,BPOExecutive|BPOAnalyst|Bpo|BpoOperations|BpoNonVoice|BPOHiring|BPOCallCentre|BPOCallCenter|BPODataEntry|InternationalBpo|CallCentre|WiproBPO|CallCenterExecutive|VoiceProcess|InternationalCallCenter|DomesticBPO|BPOFresher|TeleC|
Non Voice Bpo,Manheer Singh (Proprietor Of BigBoss Decor),Hyderabad/Secunderabad,0-3years,150000 - 300000 INR,Bulk Hiring Freshers in Non Voice Process.,NonVoiceProcess|freshersBPO|Engineering|CommunicationSkills|Backend|CustomerService|NightShift|NonVoice|DataEntry|InternationalBpo|MsOffice|Technicalsupport|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
BPO Voice/ Non voice - Email chat process,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Bpo Non Voice & Voice Process ( Salary 15000 ),Fazo Software,Chennai,0-1years,200000 - 300000 INR,Hiring Freshers |   Arrears Accepted |   Immediate Joining. |   Salary 15000. |   Any Degree |,BPOExecutive|Bpo|BpoNonVoice|VoiceProcess|InternationalCallCenter|CallCenter|BPODataEntry|BPOHiring|FresherBPO|FreshGraduate|CallCenterExecutive|DomesticBPO|CustomerCareExecutive|CallCenterRepresen|Kpo|knowledgeprocessoutsourcing|
Bpo Non Voice /hr pratham  9898950188,Career Services,Tirupati|Thiruvananthapuram/Trivandrum,0-1years,250000 - 360000 INR,YOU HAVE TO DO DATA ENTRY OF RESUMES  |      NO  REGISTRATION CHARGES |      EARN WEEKLY  |    For more details you can contact Pratham |    9898950188,DataEntry|
BPO Non Voice Process,Riju Karan (Proprietor Of Toyota Climax India),NaviMumbai,0-1years,150000 - 220000 INR,We are happy to inform you that we are providing great opportunities for fresher graduates.,BPONonVoiceProcess|Bpo|UsProcess|CustomerSupport|InternationalCallCenter|USShift|BpoNonVoice|Freshers|InternationalBpo|
Hring for bpo voice and Non voice Sal upto 3.5L PA,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
International BPO/Non Voice Process/US Shift/US Process/Rotational Shift/Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Requirements: |           · Excellent written communication skills in English (Written & Verbal) |           · Ready For Night shift |           .Salary 20K-32K Per Month |           Contact Sonali Gupta |           Call:9687676597 |           Mail:rec@arisesolution.c,InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Customer Service Executive,Algotech Technology Services Private Limited,Mohali|Chandigarh,0-3years,Not Specified,Golden opportunity for Fresher/Experienced to start their career in customer service executive for voice/non voice process. candidates with excellent verbal communication are only eligible,BPOExecutive|BpoNonVoice|Bpo|BpoOperations|
Nonvoice / Non-Voice / Non-Voice Support / BPO / Domestic BPO,Fazo Software,Chennai,Fresher,170000 - 240000 INR,Hiring freshers. |    Arrears and College discontinued accepted here. |    Salary : 10000 + Incentives |,BPOExecutive|BPOAnalyst|Bpo|BpoOperations|CallCenter|InternationalCallCenter|BpoNonVoice|BPODataEntry|CustomerSupport|Kpo|knowledgeprocessoutsourcing|Techsupport|Technicalsupport|
Fresher/CSE / 5 days working/ Rotational Shift/International BPO / US Shift,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Process Associate - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |     Free cab facilities available in night shift)/5 Days working |     Fresher/Experience Both can apply |      Salary upto :-20k too 32 k   |     contact:- Sonali  9687676597 |     share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Nonvoice /Fresher/Customer service executive/ 5 Dyas Working,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English (Written & Verbal) |  Flexible to work in rotational shifts (Free cab facilities available in night shift) |  Fresher/Experience Both can apply |  contact:- Sonali  9687676597 |  share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
CSE / Fresher / Night Shift  / Fluent English / International BPO / Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English (Written & Verbal) |   Flexible to work in rotational shifts (Free cab facilities available in night shift) |   Fresher/Experience Both can apply |   contact:- Sonali  9687676597 |   share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Webchat Process- Rotational Shift-5 Days- Internatiopnl BPO -Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |       Free cab facilities available in night shift)/5 Days working |       Fresher/Experience Both can apply |        Salary upto :-20k too 32 k   |       contact:- Sonali  9687676597 |       share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |         Free cab facilities available in night shift)/5 Days working |         Fresher/Experience Both can apply |          Salary upto :-20k too 32 k   |         contact:- Sonali  9687676597 |         share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Fresher/Web Chat /CSE / 5 days working/ Rotational Shift/International BPO / US Shift,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |          Free cab facilities available in night shift)/5 Days working |          Fresher/Experience Both can apply |           Salary upto :-20k too 32 k   |          contact:- Sonali  9687676597 |          share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
International BPO / Customer Support Executive / Webchat Process / 5Dyas Working,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |          Free cab facilities available in night shift)/5 Days working |          Fresher/Experience Both can apply |           Salary upto :-20k too 32 k   |          contact:- Sonali  9687676597 |          share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Non Voice Process-Fluent English - International BPO- Fresher - Ahmdabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |        Free cab facilities available in night shift)/5 Days working |        Fresher/Experience Both can apply |         Salary upto :-20k too 32 k   |        contact:- Sonali  9687676597 |        share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
Process Associate -Rotational Shift - Chat Support - Email Process - Ahmedabad,Arise Solution,Ahmedabad,0-4years,150000 - 300000 INR,Excellent written communication skills in English . |      Free cab facilities available in night shift)/5 Days working |      Fresher/Experience Both can apply |       Salary upto :-20k too 32 k   |      contact:- Sonali  9687676597 |      share cv :- [HIDDEN TEXT],InternationalBpo|USNonVoice|NonVoiceProcess|BpoNonVoice|InternationalNonVoice|Bpo|UsProcess|
