jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Branch Manager,Global Colliance LLP,Ahmedabad,3-7years,Not Specified,Global Colliance is looking for a Smart and Talented Branch Manager at Ahmedabad Location.,BranchManager|BranchHead|AssistantBranchManager|BranchSalesManager|BM|CentreManager|CentreHead|
Branch Service Manager,Shyamal HR Services,Mumbai,9-12years,Not Specified,'Looking for a service engineer / manager who has expertise in providing service in analytical and scientific field',Servicing|scientificequipment’s|Installations|Amc|Chromatography|Maintenance|Hplc|Gc|
Urgent Hiring for Associate Circle Head for Leading Life Insurance Company,Quess Corp Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,5-13years,550000 - 900000 INR,Its a on roll team Handling Profile.,BranchManager|BranchHead|AssistantBranchManager|BranchSalesManager|BM|BranchManager-Agency|BranchManager-LifeInsurance|OnrollteamHandling|TeamHandling|
BRANCH RELATIONSHIP MANAGER,Karyin HR Solutions,Kollam,0-2years,Not Specified,"Manage credit card sales through sales team,and would be responsible for driving business, achieve monthly sales target. Maintain a group of sales executives ,Track and report the sales performance .",GroupLeader|TeamHandling|CreditCardSales|BankingSales|TeamLeader|
"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",Cloud Visa Immigration LLP,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"Agency Manager,Unit Manager ,Senior Agency Manager, Branch/ Sr. Branch Manager,- Any Sales",SalesOfficer|Marketing|Relationshipmanager|Selling|Sales|Insurance|DirectSales|AccountManager|BD|Bde|Bdm|
Branch Manager/ Branch Head in Agency Channel - Health Insurance,Essvee Consultants,Vadodara,5-15years,Not Specified,We have urgent opening for the position of Branch Manager with one of the leading Health Insurance company in Agency Vertical.,Sales|AgencySales|Insurance|BranchManager|BranchHead|TeamHandling|Agent|Advisor|
Manager Required In Canada,Shalitin Immigrations LLP,Canada,4-9years,4000000 - 4500000 INR,"Managers ensure that their assigned department, store, or district is well staffed and provisioned, adheres to quality and service standards, increases revenue and market share, and helps the business accomplish its goals",ManagerSales|ManagerOperations|FinanceManager|ManagerAdministration|ManagerCommercial|SalesManager|
Branch Manager -GYM,JDC Recruitment Services,Hyderabad/Secunderabad,2-4years,450000 - 600000 INR,Looking for Branch manager for a reputed Gym in Hyderabad.,GymManager|CommunicationManager|
Branch Sales Manager- Overseas - (Pune),Shyamal HR Services,Pune,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Kolkata),Green Window Consultancy,Kolkata,6-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Mumbai),Green Window Consultancy,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch. |,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
Branch Sales Manager- Overseas - (Chandigarh),I Tech Solutions,Chandigarh,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
Branch Sales Manager- Overseas - (Mumbai),Vazir Immigration Services LLC,Mumbai,4-7years,600000 - 700000 INR,|   |  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagement|
Branch Sales Manager- Overseas - (Delhi),Shyamal HR Services,Delhi,4-7years,600000 - 700000 INR,|  Ensure the target set is achieved. Motivate and monitor the team performance. Endeavour to make Avanse a brand of first choice within our customer segment in his respective branch.,CommunicationSkill|Relationship|TeamHandling|ChannelManagementShareJobLinkonSocialMedia|
