jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
New Associate-Order to Cash Processing,Accenture,Gurgaon/Gurugram,0-1years,Not Specified,"Job DescriptionSkill required: Order to Cash Processing - Billing ProcessingDesignation: Management Level - New AssociateAbout Accenture OperationsIn today's business environment, growth isn't just about building value-it's fundamental to long-",BusinessProcessDelivery|
New Associate-Record To Report,Accenture,Chennai,0-1years,Not Specified,"Job DescriptionSkill required: Record To Report - Account ReconciliationDesignation: Management Level - New AssociateAbout Accenture OperationsIn today's business environment, growth isn't just about building value-it's fundamental to long-term",BusinessProcessDelivery|
Senior Analyst-Audit,Accenture,Gurgaon/Gurugram,5-8years,Not Specified,"Job DescriptionSkill required: Audit - Operational Audit & ComplianceDesignation: Management Level - Senior AnalystAbout Accenture OperationsIn today's business environment, growth isn't just about building value-it's fundamental to long-term b",BusinessProcessDelivery|
Need Delivery Boy,Incube Placements,Chennai|Hyderabad/Secunderabad,0-1years,Not Specified,We are looking to hire a reliable Delivery Boy to deliver packages to customers. The Delivery Boy's responsibilities include verifying the identities of recipients before handing over packages,HighschooldiplomaorGED.Validdriver'slicense.Cleandrivingrecord.|
Opening For BPO Lead/Delivery Manager US Process,IPS Vantage Tech Services Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,Role - BPO Lead/Delivery Manager |    |   Education - Graduate |    |   Location - Bangalore (US Process) |    |   Notice Period - 1month,BpoNonVoice|USShift|UsProcess|LeanManagement|BpoOperations|TAT|ManagerSales|Slas|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |    Minimum 6 month of relevant experience |    Salary 11k to 15 CTC + incentives |    Graduation mandatory |    Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Business Process Analyst,Millennium Ims Private Limited,Pune|OtherIndia,7-13years,Not Specified,•	7-13 Years of Experience as Business Process Consultant in Telecom Domain  |  •	Experience in working for Global Enterprise & Wholesale Telecom Operator (Preferred) |  Educational |   |,SixSigma|Lean|Billing|SupplyChain|Assurance|ServiceDelivery|DataAnalytics|
Sales Process/Lead Generation/Outbond Process  - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |   Minimum 6 month of relevant experience |   Salary 11k to 15 CTC + incentives |   Graduation mandatory |   Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |    Minimum 6 month of relevant experience |    Salary 11k to 15 CTC + incentives |    Graduation mandatory |    Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |   Minimum 6 month of relevant experience |   Salary 11k to 15 CTC + incentives |   Graduation mandatory |   Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
International Voice Process,Hucon Solutions India Private Limited,Hyderabad/Secunderabad,1-7years,Not Specified,Looking for someone who has the below. |   |   |  Process- International Voice |   |  Qualification - Any graduate |   |  Experience - 1 to 7 years |   |  Joining - Immediate |   |  Work location -  Hyderabad |   |,InternationalVoice|calling|VoiceProcess|InternationalBpo|
Admin Process Executive,Cygnus Staffing Solutions,Hyderabad/Secunderabad,0-5years,Not Specified,Admin Process Executive,AdminProcessManager|ProcessManager|ProcessManagement|ProcessMaintenance|Bpo|CallCenter|
Business Process Manager,SnapHunt Pte Ltd,Delhi,5-10years,Not Specified,"Understanding and analysing existing business processes basis their productivity, quality, costs and time consumption. |",Operations|BusinessProcessManagement|BusinessAdministration|ProcessImplementation|BusinessProcess|Saas|
Position: Process Lead/Business analyst ( Female )_Bhopal_Madhya Pradesh,Java R&d Private Limited,Bhopal,2-4years,Not Specified,We are hiring for the Role of Process Analyst /Business Analyst for Bhopal Location.,BusinessAnalyst|ProcessExecutive|TechnicalSupport|TechnicalSupportExecutive|ItHelpdesk|TechnicalSupportEngineer|
Delivery Field Boys,Kisaanputr Infotech Private Limited,Jaipur,1-5years,Not Specified,"We are looking to hire a reliable Delivery Boy to deliver packages to customers. The Delivery Boy's responsibilities include verifying the identities of recipients before handing over packages, updating the status.",DeliveryBoy|DeliveryFieldBoys|
Delivery Boys,Growing Careers,Karnal|Rohtak,0-4years,Not Specified,Delivery Boys,DeliveryBoy|DeliveryFieldBoys|FieldBoys|
Process Coordinator,Early World HR Solutions,Gurgaon/Gurugram,1-3years,170000 - 240000 INR,We are urgently looking for  process Coordinators staying in Gurgaon.,ProcessExcellence|ProcessImprovement|OperationalExcellence|ContinuousImprovement|ProcessQuality|
Resource Manager,3 Point Human Capital Private Limited,Bengaluru/Bangalore,8-15years,Not Specified,Job opening for Resource Manager,Javascript|Jscript|
Delivery Executive,Shree Home Appliances and Services Private Limited,Pune,1-2years,120000 - 150000 INR,"Delivery Work, Washing Machine and Refrigeration parts, powder",DeliveryWork|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |    Minimum 6 month of relevant experience |    Salary 11k to 15 CTC + incentives |    Graduation mandatory |    Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-3years,Not Specified,"Good Communication & Convincing skills |           Self Motivated & Target Oriented. |           Prior experience in Outbound, Telesales, Telemarketing or Financial products sales would be an added advantage. |           Only For Ahemdabad Candidates",Demat|OnlineTrading|Equity|ShareTrading|TradingAccount|Commodities|Broking|Brokerage|OnlineShareTrading|
Business Analyst - IT,Axs Solutions And Consulting Private Limited,Mumbai,2-5years,Not Specified,Managing the entire product line life cycle from strategic planning to tactical activities. |  Specifying market requirements for current and future products by conducting market research supported by on-going visits to customers and non-customers. |,BusinessAnalyst/ProjectMonitoring/DeliveryManagement/stakeholdermanagement/ProductManagement/BusinessAnalysis/BusinessAnalystManager/QualityAnalyst/QualityAssurance/QualityAnalystengineer|
IT Service Delivery Lead/Manager: Onsite-Offshore model,Sahakar Solutions & Technologies LLP,Hyderabad/Secunderabad,8-12years,Not Specified,"looking for a Service Delivery Lead/Manager, Experienced with Projects & Support service delivery in onsite-offshore model",SDM|ServiceDeliveryManager|ServiceDelivery|DeliveryManager|
Business Analyst,SmartDocs Business Solutions Private Limited,Hyderabad/Secunderabad,2-5years,400000 - 850000 INR,SmartDocs is looking for a Business Analyst who have been experienced with Enterprise / SaaS model products preferable from a Start-up / a Product Based entity.,BusinessAnalyst|ProductAnalyst|Saas|
