jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
"Part Time Opening In Internsational BPO- Evening Shift, Sal Upto 15k+Incentive, MondayTo Friday Work",Smart Call Center Solutions Private Limited,Kolkata,0-5years,Not Specified,"Absolutely Genuine Process. |  Fixed Salary Job+ Performance Based Incentive. |  5 Days Working, Saturday & Sunday Fixed Off. |  Part Time & Full Time Shift Available.",Bpo|CallCenter|VoiceProcess|InternationalCallCenter|
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |   Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |    |   for interview appointment  |   Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Fresher BPO call center / customer care / Telecalling,Call 2 Hire,Delhi,0-1years,Not Specified,"Hiring for freshers bpo call center / customer care / telecalling jobs in Delhi for freshers. |  Good knowledge in customer handling executive , bpo , voice process , inbound , call center etc . |   |  for interview appointment  |  Hr Avnii",Bpo|CallCenter|VoiceProcess|Backend|Nonvoice|BackOffice|
Leading International BPO Is Hiring For Team Leader/Senior Customer Care Executive  & Telecaller For,Smart Call Center Solutions Private Limited,Kolkata,0-5years,Not Specified,"Inbound & Outbound Opening In Kolkatas One Of The Best International BPO |   |  Absolutely Genuine Process. |  Fixed Salary Job+ Performance Based Incentive. |  5 Days Working, Saturday & Sunday Fixed Off. |  Part Time & Full Time Shift Available.",Bpo|CallCenter|VoiceProcess|InternationalCallCenter|
Urgent Requirement For Technical Staff(Desktop Support) In International Bpo,Smart Call Center Solutions Private Limited,Kolkata,1-2years,Not Specified,Looking For Technical Staff In Our International BPO (US process Night Shift),Virushandling|DialerManagement|HardwareTroubleshooting|HardwareAndNetworking|OsInstallation|
customer care executive - contact HR Lubhanshi  8447905567,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr Lubhanshi 8447905567 |          walk-in interview at Delhi location only  |          Customer Care Executive profile  |          Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR Lubhanshi  8447905567,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr Lubhanshi 8447905567 |         walk-in interview at Delhi location only  |         Customer Care Executive profile  |         Domestic or International Calling,CustomerCareExecutive|
we are hiring for bpo  voice process and non voice process call hr Lubhanshi  8447905567,Call 2 Hire,Delhi|Gurgaon/Gurugram,Fresher,Not Specified,* Freshers can also apply  |                    * 10th/12th pass can also apply |                    * known Hindi and English languages  |                    *Graduates can also apply  |                    * salary plus incentives  |                    * communication skills should good  |                     |                    Interested candidates call hr,Bpo|CallCenter|Inbound|VoiceProcess|InternationalCallCenter|DomesticBpo|Fresher|
we are hiring for bpo  voice process and non voice process call hr Lubhanshi  8447905567,Call 2 Hire,Delhi|Gurgaon/Gurugram,Fresher,Not Specified,* Freshers can also apply  |                   * 10th/12th pass can also apply |                   * known Hindi and English languages  |                   *Graduates can also apply  |                   * salary plus incentives  |                   * communication skills should good  |                    |                   Interested candidates call hr,Bpo|CallCenter|Inbound|VoiceProcess|InternationalCallCenter|DomesticBpo|Fresher|
"Opening For ""Freshers"" and ""Experienced"" In International BPO. Part-Time /Full time Shift Available",Smart Call Center Solutions Private Limited,Kolkata,0-5years,Not Specified,Hiring for Full-Time Night Shift/Evening Part-Time Shift |    Looking For Team Leader/Sr. Customer Care Executive/Customer Care Executive/Associate |    This Job Opening Is For Kolkata Location(office based job),CustomerCareExecutive|
"Hiring For Part Time Evening & Full Time Night Shift In BPO, Sal Upto 30k+Incentive,  Saturday-Sunda",Smart Call Center Solutions Private Limited,Kolkata,0-5years,Not Specified,"HIRING GOING ON IN AN INTERNATIONAL BPO  |  FIXED EVENING/NIGHT SHIFT,  |  5 DAYS WORK, SATURDAY & SUNDAY FIXED OFF |  PART TIME & FULL TIME SHIFT, |  FIXED SALARY+INCENTIVE |",Bpo|CallCenter|VoiceProcess|InternationalCallCenter|
Job Opening In International BPO(Fresher & Experienced)-Full/Part Time,Smart Call Center Solutions Private Limited,Kolkata,0-5years,120000 - 320000 INR,|  We are an International BPO cum IT company .We have an urgent requirement of 'Freshers as well as Experienced with excellent communication skill in English' for our International lead generation/ sales process (voice).,InternationalCallCenter|VoiceProcess|CustomerCareExecutive|BPOFresher|InternationalBpo|
customer care executive - contact HR Avnii 8447905567,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr Avnii 8447905567 |         walk-in interview at Delhi location only  |         Customer Care Executive profile  |         Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |            walk-in interview at Delhi location only  |            Customer Care Executive profile  |            Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |            walk-in interview at Delhi location only  |            Customer Care Executive profile  |            Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |            walk-in interview at Delhi location only  |            Customer Care Executive profile  |            Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |            walk-in interview at Delhi location only  |            Customer Care Executive profile  |            Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |            walk-in interview at Delhi location only  |            Customer Care Executive profile  |            Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR Avnii 8447905567,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr Avnii 8447905567 |         walk-in interview at Delhi location only  |         Customer Care Executive profile  |         Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |          walk-in interview at Delhi location only  |          Customer Care Executive profile  |          Domestic or International Calling,CustomerCareExecutive|
customer care executive - contact HR swati 8076640810,Call 2 Hire,Delhi,0-2years,Not Specified,contact hr swati 8076640810 |         walk-in interview at Delhi location only  |         Customer Care Executive profile  |         Domestic or International Calling,CustomerCareExecutive|
