jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Teller,Infomedia Solutions And Consultant,Pune,1-4years,Not Specified,"Dear Jobseekers, |  Greetings of the day, |  We are hiring for leading private bank in pune.",Teller|Cashier|CashHandling|Cash|PettyCash|
"Cashier,Cash,Cash Handling,Petty Cash,Teller,Accountant,Head Cashier,Vault Custodian",Aspire Group of Services,Mumbai|NaviMumbai|Thane,0-5years,Not Specified,"Cashier,Cash,Cash Handling,Petty Cash,Teller,Accountant,Head Cashier,Vault Custodian,Counter Sales,Counter sales Executive,Retail sales,Showroom sales,Sales promoter,Sales staff,Sales girl,Sales executive,Sales associate,Promoter,",Cashier|Cash|CashHandling|PettyCash|Teller|Accountant|HeadCashier|VaultCustodian|CounterSales|CountersalesExecutive|RetailSales|ShowroomSales|Salespromoter|SalesStaff|SalesGirl|SalesAssociate|Promoter|Salesexecutive|
"Cashier,Cash,Cash Handling,Teller,Petty Cash,Accountant,Head Cashier,Vault Custodian",Future Solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"Cashier,Cash,Cash Handling,Teller,Petty Cash,Accountant,Head Cashier,Vault Custodian,,JOB APPLY 7208294543",Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCashier|VaultCustodian|
Cashier - (Lucknow & Faizabad ),Future Solution,Faizabad|Lucknow,0-1years,140000 - 240000 INR,|  Managing transactions with customers using cash registers.  |  Basic computer knowledge and /or excel skills.,Cashier|CashHandling|
"OPENING FOR Cashier,Cash,Cash Handling,Teller,Petty Cash,Accountant,Head Cashier,Vault Custodian",Future Solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-5years,Not Specified,"OPENING FOR Cashier,Cash,Cash Handling,Teller,Petty Cash,Accountant,Head Cashier,Vault Custodian,JOB  |  APPLY 7208294543",Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCashier|VaultCustodian|
Cashier & computer operator,Future Solution,Himatnagar|Hassan,Fresher,220000 - 660000 INR,"Cashier responsibilities include receiving payments and issuing receipts, of all cash and credit transactions. For Data Entry Operator drive and excel sheets as in documents, sheets, forms. Contact HR. Ishika Aggarwal – 07618965343",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|DataEntryOperator|DataEntry|BackOfficeExecutive|OfficeAssistant|BackOffice|Deo|Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCash|ComputerOperator|Receptionist|
Cashier & computer operator,Future Solution,Rourkela|Samastipur,Fresher,340000 - 860000 INR,"Cashier responsibilities include receiving payments and issuing receipts, of all cash and credit transactions. For Data Entry Operator drive and excel sheets as in documents, sheets, forms. Contact HR. Ishika Aggarwal – 07618965343",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|DataEntryOperator|BackOfficeExecutive|DataEntry|OfficeAssistant|BackOffice|Deo|Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCash|ComputerOperator|Receptionist|
Cashier & computer operator,Future Solution,Guwahati|Jalpaiguri,Fresher,320000 - 760000 INR,"Cashier responsibilities include receiving payments and issuing receipts, of all cash and credit transactions. For Data Entry Operator drive and excel sheets as in documents, sheets, forms. Contact HR. Ishika Aggarwal – 07618965343",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|DataEntryOperator|BackOfficeExecutive|DataEntry|OfficeAssistant|BackOffice|Deo|Cashier|Cash|CashHandling|PettyCash|Teller|Accountant|HeadCash|ComputerOperator|Receptionist|
VACANCY MALL JOB /COUNTER SALES/ Cashier/Cash Handling/Accountant/Office boy:,Aspire Group of Services,MumbaiCity|NaviMumbai|Thane,0-3years,Not Specified,VACANCY MALL JOB /COUNTER SALES/ Cashier/Cash Handling/Accountant/Office boy: 8,VACANCYMALLJOB/COUNTERSALES/Cashier/CashHandling/Accountant/Officeboy:8097062483|
Computer operator & Back office,Subrata Mondal (Proprietor Of Cafe Industry),Mathura|Mandi,Fresher,210000 - 640000 INR,"We are looking for Data Entry Operator To manage Data on our Google drive and excel sheets as in documents, sheets, and forms Back office Executive/Data Entry Operator. Contact HR kanika khanna 08112986235",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCashier|VaultCustodian|
Computer operator & Back office,Future Solution,Guna|Remote,Fresher,330000 - 630000 INR,"We are looking for Data Entry Operator To manage Data on our Google drive and excel sheets as in documents, sheets, and forms Back office Executive/Data Entry Operator. Contact HR. Divya Mehta =09120613503",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|Cashier|Cash|CashHandling|Teller|PettyCash|Accountant|HeadCashier|VaultCustodian|
"Cashier,Cash Handling,Accountant,Account Assistant,JR. Accountant,Account Executive : 8097093326",Future Solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-2years,Not Specified,"Opening for Cashier,Cash Handling,Accountant,Account Assistant,JR. Accountant,Account Executive : 8097093326",Cashier|CashHandling|Accountant|AccountAssistant|JR.Accountant|AccountExecutive|
"Cashier,Cash Handling,CASH COUNTER ,Counter Sales,Retail sales,Sales promoter,Counter sales Executiv",Future Solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-3years,Not Specified,"Cashier,Cash Handling,CASH COUNTER ,Counter Sales,Retail sales,Sales promoter,Counter sales Executive:8097093326",Cashier|CashHandling|CASHCOUNTER|CounterSales|RetailSales|Salespromoter|CountersalesExecutive|
"opening for Cashier,Cash,Cash Handling,Accountant,Head Cashier,Vault Custodian job 9152092213",Future Solution,MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,"opening for Cashier,Cash,Cash Handling,Accountant,Head Cashier,Vault Custodian job 9152092213",Cashier|Cash|CashHandling|Accountant|HeadCashier|VaultCustodianjob|
Cashier & computer operator,Future Solution,Hoshangabad|Nagapattinam,Fresher,320000 - 760000 INR,"Cashier responsibilities include receiving payments and issuing receipts, of all cash and credit transactions. For Data Entry Operator drive and excel sheets as in documents, sheets, forms. Contact HR. Ishika Aggarwal – 07618965343",Freshers|Graduates|GraduateFresher|Undergraduates|HighSchoolPass|DataEntryOperator|BackOfficeExecutive|DataEntry|OfficeAssistant|BackOffice|Deo|Cashier|CashHandling|Cash|Teller|PettyCash|Accountant|HeadCash|ComputerOperator|Receptionist|
