jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Database Administrator - MySQL / PostgreSQL / Mango DB,Kbridge Consulting Services Private Limited,Hyderabad/Secunderabad,5-12years,Not Specified,"Database Administrator - MySQL / PostgreSQL / Cassandra / Mango DB |   |  Experience - 5+, |  Hyderabad / Any Location Pan INDIA. |  Notice Period - 15 - 20 Days,",Mysql|Cassandra|PostgreSQL|MongoDB|
Analytics Developer,Best infosystems Ltd,Chennai,3-6years,Not Specified,|  Scala and Spark,Scala|Spark|Cassandra|
Scala Developer (A/SA),Bharat Head Hunters Private limited,Bengaluru/Bangalore,4-11years,Not Specified,Looking for Scala Developer (A/SA),Xml|WebServices|Api|Cassandra|Hbase|Nosql|
Cassandra Architect,HR Factor,Bengaluru/Bangalore|Pune,10-17years,Not Specified,"•	Primary Skills – Cassandra |  •	Experienced in Design, Performance tuning and Architecture of complex Systems |  •	Should be able to analyses AWR/ASH/Execution plans reports and provide guidance to DBAs for setting trae and various monitoring routines. |  •",Cassandra|
Technical Architect Java,BR Raysoft Global Private Limited,Mumbai,9-13years,800000 - 2000000 INR,"	At least 5 years’ hands-on experience in Java/ JEE technologies  |  	Working experience on any one of these open-source technologies (LAMP stack, Node.js framework, ELK, Cassandra, MongoDB, Couch base NO-SQL databases). |  	Notice Period: - 30 Days",Java|StrutsJ2ee|Jsf|Spring|Ejb|Jms|Jsp|Servlet|Lamp|Node.js|Cassandra|MongoDB|
"Immediate C2H Opening for PYTHON,SHELL,ORACLE,CASSANDRA EXPERTISE at MUMBAI Exp: 5+Yrs",Sampark,Hyderabad/Secunderabad,5-14years,Not Specified,"Immediate C2H Opening for PYTHON,SHELL,ORACLE,CASSANDRA EXPERTISE at MUMBAI |  Exp: 5+Yrs |  Notice period : Max 30 days |  Mandatory skills: |  The person should be strong in Oracle and scripting PythonShell  |  Working experience on Oracle PLSQL |",PYTHON|Shell|ORACLE|Cassandra|
Sr. Developer java stack,Freelancer Bhatt Deep Jayprakash,Gurgaon/Gurugram,3-8years,Not Specified,"innovate and solve complex problems.This role will be responsible for all aspects of software development, testing and ensuring compatibility with enterprise and solutions architecture by harnessing modern development technologies",azurecloudkafkacassandradockerkubernetesangular|
Technical Lead,SnapHunt Pte Ltd,Hyderabad/Secunderabad|Pune,4-7years,500000 - 600000 INR,"Unique Selling Proposition (USP) of The Role AWS S3, Snowflake Lead",TechnicalSkillSetAWSS3|snowflake|Cassandra|Alteryx|
Analyst (DevOps),Infosource Consulting Private Limited,Delhi,2-6years,Not Specified,"Participating in project scoping, decision making and technical documentation. Deploying new modules, upgrades and fixes. |",Analyst|Python|Nosql|Devops|Kafka|Cassandra|AWS|CloudServices|Azure|
Java Developer,Expertia Ai Technologies Private Limited,Bengaluru/Bangalore,4-8years,Not Specified,OOPS and coding practices and exposure to TDD,exposuretoTDD|DevOpsimplementation|CassandraorMongoDB|Oops|
Big Data Engineer,ANSR Global Corporation Private Limited,Bengaluru/Bangalore,4-10years,Not Specified,"We are looking for a Big Data Engineer that will work on collecting, storing, processing, and analyzing huge sets of data. Primary focus- choosing optimal solutions to use then maintaining, implementing, and monitoring them.",MapReduce|rabbit|BigDataHadoop|Hive|Sqoop|MangoDb|Cassandra|
Administrator - Cassandra | Rakuten,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Bengaluru/Bangalore,2-12years,Not Specified,Rakuten is hiring a full-time Cassandra Administrator,Chef|Administration|Cassandra|Jenkins|Ansible|Linux|
