jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
SAP FICO Consultant,Tech Tiera Incorporation,Hyderabad/Secunderabad,9-16years,Not Specified,"Looking for Senior SAP FICO Consultant & Lead with experience of at least of 8+ years of experience in SAP FICO. Experience with Cost Center Accounting, Profit Center Accounting, Product Costing, Profitability Analysis",FI-NewGL|FI-AP|FI-AR|CO-CEA|CO-CCA|CO-PC|CostCenterAccounting|SapFico|AssetAccounting|Io|
Voice Process / Technical Process/ Chat Process Call @ 9582538811,Wsne Consulting Private Limited,Gurgaon/Gurugram,0-5years,Not Specified,FRESHERS/EXPERIENCE/GRADUATE/UG |  Salary - 15K upto 27500 inhand |  Incentive upto 15K |  Location - Gurgaon |  Excellent Comms Required,TSE|CSE|CustomerSupport|CCA|Customercare|Cso|Csa|CSR|CRE|TechnicalSupportExecutive|TechnicalSupportRepresentative|Technicalsupport|
Hiring For Voice process/ chat process call @9582538811,Wsne Consulting Private Limited,Delhi|Gurgaon/Gurugram,0-4years,Not Specified,"FRESHERS/EXPERIENCE/GRADUATE/UG |  Salary - 15K upto 27500 inhand |  Incentive upto 15K |  Location - Gurgaon |  Excellent Comms Required |  *WFH / WFO* |   |  Call/Whatsapp Mehak 9582538811, Nidhi-9717672370",Cce|Customercareexecutive|Csa|Customercare|Ccr|CSE|Bpo|CCA|TSE|Tso|TechnicalSupportExecutive|Technicalsupport|TechnicalSupportRepresentative|
Customer Care Executives In International BPO call Mehak @ 9582538811,Wsne Consulting Private Limited,Gurgaon/Gurugram,0-5years,Not Specified,"Hiring for Chat, Sales, Customer Service, Technical Support |   |  FRESHERS/EXPERIENCE/GRADUATE/UG |  Salary - 15K upto 27500 inhand |  Incentive upto 15K |  Location - Gurgaon |   |  *WFH / WFO* |   |  Call/Whatsapp Mehak 9582538811, Nidhi-9717672370",BPOExecutive|Cce|Customercareexecutive|Csa|Customercare|Ccr|Bpo|CCA|
Freshers Apply Now!! MNC BPO ~ Voice/NON-Voice Support ~ Customer Service Advisor @VADODARA!!!,Gautam Consultancy,Vadodara,0-5years,150000 - 200000 INR,"*Freshers with fluent English can apply |  *Able to handle customers query on calls/chats |  *Banking-finance process |   |  Regards, |  Himanchi (Sr. HR Recruitment Leader) |  Call or WhatsApp on 7069081113 |  Email your CV on himanchikothari.gc @gmail.com (NO SPACE) |",Bpo|Freshers|Graduates|VoiceProcess|CallCenter|Voicesupport|Inbound|Outbound|CustomerService|CustomerCare|CustomerSupport|BA|MA|Bcom|Bba|Bca|Bsc|Msc|Bbm|Csa|CSR|CCA|Ccr|CSE|Cce|NightShift|Uk|US|EnglishTeacher|
Apply Now! Vacancies for Freshers @Vadodara!! MNC BPO ~ Voice / Non - Voice Support ~ Customer Care,Gautam Consultancy,Vadodara,0-5years,150000 - 200000 INR,* Able to solve customer query - via calls |  * Banking & Finance Process |  * HSC passed freshers can also apply |   |  Regards |  Himanchi (Sr. HR Recruitment Expert) |  Call or WhatsApp on 7069081113 |  Email your CV on himanchikothari.gc @gmail.com (NO SPACE) |,Freshers|Bpo|Gradutae|VoiceProcess|CallCenter|Ug|Hsc|BankingProcess|NonVoiceProcess|CustomerSupport|CustomerService|Telecalling|ArCaller|CallHandling|ProblemSolving|Inbound|Outbound|calling|Csa|CCA|CSR|Ccr|CSE|Cce|NightShift|Uk|US|Kpo|
Freshers Hurry UP! Hiring for MNC BPO ~ Voice Process ~ Customer Service @VADODARA! Call Now!!,Gautam Consultancy,Vadodara,0-5years,150000 - 200000 INR,"*Freshers with fluent English can apply |  *Able to handle customers query on calls |  *Banking-e-commerce process |   |  Regards, |  Himanchi (Sr. HR Recruitment Leader) |  Call or WhatsApp on 7069081113 |  Email your CV on himanchikothari.gc @gmail.com (NO SPACE) |",Freshers|Graduates|FluentEnglish|VoiceProcess|Bpo|CallCenter|Ites|NonIt|BankingProcess|Voicesupport|CustomerService|CustomerCare|CustomerSupport|NightShift|UKShift|USShift|ProblemSolving|CallHandling|Csa|CCA|CSR|Ccr|CSE|Cce|CCO|Cso|Kpo|
Urgent Hirings for TOP MNC BPO ~ Banking Voice Process ~ Graduate Freshers ~ Customer Care @VADODARA,Gautam Consultancy,Vadodara,0-5years,150000 - 200000 INR,"* Able to solve customer query - via calls |  * Banking Voice Process |  * Graduates in any Specialization, compulsory |   |  Regards, |  Himanchi (Sr. HR Recruitment Expert) |  Call or Whatsapp on 7069081113 |  Email your CV on himanchikothari.gc @gmail.com (NO SPACE) |",Bpo|Freshers|Graduates|CallCenter|VoiceProcess|Inbound|Outbound|VoiceCalling|BankingProcess|CustomerService|FluentEnglish|CustomerCare|NightShift|Uk|US|Ccr|CCO|CSR|CSE|Cce|CCA|Csa|Coldcalling|Telecalling|ProcessAdvisor|
Hiring for International Chat Process || Jaipur || CTC Up To  28k,Panacea Consultancy Services,Jaipur,0-3years,280000 - 370000 INR,"Job Location:- Jaipur |   |  Process- Chat, (Work from office) |   |  Shifts- Rotational Shifts, 24*7 (9.5 hrs office hrs (8.5 hrs login hrs + 1 hr break) |   |  5.5 working days |   |  -No cab facility,  have to commute by their own (company will reimburse Rs 100 per day)",BpoNonVoice|BPOHiring|InternationalProcess|ChatSupport|NightShift|InternationalBpo|Associate|CCA|
Graduate Freshers ~ TOP MNC BPO ~ Customer Care ~ Voice Support @Vadodara!! Apply Now!!!,Gautam Consultancy,Vadodara,0-5years,150000 - 200000 INR,"Immediate Hiring For Fresher / Experience to work in MNC's. |   |  ' No Target ' |   |  * Able to solve customer queries. |  * Banking voice Process |  * Day shifts for girls. |   |  Regards, |  Himanchi |  Call or WhatsApp on 7069081113 |  himanchikothari.gc @gmail.com (NO SPACE)",Bpo|Freshers|Graduates|VoiceProcess|CallCenter|Voicesupport|Inbound|Outbound|CustomerService|CustomerCare|CustomerSupport|BA|MA|Bcom|Bba|Bca|Bsc|Msc|Bbm|Csa|CSR|CCA|Ccr|CSE|Cce|NightShift|Uk|US|English|
