jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgently Hiring Networking Engineers  For Fresher,Career Mantra Management Services,Pune|Nagpur,0-1years,150000 - 200000 INR,We are looking for a Network Engineer who will be responsible for maintaining and administering our company's |  computer networks. |  Performing disaster recovery operations and data backups when required. |  Coordinating computer network access and use. |,NetworkEngineer|Router|CiscoCertifiedNetworkAssociate|Ccna|
Network Engineer,Career Smart Technologies,Chennai,0-1years,Not Specified,•	Installation and configuration of windows | •	Software installation and troubleshooting | •	Handling hardware issues | •	Troubleshooting of desktop and laptop and its support | •	Configuring and troubleshooting of Microsoft outlook | •	Good Communication skills required | •	2019 to 2021 batch can apply | •	Job location Chennai | Interested candidates can drop your resume to [HIDDEN TEXT] | Contact: Ms. Raji: 7824084029 / Mr. Kevin: 7824084022 |,Ccna|A+|N+|
System Administrator for Bahrain,Vinirma Consulting Private Limited,Bahrain,8-13years,Not Specified,Urgent hiring for System Administrator for Bahrain. Bachelors degree in IT or equivalent. |  Minimum 8 years of experience as System Engineer/ system admin.,Office365.|Systemadministrator|Ccna|Sscm|
System Engineer (INTERSHIP PROGRAM),Career Smart Technologies,Chennai,0-1years,Not Specified,"We are providing Internship Training for System Engineer  | Profile-Fresher(2019to2021)passed out  | Location–Maduravoyal,Chennai | No of Opening-15  | * IMMEDIATE JOINERS IS REQUIRED* | Training on: • Hardware & Networking DESIRED SKILLS: • | Hardware Installation & Troubleshooting   | Operating system windows7 or windows 10(Tools & Maintenance) | Outlook Configuration  | Network layout & IP configuration | Network Printer & Scanner | Troubleshooting all network and application issues.  | Direct Walk-in: INTERVIEW LOCATION: Career Smart Technologies  #19, Singaravelan Street, Pallavan Nagar main Road, Maduravoyal, Ch-95. | Contact Person:42088323 | Job Type:Internship  | Duration:3-5 Days | Internship fee:2999/- | Education:BE,BSC,BCA,Diploma Speak with the employer:7823943022/42088323 | Note : Certificate will be provided |",Ccna|
"Network Engineer L1, L2 & L0",Techcom Solutions India Private Limited,Gurgaon/Gurugram,2-12years,Not Specified,"Immediate hiring for Network Eng with IP Experience in Gurgaon L0, L1 & L2.",Troubleshooting|Layer3|Huawei|Routers|Switches|Ccna|Layer2|
Hiring Network Engineers- Routing and Switching - Long Term Contract- Pune OR Bangalore,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore|Pune,4-6years,Not Specified,2-8 years of experience in IT Infrastructure function. |  Technical knowledge and experience in Network – WAN/LAN/WLAN/MAN/MPLS/VPN and data communications technologies |  Knowledge and hands-on experience on IP Routing protocols |  Understanding of IPv4 & IP,NetworkEngineer|NetworkAdministrator|CiscoRouting|Ccna|Ccnp|
CCNA/CCNP Voice Process,2COMS Consulting Private Limited,Bengaluru/Bangalore,3-6years,300000 - 400000 INR,CCNA/CCNP Voice Process,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
CME -  ZTE Core Change Management,Microland Limited,Hyderabad/Secunderabad,2-7years,750000 - 850000 INR,"Hiring ZTE CS Core Change Management Engineer for Hyderabad location!!Responsible for Change management and Configuration activities in ZTE Core Domain (MSS, GCS, MGW, HSS, EIR,)· Provide Best Network Experience for both Voice and Data –· Ensure",CSCore|Coremanagement|Mss|GCS|MGW|Hss|EIR|ASR|PSR|Ccr|LUSR|changemanagement|Cme|Ccna|
Sr Administration - Network Monitoring,Provance Business Consulting Private Limited,Bengaluru/Bangalore,8-12years,Not Specified,Looking for SR Admin & SME NTWK Tools Management,Administration|ToolsManagement|Solarwinds|Ccnp|Ccna|Linux|Windows|Solaris|Tcp|NetworkMonitoring|
"L2 Network Engineer-Service Opertions, Mumbai",Cynosure Corporate Solutions,Mumbai,4-6years,Not Specified,"L2 Network Engineer-Service Opertions, Mumbai",Troubleshooting|Mpls|NetworkSupport|Routers|Switches|wirelessprotocols|Mobility|DataCenter|Ccna|Ccnp|
