jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Mainframe Developer  Mainframe Programmer  Mainframe Developer IMS DB,Talent Buffet,Chennai|Pune,4-12years,Not Specified,"Immediate Opportunity for Mainframe Developer, Work From Home - Laptop Being Couriered,  4 -12 years of experience, Work Location: Chennai/Pan India",COBOL74|COBOL/400|DB/400|COBOLORPL1|CobolIIPL1|JCLAdministration|Cobol|Cobol400|Cobol400|CobolIi|DB2|Db2400|Db2DatabaseAdministration|Db2Osm|Db2Udb|JCL|JclCobol|Mainframe|Rexx|Endevor|Ims|
COBOL (Mainframe) Developer,Sunsea E Services Private Limited,Chennai|Mumbai,3-5years,520000 - 740000 INR,We are looking for COBOL programmers  who write and work  with computer programs  using COBOL,MainframeProgrammer|Cobol|SdlcLifeCycle|DB2|Linux|IbmMainframe|As400|
Mainframe specialist Lead  & Developer : -Immediate Opening with our Top MNC Client Pune/Hyderabad L,Future Focus Infotech Private Limited,Hyderabad/Secunderabad|Pune,4-14years,Not Specified,Mainframe specialist Lead  & Developer : -Immediate Opening with our Top MNC Client Pune/Hyderabad Location. |,Cobol|JCL|DB2|CICS|Vsam|
Micro Focus COBOL,BR Raysoft Global Private Limited,Pune,5-9years,Not Specified,"Experience in Microfocus COBOL, ProCOBOL, SQL, C, PERL, Korn shell",MicrofocusCOBOL/CICS/IMS/DB2/|ProCOBOL|KornShell|SunEnterpriseM3000/Solaris10|Microfocus-ClerityUniKixBPE|Sql|C|PERL|
Immediate C2H Opening MAINFRAME at Chennai/Pune. EXPERIENCE : 3+ YEARS Notice period : Max 20 days,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Chennai|Pune,3-8years,Not Specified,|  Immediate C2H Opening MAINFRAME at Chennai/Pune. |  EXPERIENCE : 3+ YEARS |  Notice period : Max 20 days,Mainframe|Cobol|JCL|CICS|Vsam|
Mainframe Developer,BR Raysoft Global Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,Opportunity with leading E-commerce domain project.,MainframeDeveloper|Mainframe|Cobol|Cobol|JCL|Vsam|CICS|DB2|
IMS DB,Omnino Solutions Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,•	5-8 years of strong hands on experience in Mainframe technology,ImsDb|Pl1|Cobol|CICS|DB2|JCL|Itil|Sdlc|
Immediate C2H opening for MANFRAME EXPERTISE at  Bangalore. EXPERIENCE : 5+ YEARS Np:20 Days,BR Raysoft Global Private Limited,Bengaluru/Bangalore,5-15years,Not Specified,"Immediate C2H opening for MANFRAME EXPERTISE at  Bangalore. |  EXPERIENCE : 5+ YEARS |  Notice period : Max 20 days |  Mandatory skills: |  Mainframe, Cobol, CICS, DB2, IMSDB, IMSDC is needed.  |",CICSProgrammer|MainframeDeveloper|Cobol|IMSDB|IMSDB|
Techno Functional Consultant  Techno Functional,Quess IT Staffing (Formerly known as Magna Infotech),Mumbai|MumbaiCity|NaviMumbai|Thane,3-12years,Not Specified,"• Design, build, integrate and test new changes in Life Asia/Group Asia application. • Provide solutions and design for Life Asia/Group Asia application.• Provide first level support to incidents reported •Conduct internal training",CL/400|AS/400|OS/400|As400|Cobol400|Db2400|
Mainframe with CSF Designer and Worshop_4+ Yrs _Bangalore _ MNC _ 1 Yr C2H,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore,4-14years,Not Specified,Mainframe with CSF Designer and Worshop_4+ Yrs _Bangalore _ MNC _ 1 Yr C2H,Mainframe|Csf|JCL|Cobol|
Mainframe Developer,Sellcraft Global Solutions Private Limited,Hyderabad/Secunderabad,5-7years,Not Specified,Mainframe Developer,MainframeDeveloper|DB2|CICS|Cobol|
Micro fiber cobal,Best infosystems Ltd,Pune,3-8years,Not Specified,"Experience in Microfocus COBOL, ProCOBOL, SQL, C, PERL, Korn shell |  ·         Sun Enterprise M3000 /Solaris 10     |  ·         Microfocus - Clerity UniKix BPE (Batch Processing Environment) /TPE (Transaction Processing Environment) |  ·         Oracle RD",ProCOBAL|KornShell|MicrofocusCobol|Sql|C|PERL|OracleRdbms|
Mainframe Testing,CGI Information Systems and Management Private Limited,Hyderabad/Secunderabad|Pune,3-6years,Not Specified,Urgent Opening_Mainframe Testing_3 to 6 Years_Pune_Immediate to 15 Days,MainframeTesting|MainframesTester|Cobol|
MicroFocus COBAL,Matrix Corporate Management Services Private Limited,Pune,5-10years,Not Specified,"Experience in Microfocus COBOL, ProCOBOL, SQL, C, PERL, Korn shell |  ·         Sun Enterprise M3000 /Solaris 10     |  ·         Microfocus - Clerity UniKix BPE (Batch Processing Environment) /TPE (Transaction Processing Environment) |  ·         Oracle RD",ProCOBOL|KornShell|Microfocus-ClerityUniKixBPE|MicrofocusCobol|Sql|C|PERL|
Mainframe Developer,Quess IT Staffing (Formerly known as Magna Infotech),Mumbai|Pune,3-8years,Not Specified,Urgent Opening Mainframe Developer (+3 YEARS & Location PAN INDIA) |,Cobol|Mainframe|JCL|DB2|Vsam|Mainframedeveloper|IbmMainframe|
MAINFRAME-TECHNICAL LEAD,Best infosystems Ltd,Chennai,7-10years,Not Specified,Looking for MAINFRAME-TECHNICAL LEAD,Cobol|Eztrieve|JCL|CICS|Vsam|DB2|
Minframe Developer,Jupiter Consulting,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,Required qualifications to be successful in this role	 |   |  Primary  Skills :  |  •	Mainframes |  •	Cobol |           DB2 |           JCL |   |   |,MainframeDeveloper|JCL|Cobol|DB2|
Mainframe Developer,Quess IT Staffing (Formerly known as Magna Infotech),Pune,3-6years,Not Specified,We have openings for Mainframe Developer |,Cobol|DB2|JCL|CICS|
Mainframe Developer,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore|Chennai,4-9years,Not Specified,Urgent Opening_Mainframe Developer_4 to 9 Years_Immediate to 15 Days,MainframeDeveloper|JCL|DB2|Cobol|Mainframe|IbmMainframe|
Tech Lead,Jupiter Consulting,Pune,3-10years,Not Specified,Must have 5+ years of experience on CA Gen (Coolgen),cagen|Expeditor|TechnicalLead|TechLead|Coolgen|Mainframe|Cobol|JCL|DB2|Vsam|CICS|Eztrieve|Fileaid|FileManager|Endevor|
Mainframe Developer,Encora Innovation Labs India Private Limited,Pune,4-10years,Not Specified,Hiring Mainframe Developer for MNC IT industry in Pune,DB2developer|Cobol|JCL|Mainframedeveloper|DB2|
