jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Congnos Developer_4-14 Yrs_Hyderabad,Collaborate Solutions Private Limited,Hyderabad/Secunderabad,4-14years,Not Specified,Congnos Developer_4-14 Yrs_Hyderabad,Cognosdeveloper|Cognos|Sql|sqlserver|
Business Analyst(FP&A),Techknomatic Services Private Limited,Mumbai,3-6years,Not Specified,|   |  We are currently hiring a FP&A professional preferred from pharmaceutical/medical device industry.,FinancialPlanning|financialanalysis|FP&A|cognoscontroller|hyperion|FinancialForecasting|
COGNOS Developer/ Analyst,White Horse Manpower Private Limited,Pune,1-5years,Not Specified,We at Techknomatic are looking for COGNOS Developers with experience in Database design/data modeling.,"""Cognos11DataAnalytics""|""metadatamodeling""|CognosFrameworkManager""|""CognosFMModeling""|""Cognosreporting""|""CognosAdministration""|""AgileMethodologies""|"
ACO Data Analyst,Tekishub Consulting Services Private Limited,Bengaluru/Bangalore,2-4years,200000 - 400000 INR,·         Extract weekly data for COMPANIES clients·         Make sure the data is placed in the right servers·         To Run scripts to covert the data into COMPANIES ’s data warehouse format,Sql|IbmCognos|Spotfire|Scripting|Xml|JavaScript|ShellScripting|Perl|
"SAP Oil Downstream, SAP ABAP, Cognos ,SAP hybris S,AP MM SAP OTC+SD) // HCL(C2H)/Noida/Chennai",Techknomatic Services Private Limited,Chennai|Noida,4-14years,Not Specified,"SAP Oil Downstream, SAP ABAP, Cognos ,SAP hybris S,AP MM SAP OTC+SD) // HCL(C2H)/Noida/Chennai",SAPOilDownstream|SAPOTC+SD)|SapAbap|Cognos|SapHybris|SapMm|
DB2 DATABASE ADMINISTRATOR,Shell Info Technologies Private Limited,Pune,1-5years,Not Specified,"Administer, develop, test, or demonstrate databases. Perform many related database functions across one or more teams or clients, including designing, implementing and  |   maintaining new databases, backup/recovery and configuration management.","""Databasemanagementsystems""|""Kanban/Scrummethodologies""|""DB2serveradministration""|""TroubleshootingHAissue""|""Databasepatching""|""CognosBIReporting""|"
Pentaho,Cybage Software Private Limited,Hyderabad/Secunderabad,4-11years,Not Specified,"Job Description  |  •	Keywords – Primarily Pentaho, Combined with Cognos, 2nd combination with Power BI |",Pentaho|PowerBi|Cognos|
"Senior MSBI Developer - (SSIS, SSRS, SSAS)",Procentris India Private Limited,Chennai|Delhi,4-8years,330000 - 640000 INR,we are hiring now.................,ETLDeveloper|T-sql|Ssas|Dwh|Ssrs|Xml|Sql|Database|SSIS|Etl|Informatica|DatawareHousing|OLAP|DataWarehouse|Cognos|
BI & Data Analytics,Miracle Software Systems India Private Limited,Pune,2-9years,Not Specified,2 + years of experience in Business Intelligence and Data Warehousing |,DataAnalytics.|DatoramaAnalyticsCenter|dataharmonization|PowerBi|Qa|DataWarehousing|Datawarehouse|Dwh|Dw|PowerBi|Tableau|Qlikview|Cognos|
Sr. Software Engineer/Project Lead (Cognos),Freelancer Gunjan Bhatia,Kolkata|Mumbai,3-8years,Not Specified,We are hiring Sr. Software Engineer/Project Lead with Cognos & Power BI skill set.,Cognos|PowerBi|
Looking for ETL Technical Manager _ Visakhapatnam // Miracle Software System Pvt (I) Ltd,Briskwin It Solutions Private Limited,Visakhapatnam,8-15years,Not Specified,"This is Narayana Sastry working as a lead recruiter in Miracle Software Systems,Inc. Please find the requirement as given below if are feeling comfortable send me your updated resume to [HIDDEN TEXT]./reach me @ 8121-640-660.","""Informatica""|""Datastage""|""Teradata""|""Cognos""|""datawarehouse""|""ETL""|"
Cognos TM1 Consultant,DYR Consulting,Chennai,5-8years,1300000 - 1600000 INR,"TM1 Cognos with BASH & VBA |    |   Must-Have: |   • Highly Experienced in Linux and Bash-Script |   • Advanced Knowledge of IBM Cognos TM1, including TM1 Rules, Turbo |   Integrator, TM1 Server",CognosConsultant|BashScripting|VisualBasic|REST|Powershell|
Hiring for Cognos _ Full Time _Pan India,iNova Software Services,Pune,5-8years,Not Specified,Greetings!!! |   |  We have openings with us for IBM Cognos Profile. |   |  Mode :Full Time |   |  Location:Pan india,"""cognosadmin""|IbmCognos|Cognos|informatica|Etl|Datastage|SSIS|"
SAP BO,Siera IT Services Private Limited,Delhi,4-9years,Not Specified,SAP BO Admin and Developer,BusinessObject|Teradata|SAPBOAdmin|SapBo|SapBusinessObjects|Cognos|
Datastage Developer,Best infosystems Ltd,Bengaluru/Bangalore,1-3years,Not Specified,We have an immediate requirement for 2 positions with Datastage experience.  |  Responsible for development and maintenance of ETL code using DataStage 11 and above. |  Strong in SQL scripting. |  Experience in Cognos is an advantage |  1 - 3 years of experience,ETLDeveloper|Datastage|IbmDatastage|Iis|Etl|Sql|ibminfosphere|
TM1 Lead,Golden Opportunities Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,340000 - 650000 INR,Urgent Hiring,TM1Planning|TM19|Tm1|
Power BI Developer,Best infosystems Ltd,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Urgent Requirement For POWER BI Developer@ Client Location.,PowerBi|JIRA|Sql|Agile|Python|
TABLEAU,Golden Opportunities Private Limited,Bengaluru/Bangalore,4-10years,Not Specified,Looking for TABLEAU,DataAnalysis|DataVisualization|
Assistant Manager-General Accounting/ RTR,Provizor It services Private Limited,Bengaluru/Bangalore,4-12years,Not Specified,Candidate Expectation and Job responsibility. Understanding of Accounting/Regulatory requirements in insurance firm,R2R|RTR|GeneralAccounting|GA|
Tableau - Module Lead/ Technical Lead,Labridge Consulting,Chennai,5-10years,Not Specified,Looking for Tableau - Module Lead/ Technical Lead,DataAnalysis|Sql|DataVisualization|TableauAdmin|
Assistant Manager-General Accounting/ RTR,Best infosystems Ltd,Bengaluru/Bangalore,4-12years,Not Specified,Understanding of Accounting/Regulatory requirements in insurance firm,R2R|RTR|GeneralAccounting|GeneralLedger|
