jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Client Acquisition Executive / Client Acquisition / Cold Calling,Gridh Technologies India Private Limited,Chennai,0-1years,180000 - 300000 INR,Building contacts with potential clients to creating new business opportunities |   Cold Calling to identify Prospects |   Supporting in writing new business proposals.,ClientAcquisition|Businessdevelopment|ColdCalling|LeadGeneration|
Customer Sales Representative,Coral Bling Services Private Limited,Pune,1-2years,150000 - 200000 INR,Outbound Calls  |  Domestic BPO |  Call Center |  Outbound Sales |  Tele calling |  Tele sales,VoiceProcess|CallCenter|Outbound|TelesalesCalling|VoiceCalling|TelemarketingCalling|Bpo|ColdCalling|OutboundSales|
Outbound Sales Call Center Executive for International BPOs Bangalore,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-6years,Not Specified,"Cold call and cold email leads. Attend networking events, community events and hearings to generate leads.",CallCenter|OutboundCalling|outboundsales|Telesales|Telemarketing|ColdCalling|CallCenterExecutive|
Sales Enablement Representative,Regalix India Private Limited,Hyderabad/Secunderabad,0-1years,300000 - 400000 INR,"A food delivery expert across US (Synonymous to Swiggy and Zomato in India), looking to onboard new merchants on their platform to increase market penetration. Domain experience required (But not restricted to)- Travel, Entertainment, Insurance.",SalesRepresentative|ColdCalling|
Busniness Development Executive,Equations Placements,Bengaluru/Bangalore,1-3years,220000 - 350000 INR,Hiring for Business Development Executive,ColdCalling|LeadGeneration|InsideSales|BusinessDevelopment|OutboundCalling|EngineeringSales|TeleSales|
Openings in Top International Bpo - (CALL  Lily -7506940215) Salary  / Weekend Offs,Team Ace HR LLP,Mumbai,1-8years,Not Specified,"We have openings for 30 Top Bpo's in Mumbai with daily in-house mega drives, US/UK/AUS Shifts, salary-15k-50k,Voice  process, Call Lily -7506940215 (good English required for all)",CustomerCareOfficer|Customerservice|CustomerSupport|OutboundCalling|ColdCalling|TelesalesExecutive|Bpo|
Opening for Business Development - Manpower Guarding at Mumbai .,Markelytics Solutions India Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,2-7years,Not Specified,Exp:-2+ years from security service industry |   |  Location:- Mumbai,Sales|businessdevelopment|LeadGeneration|ColdCalling|
Job opening for Operations Support Executive,Deputize Consultancy Private limited,Mumbai,1-7years,50000 - 150000 INR,Hiring for Operations Support Executive,telecall|Telecaller|Telecalling|Outbound|coldcalling|insidesales|backendsales|Sales|Marketing|
Lead generation/ Cold Calling/Cold callers/Business Development/Sales/pharma sales/Healthcare,Evenion Technologies Private Limited,Bengaluru/Bangalore,1-5years,Not Specified,Exciting job opportunity for Business development executives with experience in the healthcare sector at Markelytics Solutions. Location: Bangalore,Leadgeneration/ColdCalling/Coldcallers/BusinessDevelopment/Sales/pharmasales/healthcaresales/marketresearch|
Telesales Executive (Female),Selligence Solutions Private Limited,Ludhiana,0-4years,Not Specified,"Looking for a Female Candidate  who have good knowledge over Telesales, have experience of min 1 month.",Telesales|ColdCalling|LeadGeneration|EmailWriting|MsExcel|
MARKETING RESEARCH ANALYST,SnapHunt Pte Ltd,Bengaluru/Bangalore,1-3years,200000 - 300000 INR,Looking for Marketing Research Analyst,ColdCalling|LeadGeneration|salesBusinessdevelopment|Presales|Marketresearch|Insidesales|ItSales|
Business Development Executive,Turning Point,Delhi,2-5years,Not Specified,"This role will focus on creating sales opportunities in the SAARC region. This role will be focused on the researching client business referrals, network, and web leads; provide prospective customers/clients.",B2bSales|coldcalling|LeadGeneration|BusinessDevelopment|ItSales|
Inside Sales Executive,Turning Point,Bengaluru/Bangalore,0-3years,Not Specified,"Communicating with customers, understanding customers needs and identifying sales opportunities. Answering potential customers questions and providing additional information as required |",InsideSales|ColdCalling|CustomerService|OutboundCalling|
Junior US IT Recruiter,Dotmappers It Private Limited,Pune,1-4years,Not Specified,Looking for Junior US IT Recruiter,Sourcing|Screening|ColdCalling|InterviewScheduling|Hr|Recruiter|UsItRecruiter|
Senior US IT Recruiter,Hiring Choice Solution,Pune,5-15years,Not Specified,Looking for Junior US IT Recruiter,Sourcing|Screening|ColdCalling|InterviewScheduling|Hr|Recruiter|UsItRecruiter|
opening for 10th/12th/pass fresher Marathi Hindi calling(male & Female)can be apply,Sirisha Acharya(Proprietor Of Siri Associates),Mumbai|Pune,0-2years,Not Specified,opening for 10th/12th/pass fresher Marathi Hindi calling(male & Female)can be apply |,Jobs|Freshers|Bpo|CallCenter|VoiceProcess|Outbound|InboundCalling|OutboundSales|TelesalesCalling|ColdCalling|Ssc|Hsc|Isc|Fresher|
Join Us! We are Hiring Business Development Executive for Digital Marketing Co. Bangalore,Triple I Business Services Private Limited,Bengaluru/Bangalore,2-7years,300000 - 500000 INR,"Do you generate leads , cold call and fix appointments for International clients  |  THIS JOB IS FOR YOU",LeadGenerationSales|DigitalSales|OnlineSales|B2b|Coldcalling|InternationalSales|
URGENT HIRING HINDI CALL CENTRE,Hucon Solutions India Private Limited,Delhi|Gurgaon/Gurugram,0-3years,210000 - 330000 INR,*10th|| 12th|| GRAD.|| BOTH APPLY |   * TELECALLERS|| FIELD EXCUTIVE |   *BOTH SIDE CAB |   * NO TARGET  |   *FIXED SALARY |   *FRESHERS|| EXPERIENCES || BOTH CAN APPLY |    |   DIRECT CALL HR ROHIT :- 7209265110,Outbound|InboundCalling|OutboundSales|ColdCalling|InternationalCalling|Sms|Bpo|TelemarketingCalling|VoiceCalling|TelesalesCalling|Inbound|CallCenter|InternationalCallCenter|DomesticBPO|Fresher|CallCentre|Kpo|
Telesales Executive / Telemarketing / Telecaller / Cold Calling,Deep Technologies,Hyderabad/Secunderabad,0-4years,120000 - 180000 INR,Dial to generate lead and fix an appointment with prospects.,Telesales|CallCenter|DomesticBPO|Fresher|Outbound|ColdCalling|TelemarketingCalling|VoiceCalling|TelesalesCalling|EmailMarketing|Telesales|
Client Relationship Executive,Sky Scrapper Consulting,Delhi,0-3years,Not Specified,Job Title:- Client Relationship Executive |  Company Name:- Triple I Business Services Pvt Ltd |  Salary:- 10K to 20K+ (as per the experience) |  Experience:- Fresher |  Working Days:- Monday to Saturday |  Working Hours:- 10 am to 7 pm,BPOCalling|VoiceProcess|CallingExecutive|ColdCalling|TeleSales|OutboundCalling|CustomerSupportExecutive|Salesexecutive|
International Sales opening,Proprietor Of Ssv Hr Services,Hyderabad/Secunderabad,1-11years,Not Specified,Great opportunity with one of the top company |   |  Process- International Voice Sales |   |  Qualification - Any graduate |   |  Experience - 1years+ |   |  Joining - Immediate |   |  Work location - Hyderabad |   |,Outbound|OutboundSales|ColdCalling|InternationalCalling|Upselling|CrossSelling|Voice|InternationalVoice|
