jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Urgent hiring for Pharmacist & Lab Assistant,Incube Placements,Chennai|Hyderabad/Secunderabad,0-1years,250000 - 400000 INR,"As a Pharmacist, you will be responsible for ensuring the right and appropriate medication prescriptions. In addition, you will be responsible for different functions through collaborative drug therapy management and for providing patient care.",Goodorganizingskills|Integrityandcompassion|DegreeinPharmacy/Pharmacology|Validlicencetopracticetheprofession|
Principal Quality Engineer I or II,Continuum Managed Solutions LLP,Bhopal|Goa,8-12years,Not Specified,"Individuals who can work well in a collaborative environment and pay meticulous attention to detail, willing to get their",qualityengineering|Databaseautomation|QualityEngineer|QualityAssurance|Testing|Java|Jenkins|Github|Gitlab|
DevOps Engineer,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-8years,Not Specified,"This role is responsible to bring their experiences, best practices, and a collaborative attitude to help drive DevOps initiatives.",Devops|Python|Azure|
Quality Engineer I or II,Continuum Managed Solutions LLP,Bhopal|Goa,2-12years,Not Specified,"Individuals who can work well in a collaborative environment and pay meticulous attention to detail, willing to get their hands dirty to solve the problem are the key expectations from the role.",qualityengineering|QualityEngineer|QualityAssurance|Testing|Java|Jenkins|Github|Gitlab|
Quality Engineer I or II,Continuum Managed Solutions LLP,Bhopal|Goa,2-4years,Not Specified,"Individuals who can work well in a collaborative environment and pay meticulous attention to detail, willing to get their hands dirty to solve the problem are the key expectations from the role.",qualityengineering|QualityEngineer|QualityAssurance|Testing|Java|Jenkins|Github|Gitlab|
"UI Developer, Sr UI Developer, ReactJS Developer",GISFY PRIVATE LIMITED,Bengaluru/Bangalore|Pune,4-14years,Not Specified,The UI Developer is a collaborative team player who has willingness to learn and improve Reporting application and contributes to team’s success.,UIDeveloper|ReactJSDeveloper|ReactRedux|UiDevelopment|CSS|Javascript|HTML|react.js|Redux|SoftwareDeveloper|react.js|Redux|
Android Developer,AutoRabit Software Private Limited,Hyderabad/Secunderabad,0-3years,10000 - 690000 INR,"We are looking for optimistic and collaborative Android Developer to roll up their sleeves and join our mobile team. Ideal candidate should have Android software development skills, strong interest in all things mobile, and passion for development.",androiddeveloper|AndroidDevelopment|Android|AndroidSDK|AndroidApplicationDevelopment|AndroidApplicationDevelopment|AndroidStudio|
Salesforce Trainer,PsiBorg Technologies Private Limited,Hyderabad/Secunderabad,5-15years,10000 - 2000000 INR,We are looking for an experienced Salesforce professional to join our team. Our passionate trainer creates a collaborative and innovative on-the-job learning environment for our employees.,salesforce|salesforce.Salesforce.com|excelconnector|DataLoader|SalesforceLightning|SalesforceAdministrator|
Unity 3D Developer,Vitestork Consulting Private Limited,Delhi|Noida,1-5years,450000 - 950000 INR,"We are looking for a curious and collaborative individual to join our fast-growing augmented reality team. |   In your role as an Unity Developer, you will be able to work on exciting projects for game development, advertising, sports and film. Y",belender|GameDevelopment|Unity3d|C#|Json|Python|
Software Development Engineer- Networking company,Weone Business Solutions Private Limited,Chennai|Hyderabad/Secunderabad,5-10years,Not Specified,"|  We’re growing rapidly and looking for passionate, innovative professionals to join our team and connect the world to more. You’ll work in a collaborative and inclusive environment that values diverse perspectives and continuous learning.",C|C++|Linux|Python|SSL|Devops|
UI Developer,EC Group Datasoft Private Limited,Pune,4-10years,Not Specified,The Application Developer is a collaborative team player who has willingness to learn and improve Reporting application and contributes to team’s success.,UIDeveloper|CI/CD|react.js|React|NodeJS|Devops|HTML|Bootstrap|Javascript|Redux|Maven|
iOS developer,Freelancer - Purushottam Munjajirao Dhutraj,Bengaluru/Bangalore,4-7years,Not Specified,"an iOS developer responsible for the development and maintenance of |   applications aimed at a range of iOS devices including Iphone,IPad and Apple TV. |",ExperiencewithiOSframeworks2.ExpertinObjective-CorSwiftprogramming3.FamiliarwithApple'sdesignprinciplesandinterfaceguidelines4.Proficiencywithofflinestorage|threadingandperformancetuning5.Knowledgeableofcloudsmessage|
Full Stack Developer / Chennai / 5-12 years,Digiair Technologies And Analytics Private Limited,Chennai,5-12years,Not Specified,Looking for Full Stack Developers for a pair programming and TDD environment. Looking for candidates with short notice period only (0-15 days),FullStackDeveloper|FullStackWebDeveloper|Vue.JS|Angular|React|react.js|
Data Entry Supervisor,Hiremount Solutions Private Limited,Hyderabad/Secunderabad|Mumbai,5-15years,1780000 - 4129999 INR,"Date entry supervisors work in a variety of industries. Specific duties and responsibilities may vary, but there are several core tasks associated with the job",DataEntrySupervisor|DatabaseAdministrator|Supervisor|Technician|ElectricalSupervisor|SiteSupervisor|Incharge|DataBaseAdministration|DatabaseAdmin|ProductionSupervisor|Teamleader|
Senior ReactJS Developer,GlobespanConsultants,Chennai|Kolkata,2-5years,250000 - 600000 INR,We are looking for a good JavaScript developer who is proficient with React.js.,react.js|jQuery|Html5|Css3|Node.js|
AWS Full Stack Developer,Apar Peopleworld Software Services Private Limited,Remote,4-10years,Not Specified,AWS LEX l AWS Skills Training l AWS Certifications l S3 l rest integration l  CI/CD pipelines l WAF l Cloudfront l Angular l JSON l Lambda l Lex l Cognito l Dynamo DB l QuickSight,AWSLEXlAWSSkillsTraininglAWSCertificationslS3lrestintegrationlCI/CDpipelineslWAFlCloudfrontlAngularlJSONlLambdalLexlCognitolDynamoDBlQuickSight|
Senior/Lead Data Engineer/Data Architect-Bangalore-Remote-Fulltime-Preferred-Quick/Short Notice(30d),Briq,Bengaluru/Bangalore,4-14years,Not Specified,". Data engineer with strong programming experience in Python |   . Extensive experience related to processing frameworks such as Spark, Spark Streaming, Airflow, Hive, Sqoop, Kafka etc. |   . Experience with big data processing within cloud AWS S3. |    |",Scala/Spark/AWSCloud/Kafka/S3DataLake/Airflow/Oracle/MySQL|
Manager- Credit Model Development (J),Neo Sense Vector Technology Private Limited,Hyderabad/Secunderabad,5-8years,Not Specified,"This is a great opportunity for a modeler/statistician/data analyst/programmer with experience  |   in consumer credit analysis. We offer a dynamic, collaborative team environment with a strong  |   credit risk management culture.","""ModelDevelopment""|""SAS""|""Python""|""""CCAR""|""Stresstesting""|""Lossforecasting""|""Basel""|""predictivemodelling""|""|"
Solution Architect/ Project Manager,Cynosure Corporate Solutions,Pune,12-22years,Not Specified,Solution Architect/ Project Manager,Salesforce|SFDC|
Full Stack Developer,Imarticus Learning Private Limited,Remote,0-5years,Not Specified,Looking for some one who has experience with Full stack development - Back end - Python and Front end - React.js or Vue.JS. Freshers are welcome to apply given you have done side projects and have understanding of Python and react/vue,vue.JS|Python|react.js|
Senior Anuglar Developer,Deputize Consultancy Private limited,Ahmedabad,4-8years,Not Specified,"•	Must understand web development technologies like HTML5, CSS, JS |  •	At least 5 years of front-end development experience and at least 4+ years of work experience in Angular Development. |  •	Strong knowledge in object-oriented principles and front-end",Angular|Angularjs|
Junior Software Engineer,Continuum Managed Solutions LLP,Chennai,0-1years,150000 - 200000 INR,"Job Description: |   |  We are looking for software engineers to be an integral part of a talented, collaborative development  |  team building cloud and Server based solutions",.NetDeveloper|C#|UNIX|Linux|Mysql|AwsCloud|Oracle|PostgreSQL|
