jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Payment Collection Executive,Lakshya,Mohali|Chandigarh,1-3years,180000 - 280000 INR,We urgently require Payment Collection Executive. Experience and fresher both can apply.,PaymentFollowup|CollectionExecutive|CollectionsAndRecovery|CollectionAccounting|
Subject Matter Expert - Escalation Management,Qdegrees Services Private Limited,Thane,3-6years,Not Specified,Job Requirements: |  •	Customer support experience from Banking/Collections domain |  •	Minimum 3 years of experience |  •	Graduation is a must |  •	Good verbal and written communication skills |,CustomerSupport|CustomerService|EscalationManagement|
COLLECTION EXECUTIVE || Bangalore,2COMS Consulting Private Limited,Bengaluru/Bangalore,1-3years,100000 - 300000 INR,We are looking for proactive executives for the outbound collection process. Incumbent will be responsible for calling prospective clients and enquiring about their payment.  *  * Job Title: Collection Executive  *  Handle Insurance collectio,
Telecaller - COLLECTION,i Brisk Consultancy Services,Chennai,0-4years,Not Specified,We are recruiting candidates for Telecalling - collection process (Recovery and Bucket),Telecalling|DebtRecovery|DebtCollection|DebtRecoveryAgent|CollectionsAndRecovery|CollectionExecutive|
Claim Advisor @ Faridabad,ABP Empower,Faridabad,1-6years,200000 - 220000 INR,"Urgent opening for Claim Advisor in Health Insurance for Insurance Claim Investigation Company @ Faridabad |    |   Experience - 1 Year Experience in Any Field work |    |   Salary - 15,000 to 18,000 per month + Incentives + 6000 Travel Allowances & Stationery","""claimadvisor""|Collection|Sales|Marketing|Field|""fieldwork""|Agent|Advisor|Verification|"
Credit and Collection  Analyst ||Hyderabad,Monster.com - India,Hyderabad/Secunderabad,2-6years,Not Specified,"We are looking for a candidate, who will be responsible  for handling Account Receivable Ledger.","""creditrisk""|""collection""|""accountreceivables""|""creditanalyst""|"
Telecaller,i Brisk Consultancy Services,Chennai,0-5years,Not Specified,"Telecaller - Collection process. | we are recruiting candidates for telecalling collection process for banking sector.                                                            | Responsibilities: | Candidates should have a good communication. | Should have basic knowledge of Word and Excel in MS office. | Candidates should follow guide of the team leader. | Language: Tamil, English (other language known also preferred) |",Telecaller|CollectionProcess|CollectionExecutive|DebtRecoveryAgent|Recovery|BankingAndFinance|Telecalling|
Wanted Freshers in SuryaYodaBank for  Relationship officer,Alligoric Management Solutions,Coimbatore|Erode,Fresher,Not Specified,Elig: any  degree holder |   age below 26 yrs only  |   location erode,RelationshipOfficer|SalesOfficer|Executive|
Warehouse executive job fresher/packing job/TORE KEEPER / MANUFACTURING / LOGISTIC / HELPER,CosyTech,Pune,0-2years,Not Specified,Warehouse executive job fresher,PackingMaterial|StoreKeeper|StoreExecutive|StoreSupervisor|StoreAssistant|
Collection Executive Openings in South Kerala,CosyTech,Kottayam|Thiruvananthapuram/Trivandrum,1-6years,240000 - 270000 INR,"We are looking for candidate those who have experience in Field Collections of Financial Products of Personnel Loans , LAP , Housing Loan , Credit Card , Business Loans . Micro Finance Loans",CollectionOfficer|CollectionExecutive|CollectionsAndRecovery|CollectionOfHomeLoans|
