jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software Development Engineer - Android Development 7-10yrs exp,Sharp Point HR Consulting,Bengaluru/Bangalore|Hyderabad/Secunderabad,7-10years,1050000 - 1650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Lead manager  - continuous integration delivery - Noida,Continuum Managed Solutions LLP,Noida,11-15years,Not Specified,Position - Software Team Manager |   |  Location - Noida    |   |  Notice Period  preferably early joiners |  Experience  12-13 Years,Kanban|Devops|Matlab|C#|.NET|VisualStudio|Git|Jira|Confluence|Jenkins|Teamcity|Scrum|
SQA Engineer SFDC,TalentFirst HR Consulting Private Limited,Hyderabad/Secunderabad,5-8years,Not Specified,|  The SQA Group at company needs Software QA Test Automation Engineer for the SFDC SQA group to help create and test enterprise system solutions that drive better business processes.,SQAAutomation|cd|Provartool|testautomation|ContinuousIntegration|Ci|ContinuousDelivery|Cucumber|Selenium|IntegrationTesting|python|
Junior Ruby on Rails Developer - ID 2021-24609,Klaus It Solutions Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,|   |  We are looking for candidates with proven exposure into Ruby on Rails.,"""ContinuousIntegration""|""reactjs""|RubyOnRails|Ruby|Sql|html|css|Git|Maven|Angular|"
Software Development Engineer - Android Development,Objectwin Technology India Private Limited,Chennai|Mumbai,0-5years,380000 - 650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Junior Ruby on Rails Developer,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Hyderabad/Secunderabad,3-7years,Not Specified,We are looking for candidates with proven exposure into Ruby on Rails.,"""ContinuousIntegration""|""reactjs""|RubyOnRails|Ruby|Sql|html|css|Git|Maven|Angular|"
Principal Engineer (GoLang) - I & II,Innointel LLC,Bhopal|Goa,8-12years,Not Specified,"8+yrs hands-on product development experience, preferably with SaaS products.",Openstacktechnologies|SeniorSoftwareEngineer|Java|Golang|Cassandra|PostGreSQL|Hadoop|RestfulServices|Microservices|ContinuousIntegration|Golang|WebServices|WebApi|REST|ResponsiveWebDesign|
Software Development Engineer - Android Development,Quess IT Staffing (Formerly known as Magna Infotech),Bengaluru/Bangalore|Hyderabad/Secunderabad,0-5years,350000 - 650000 INR,We are hiring for a geeky Programmer As a developer,Hardwarenetworkingithardwarewebdeveloper|scratch|Developer|ContinuousDeliveryProgramming|SoftwareDeveloper|SoftwareEngineer|Softwareprogrammer|Programmer|Coding|ContinuousIntegration|Kotlin|
Scrum Master,Secutech Automation India Pvt Ltd,Hyderabad/Secunderabad,9-15years,Not Specified,"10+ years in IT development with 4 years in Agile Scrum & Kanban experience as Scrum Master. |   Exposure to Agile / TDD / BDD based development o Exposure to CI, Code practices deployment & Release management |   Organizational skills with ability to be fle",Kanban|Scrum|agile|Bdd|Tdd|Atdd|Ci|ContinuousIntegration|.NET|Etl|
Embedded Software Developer,PurpleHirez,Pune,6-10years,Not Specified,You will play a key role in straddling both software and hardware and primarily work to develop and implement software for our Sleepiz hardware products.,multi-thread|multi-processing|CI/CD|multi-threading|ContinuousIntegration|ContinuousDeployment|linux|Yocto|DeviceDrivers|python|ObjectOrientedProgramming|Ooad|UnitTesting|Kernel|Git|
Devops Engineer,Accrualify India Private Limited,Bengaluru/Bangalore,3-8years,Not Specified,"devops: Continuous Integration and Continuous Depoloyment |  Hands on experience in creating and testing pipelines on either of Microsoft Azure, AWS or GCP platforms |   |  ·  Hands on experience to automate the flows with various tools like shell scripts",devops:ContinuousIntegrationandContinuousDepoloymentHandsonexperienceincreatingandtestingpipelinesoneitherofMicrosoftAzure|AWSorGCPplatforms·Handsonexperiencetoautomatetheflowswithvarioustoolslikeshellscripts|
.net with react,Early World HR Solutions,Pune,5-10years,Not Specified,".net+ react |  Detailed job description - Skill Set:	•         Experience with software engineering best-practices such as build automation, continuous integration, DevOps, VSTS. |  •         The candidate will build prototypes for recommended solutions. |  •",Experiencewithsoftwareengineeringbest-practicessuchasbuildautomation|ContinuousIntegration|Devops|Vsts|
Tester,Best infosystems Ltd,Bengaluru/Bangalore,3-5years,300000 - 800000 INR,Hiring for Manual Testers in Bangalore,qc-alm|ManualTesting|AutomationTesting|JIRA|Testng|Selenium|Java|ContinuousIntegration|
