jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Corporate Sales Manager,Q Visas Immigration,Canada,2-7years,4010000 - 5000000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business, business development, project management",AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|CorporateSalesManager|SalesManager|SalesDevelopmentManager|
Corporate Strategy,2COMS Consulting Private Limited,Gurgaon/Gurugram,6-10years,Not Specified,Key Responsibilities· Undertake research on emerging themes/areas and develop points of views for using in internal and external forums.· Conduct competitive intelligence assessments to gauge the moves by other players in the industry.· Gather,
Corporate Sales,Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Bengaluru/Bangalore|Chennai,Fresher,Not Specified,|                                  |,
Corporate Sales Supervisor,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,Urgent requirement for Sales supervisor for gurgaon location,InternationalSales|B2bSales|
Manager Corporate Finance,Bright IT Global Solutions Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,4-7years,Not Specified,CA having experience of 5 to 7years post qualification.,GeneralLedger|INDAS|IFRS|
Corporate Sales Executive,Hucon Solutions India Private Limited,Gurgaon/Gurugram,2-5years,Not Specified,Urgent requirement for Sales executive for gurgaon location,B2bSales|
Corporate Trainer,Globalfoundries Engineering Private Limited,Bengaluru/Bangalore,2-5years,Not Specified,"Help develop, coordinate and deliver world class On-boarding and Ongoing training to employees across its global locations.",Trainers|CorporateTrainer|Trainer|TrainingManager|SalesTrainer|TechnicalTrainer|ProcessTrainer|
Principle Engineer - Corporate Applications Engineering,Career Development Management,Bengaluru/Bangalore,3-6years,Not Specified,"Experience with industry standard RFIC design checking and parasitic extraction tools such as Cadence, Mentor and Synopsys DRC, LVS and PEX, and/or silicon technology process development is required.",FieldApplicationsengineer|corporateapplicationsengineer|MentorGraphics|CadenceVirtuoso|EDATools|silicon|RFcircuit|Cadence|Mentor|SynopsysDRC|LVS|PEX|silicon|
Back Office Assistant || Corporate Selection ( Corporate Bank ) || Document Collection Dept.,Roundworld Immigration Private Limited,Hooghly|Bankura,Fresher,Not Specified,Back Office Assistant || Corporate Selection ( Corporate Bank ) || Document Collection Dept. |  Male Or Female Both Can Apply For This Selection,BasicComputerKnowledge|
Corporate Sales Manager,Quess Corp Limited,Canada,2-7years,Not Specified,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business",BusinessDevelopmentManager|UnitManager|CorporateSales|Corporatemarketing|Institutionalsales|SalesManager|SalesDevelopmentManager|
