jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Corporate Sales Manager,Q Visas Immigration,Canada,2-7years,4010000 - 5000000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business, business development, project management",AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|CorporateSalesManager|SalesManager|SalesDevelopmentManager|
Corporate Sales,Vishal Sushil Bhuta (Proprietor of Beat The Virus Startup),Bengaluru/Bangalore|Chennai,Fresher,Not Specified,|                                  |,
Corporate Sales Supervisor,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,5-10years,Not Specified,Urgent requirement for Sales supervisor for gurgaon location,InternationalSales|B2bSales|
Regional Sales Manager,Izee Manpower Consultancy Private Limited,Bengaluru/Bangalore|Mumbai,7-12years,Not Specified,•A strong On boarding and Sales Training Curriculum that will set you and your Account Executives up for success; on-going training facilitated by Sales En-ablement to ensure you and your team have the tools and knowledge to achieve and exceed quota,RegionalSales|ItSales|SoftwareSales|
Corporate Sales Executive,Bright IT Global Solutions Private Limited,Gurgaon/Gurugram,2-5years,Not Specified,Urgent requirement for Sales executive for gurgaon location,B2bSales|
Corporate Sales Manager Required Under PR Visa,Adal Immigrations LLP,Australia|Canada,2-7years,2000000 - 5000000 INR,Responsible for increasing corporate share of business by offering entire range of products to clients.,CorporateSalesManagement|ClientAcquisition|Businessdevelopment|Relationshipmanager|CorporateSale|
Corporate Sales Managers - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,9-14years,1600000 - 3000000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales. They are employed by commercial.",CorporateSalesManager|Retail|Commercialsalesoperations|StrategicPlanning|Marketing|
Corporate Sales Managers - Canada,A V Immigration And Careers Consultancy Private Limited,Canada,3-8years,1600000 - 3000000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales. They are employed by commercial.",CorporateSalesManager|Retail|Commercialsalesoperations|StrategicPlanning|Marketing|
Corporate Sales Manager,Roundworld Immigration Private Limited,Canada,2-7years,Not Specified,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business",BusinessDevelopmentManager|UnitManager|CorporateSales|Corporatemarketing|Institutionalsales|SalesManager|SalesDevelopmentManager|
Corporate Sales Manager Required For CANADA & AUSTRALIA,Pear Visa Immigration Services Private Limited,Australia|Canada,2-7years,1510000 - 4550000 INR,"Corporate sales managers plan, organise, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales.",AreaManager|Sales&Marketing|corporatesales|businessdevelopmentmanagement|retailssales|SalesCoordination|projectsalesmanager|MarketingManager|MarketingCoordinator|wholesales|SalesManagement|SalesDevelopmentManager|salesexecutive|
Corporate sales managers Req in Canada & Australia,I2canz Outsourcing Private Limited,Australia|Canada,2-8years,3540000 - 4530000 INR,"Corporate sales managers plan, organize, direct, control and evaluate the activities of establishments and departments involved in commercial, industrial, institutional, e-business and wholesale and retail sales.",CorporateSalesManager|AssistantSalesManager|MarketingManager|BusinessDevelopmentManager|UnitManager|AgencyManager|SalesManager|SalesDevelopmentManager|
Assistant Manager - Sales/Deputy Manager- Sales (Corporate Sales) |Chennai,Monster.com - India,Chennai,1-7years,Not Specified,"We are looking for candidate who shall be responsible for Acquisition of new business, growing potential accounts from existing value to it’s potential and to turnaround existing accounts to it’s full potential.","""corporateSales""|""b2bsales""|""conceptselling""|""businesstoBusiness""|""keyaccounts'|""majoraccounts""|"
Senior Executive - Sales/ Assistant Manager- Sales ||Corporate Sales/B2B Sales| Bangalore,Monster.com - India,Bengaluru/Bangalore,1-8years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,SeniorExecutive-Sales|AssistantManager-Sales|CorporateSales|B2bSales|ClientRetention|Acquistion|Businessdevelopment|RevenueGeneration|Reportsgeneration|
Hiring for Sales in Top Banks in Kolhapur with Lead Support,Skycruze Services,Kolhapur,1-6years,200000 - 350000 INR,Looking for Sales Executives and Sales Manager |   End to End Sales profile |   Leads support |   Job location all over Kolhapur |   No door to door sales |   Corporate Sales  |    |   For more details share resume on [HIDDEN TEXT] or Apply |    |,Sales|Marketing|bfsisales|Banking|Bank|B2C|B2b|businessdevelopment|Lic|lifeinsurance|financialproduct|AgencyManager|Advisors|BankingSales|FieldSales|relationshipmanager|Rm|BD|DirectSales|corporatesales|salesexecutive|SalesManager|Srm|
Senior Executive - Sales/ Assistant Manager- Sales ||Corporate Sales/B2B Sales| Mumbai,Monster.com - India,Mumbai,1-8years,Not Specified,Reporting to the Sales Manager/Branch Manager the incumbent will be responsible for acquisition of new business and sales management for the assigned territory / accounts. The job involves planning and execution of sales plans,SeniorExecutive-Sales|AssistantManager-Sales|CorporateSales|B2bSales|ClientRetention|Acquistion|Businessdevelopment|RevenueGeneration|Reportsgeneration|
Corporate Sales Manager / business development / sales officer / Marketing Manager / Marketing head,WVP Services Private Limited,Canada,3-8years,6000000 - 8000000 INR,Hiring for Corporate Sales Manager in Canada. To know your eligibility Call +91- 9582004150 (WhatsApp available),CorporateSales|Retailing|CommercialOperations|StrategicPlanning|Marketing|SalesAndMarketingManager|BusinessDevelopment|Sales|Selling|Relationshipmanager|DirectSales|
Hiring for Sales Profile in Goa/Panjim with Lead Support,Skycruze Services,Goa|Panjim/Panaji,1-6years,200000 - 350000 INR,Looking for Sales Executives and Sales Manager |    End to End Sales profile |    Leads support |    Job location Goa/Panjim |    No door to door sales |    Corporate Sales  |     |    For more details share resume on [HIDDEN TEXT] or Apply |     |,Sales|Marketing|bfsisales|Banking|Bank|B2C|B2b|businessdevelopment|Lic|lifeinsurance|financialproduct|AgencyManager|Advisors|BankingSales|FieldSales|relationshipmanager|Rm|BD|DirectSales|corporatesales|salesexecutive|SalesManager|Srm|
