jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Bpo Call Centre,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,160000 - 400000 INR,Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
Call Center Bpo,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,140000 - 400000 INR,•         Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
Medical billing process Bpo,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-4years,140000 - 400000 INR,Spot offer Medical billing process Bpo Call Ruby@9342431049,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
UK-Shift BPO/ Call Center Customer Support/ Technical Support 9972020050,White Horse Manpower Private Limited,Bengaluru/Bangalore,0-8years,150000 - 600000 INR,"Technical SupportGood Communication Skills, Presentation Skills, Interpersonal Skills·         Excellent Soft Skills·         Hardware/ networking/ Laptop/ desktop/ OS/ VPO/ Blackberry /or System, Product, Process Knowledge",CustomerService|CustomerServiceExecutive|CustomerSupport|CustomerSupportExecutive|csr|Cso|TSR|TechnicalSupportExecutive|
Customer Care Voice process Bpo Call Sufi@9342431049,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-3years,150000 - 350000 INR,Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•         Prio,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
UK Process -  Bpo,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,160000 - 360000 INR,SPOT OFFERS for UK Process  Bpo CAll Sufi@9342431049,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
Fresher’s Walk-in for Free Recruitment Get a BPO/ Call Centre CAll Anitha@9342431048,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-4years,160000 - 360000 INR,Candidate should possess excellent oral and written communication skillsCandidate with good customer service skills would be preferredCandidate should have 0-5 year of experience in Customer Support Voice Process. Prior experience in Customer Serv,"CustomerService|Customerserviceexecutive|CustomerSupport|customersupportexecutive|""csr""|cso|tsr|scsr|stsr|tso|technicalsupportexecutive|seniorcustomersuppor|"
Business Banking Executive,Jobsnta,Chennai,3-5years,300000 - 400000 INR,"Sourcing High Value CASA customer’s. |  Generation of revenues through sale of CA, X-Sell and Third Party Products like Insurance. |  Penetration of Business Banking products like CMS/POS/Beat services to CA customer. |",SalesOfficer|Bdm|Relationshipmanager|Sales|Insurance|Banking|Cso|CSE|
USE YOUR SKILLS AT ORGANISATION THAT VALUES IT!! RECRUITING FRESHERS @VADODARA ~ TOP MNC BPO FIRM!!!,Gautam Consultancy,Vadodara,0-2years,150000 - 200000 INR,"' No Target No Pressure ' |   |  * Able to solve customer query - via calls |  * Banking Voice Process |  * Graduates in any Specialization, compulsory |   |  Regards, |  Himanchi |  Call or whatsapp on : 7069081113 |  himanchikothari.gc @gmail.com (NO SPACE)",Bpo|Graduate|Freshers|CallCentre|Ites|Backend|VoiceProcess|Inbound|CustomerSupport|Voicesupport|Outbound|CustomerCare|ColdCalling|CustomerService|BankingSupport|Csa|Cce|CSR|Cso|CSE|CCA|Ccr|Cso|NightShift|Uk|US|Kpo|ProcessAssociate|
Voice Process / Technical Process/ Chat Process Call @ 9582538811,Wsne Consulting Private Limited,Gurgaon/Gurugram,0-5years,Not Specified,FRESHERS/EXPERIENCE/GRADUATE/UG |  Salary - 15K upto 27500 inhand |  Incentive upto 15K |  Location - Gurgaon |  Excellent Comms Required,TSE|CSE|CustomerSupport|CCA|Customercare|Cso|Csa|CSR|CRE|TechnicalSupportExecutive|TechnicalSupportRepresentative|Technicalsupport|
