jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
UI Designer Nungambakkam chennai immediate 3 Nos,Exsellant Services,Chennai|Pondicherry,2-5years,Not Specified,"Roles & Responsibilities & Desired Candidate Profile: |    |   The Front-End Developer will be responsible to translate the UI/UX design wireframes and mock-ups to code that will produce functioning, visual elements of the application. |",Javascript+JSON+jQuery|Bootstrap3or4|ECMAscript|Xml|Css3|ReactJs|Html5|
Angular developer / Angular Development,PurpleHirez,Hyderabad/Secunderabad,3-8years,Not Specified,Strong in javascript2+. |,AngularDeveloper|angulardevelopment|Javascript|Html5|Css3|Eclipse|Jquery|
Senior C#.net Developer,10 InfoTech,Chennai|Madurai,5-10years,600000 - 1200000 INR,"Full-time C#.NET Programmer. |  Expertise in ASP.net Core, MVC, MVC Core, HTML 5, CSS 3, JS, Angular JS or ReactJS, RestAPI. |  Good knowledge in Web Technologies. |  Long term project with minimum requirement of 3 years.",ASP.netCore|MVCCore|AngularJSorReactJS|Mvc|Html5|Css3|Restapi|
UI Developer,Innointel LLC,Bengaluru/Bangalore,3-7years,Not Specified,"Lead/Develop the UI Development who can visualize and design the Web UI using |  appropriate UI Tools. |  Develop overall concepts for improving the user experience within the product, ensuring all |  interactions are intuitive and convenient for users",UIFramework|HTLM5|JasmineandSelenium|Angular2|React|Css3|Javascript|Typescript|Karma|Nodejs|Npm|Github|
Php developer,Axxonet System Technologies Private Limited,Bengaluru/Bangalore,1-2years,Not Specified,"For writing server-side web application logic.PHP developers usually develop back-end components, connect the application with the other(often third-party)web services, and support the front-end developers by integrating their work with Applications",PHPixie|Slim|FluePHP.|Php|CodeIgniter|Html5|Css3|jQuery|AJAX|Javascript|MySql|Drupal|Laravel|Symfony|Zend|Phalcon|CakePHP|Yii|
Php developer,Axs Solutions And Consulting Private Limited,Mumbai|MumbaiCity|NaviMumbai|Thane,2-6years,350000 - 650000 INR,Looking for a Php developer/ Code igniter Developer with Minimum 2 years experience with front end back end work experience.,Phpdeveloper/Codeigniter/Codeigniter/Code-igniter/Laravel/HTML5/CSS3/Bootstrap/AJAX/jQuery|
"WordPress Developer / Web Developer | 1-3 Years Exp | 2-3 LPA | HTML,CSS,Java Script",Disha Recruitment Services,Bengaluru/Bangalore,1-3years,240000 - 300000 INR,"- Excellent in Wordpress, all aspects |  - Proficient in HTML, Css and JavaScript |  - Experience in Staging Environment & Production Environment",WebDeveloper|WebProgrammer|FrontEndDeveloper|Wordpress|WordpressDeveloper|HTML|CSS|Javascript|WebDesigner|
AEM developer,V2Soft Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,Looking for AEM developer.,webcontentmanagementsystem|Aem|AdobeAem|Html5|Css3|Javascript|AJAX|RESTful|WebServices|
Business Systems Analyst - .Net,Saburi Consulting Services Pte. Ltd.,Pune,4-7years,Not Specified,"The Business System Analyst is responsible to gather, analyze and formalize user’s business requirements and processes, evaluate on feasibility of implementation and manage scope of project.",.NETFramework|ASP.Net4.0|JavaScriptAJAX|C#.net|Wcf|MVC5|EntityFramework|Linq|Html5|Css3|
Java Developer,Renovision Automation Services Private Limited,Delhi,2-6years,Not Specified,"1.	Good knowledge and Hands-on experience in core Java, J2EE, Spring framework, Hibernate |  2.	Experience with web technologies including Angular JS,HTML 5,XHTML,CSS, |  3.	Good working knowledge of GIT and Maven |  4.	Clear on Java OOPs concepts, Exceptions",1.GoodknowledgeandHands-onexperienceincoreJava|Hibernate2.ExperiencewithwebtechnologiesincludingAngularJS|3.GoodworkingknowledgeofGITandMaven4.ClearonJavaOOPsconcepts|J2EE|SpringFramework|Html5|XHTML|CSS|Exceptions|
"Sr. PHP Developers-Ludhiana (5-8 yr in Codeigniter 3.0 & RDBM, jQuery, Boot Strap,laravel,MVC,CSS)",P & I Management Consultants,Ludhiana,5-8years,660000 - 1200000 INR,"Back-end PHP Development-all Server-side logic,definition,Mtc of Central Database,Codeigniter & RDBM, jQuery, Boot Strap,OOPS,Laravel,MVC concept. integrate front end elements into App.,HTML,CSS.Expertise in front-end  technologies is MUST. 6-10 LPA",PHPdevelpor|Codeigniter3.0|RDBM|MVCconcept|Front-endTechnologies|jQuery|BootStrap|Oops|HtmlCoding|CSS|PhpTeamLeader|
SENIOR SOFTWARE ENGINEER - DOT NET CORE - TRIVANDRUM CALL 8286161793,Jobsnta,Thiruvananthapuram/Trivandrum,2-6years,Not Specified,"1.ASP.NET Core 3.1 or higher NET Framework |  2. Entity Framework Core C#, XML/XSD MVC, RESTful Web API HTML, JavaScript, jQuery, CSS, SQL  |  3.Unit Testing & Mocks Dependency Injection Concept Design Pattern |   |",.NETCore|ASP.NETCore3.1|XML/XSD|NetFramework|C#|HTML|Javascript|jQuery|CSS|SQLServer|
open Req,Klaus It Solutions Private Limited,Bengaluru/Bangalore|Pune,4-12years,Not Specified,"Hi, |  Greeting from Klaus IT Solutions Pvt Ltd, |   |  we have Immediate below opening, once you're profile is matching, kindly share me updated profile to [HIDDEN TEXT] or call to 8970351242. |   |  NP: Immediate/30 Days |   |   |  1.	.net developer with Azure(Ful |",netdeveloperwithAzure(Fullstack):HTML|Angular2.TestAutomationwithSelenium.net3..netwithReactJSdeveloper|CSS|
Php developer,Career Marshal Talent Solutions LLP,Delhi,2-4years,240000 - 360000 INR,Experience        -  2/3 Years |    Salary                -   25/30 pm. |    Location             -  New Delhi( At present WFH),1)HTML2).CSS(responsivedesignframework)3).JavaScript/jQuery4).ExperienceofimplementinganddebuggingofXML/JSONandusing3rdpartyAPIs|
.net full stack developer,Inspiration Manpower Consultancy Private Limited,Bengaluru/Bangalore|Chennai,3-7years,Not Specified,"Immediate openings for asp.net full stack developer, contact Vidya 7259027274","""angular""|""asp.net""|""azure""|"".netcore""|C#|Html5|Css3|Bootstrap|"
Technical Architect,Tech Mahindra Limited,Gurgaon/Gurugram,10-15years,Not Specified,"10+ plus years of experience in defining solution architecture for large enterprise applications using Java/J2EE, SOA Webservices (SOAP and REST), ESBs, Open Source products, and strong working knowledge of SOA, SOAP, WSDL, Service Orchestration",SOAWebservices|SpringMVVC|TechnicalArchitect|TechnicalArchitecture|Java|J2EE|Soap|Rest|Html5|Css3|jQuery|Webservices|
"hiring for .net core,angular",Axness Technologies Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-8years,Not Specified,"greetings from axness technologies pvt ltd |  job tittle: .net,angular |  experience: 3 to 8 years |  Job Location:hyderabad,bangalore,noida |  If you are interested in exploring this opportunity, kindly respond with your Latest resume at |  hemalakshmi@axnesstech.",1.Technology:.NetC#|.NetCore|Angular8+withunittesting|KendoUI2.Excellenttroubleshootingandcommunicationskills3.Goodtohave–Git|WebApi|ORACLE|HTML|CSS|EntityFramework|Cicd|AwsCloud|
.Net Angular Developer,A&S Software Technologies,Chennai,3-5years,Not Specified,3 to 5 years of experience in Microsoft technologies.,.NetCore|.NET|Dotnet|DotNet|Asp.Net|C#.net|VB.Net|Javascript|Bootstrap|JQuery|Ajax|Html5|Css3|Nodejs|
.NET Full stack developer,Axxonet System Technologies Private Limited,Pune|Nagpur,3-9years,Not Specified,Looking for NET Full stack developer,.NETFullstackdeveloper|FullStackDeveloper|.NET|C#|.NET|WebApi|Angular|Javascript|jQuery|Css3|Bootstrap|Html5|
PHP Front End Developer,Web Aspire,Bengaluru/Bangalore,0-1years,Not Specified,Develop new user-facing features |  Build reusable code and libraries for future use |  Ensure the technical feasibility of UI/UX designs |  Ensure cross browser support |  Optimize application for maximum speed and scalability |  Assure that all user input is vali,PHPixie|Slim|FluePHP.|Php|CodeIgniter|Html5|Css3|jQuery|AJAX|Javascript|MySql|Drupal|Laravel|Symfony|Zend|Phalcon|CakePHP|Yii|
Urgent Requirement for MVC dot net Developer,Millennium Ims Private Limited,Kolkata,2-5years,220000 - 530000 INR,"Design, development & support with ASP.NET, C#, MVC , VB.Net, Web API /Rest API & SQL Server. Experience in: |      - Object oriented design & development, design patterns. |      - Good working experience in Databases, writing SQL queries, procedures & function.K",DotNetProgrammer|BootstrapPerksandBenefitsProjectRelatedIncentives|ReimbursementsRoleSoftwareDeveloperIndustryTypeIT-Software|SoftwareProgramme|DotNetTechnologies|ASP.Net|Mvc5|JQuery|Javascript|C#|Html5|MsSqlServer|WebApi|Css3|
Dot Net – Technical Consultant,SwissTech Unicorn Corp LLP,Bengaluru/Bangalore|OtherIndia,8-18years,Not Specified,Must have Skills |    •	Dot Net |    •	MVC |    •	Java Script |    •	Web API integration  |    •	API call |    •	Ajax |,.NET|C#|Asp.Net|Mvc|HTML|Javascript|CSS|
HTML CSS,Disha Recruitment Services,Vadodara,1-6years,180000 - 470000 INR,We are looking for an experienced HTML / CSS Developer to join our team at SwissTech Unicorn.,Html5|CSS|
ReactJS Full Stack Developer | 4-6 LPA | 3+ Years,Elite Corporate Solutions Private Limited,Bengaluru/Bangalore|Chennai,3-7years,400000 - 600000 INR,"Key Skills 3+ Years : ReactJS, PHP / CSS, MySQL, MangoDB, SQL Server,Java/ React.js / PHP / CSS / .Net, MySQL, MongoDB, SQL Server |    Server-side Programming : Java/ React.js / PHP / CSS / .Net |    DBMS Technology : MySQL, MongoDB, SQL Server",Reactjs|Php|CSS|MySQL|Mangodb|SQLServer|Java|react.js|Php|CSS|.NET|MySQL|MongoDB|SqlServerProgramming|
