jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Customer Care,PayGate India Private Limited,Thane,1-6years,Not Specified,Handle and responsible for all aspects of the day-to-day Merchant & Customer queries |  Addressing any issues/disputes from customers or clients in coordination with internal stakeholders |  Closure of queries and complaints in a timely manner,CustomerCare|CustomerSupport|CustomerSupportExecutive|Customersupportrepresentative|
Kannada Language Customer care service,2COMS Consulting Private Limited,Bengaluru/Bangalore,0-3years,18000 - 19000 INR,Greeting From 2Coms Consulting pvt.ltd.Job opportunity for freshers to join one of the leading MNC brand @ KarnatakaDesignation: Voice Process in Normal shift Timing.Job Role :In Voice processes you'll be handling calls that customer or prospe,Bpo|Csa|CustomerCare|CallCenter|Customerservice|
"Customer Care Job at - HSR Layout, Bengaluru (call me 9619022384)",first india hr solution,Bengaluru/Bangalore,0-1years,Not Specified,"Customer Care Job at - HSR Layout, Bengaluru (call me 9619022384)",CustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCareExecutive|CustomerCare|
Customer Care Officer,Essvee Consultants,Kolkata,0-5years,170000 - 220000 INR,"The job is purely a customer care profile, wherein the candidates will have to take inbound calls and help clients to book order on myntra.com. The candidates will handle new order, cancellation, complaints, suggestions, etc |  Job timing",CustomerSupport|CustomerCare|CustomerService|FresherBPO|Freshers|SalesOfficer|
Customer Care Job - Bengaluru  (urgent call me 9619022384),first india hr solution,Bengaluru/Bangalore,0-1years,Not Specified,Customer Care Job - Bengaluru  (urgent call me 9619022384),CustomerService|CustomerCare|CustomerServiceExecutive|CustomerCareExecutive|CustomerSupport|Telemarketing|TelecallerFemale|Telesales|TeleMarketingExecutive|Telephonicsales|VoiceCalling|
Customer Care Executive,Quess Corp Limited,Delhi|Noida,0-3years,120000 - 240000 INR,looking candidates for customer service profile for the location of delhi noida and gurgaon salary will be 12000 to 25000 k monthly. cab allowance and meal facility. minimum qualification require is 12th pass,CustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCareExecutive|CustomerCare|
Customer Care Executive,SnapHunt Pte Ltd,Bengaluru/Bangalore,0-2years,Not Specified,"Dear Candidates, |   |   |  Greetings from Quess ! |   |   |  Openings for Customer Support Executive for One of the Leading Company in |  Bangalore |   |   |   |  Desired Candidate Profile |   |  Only Graduates can apply. Both Freshers and Experienced |   |  English and Kannada is mandatory. |",CustomerCare|CustomerCareExecutive|
Customer Care Associate,first india hr solution,Bhubaneswar,0-5years,Not Specified,Effectively handling queries of customers over the phone and strictly adhering to telephone manners as per existing norms of the organization. Assisting all the VIP/Priority/Prime customers as per requirements. |,CustomerCare|CustomerService|Telecalling|Healthcare|QualityInitiatives|DataCollection|
"Telesales Executive - Sector 38, Gurgaon (call me 9619022384)",Proprietor Of Ssv Hr Services,Bengaluru/Bangalore|Gurgaon/Gurugram,0-1years,Not Specified,"Telesales Executive - Sector 38, Gurgaon (call me 9619022384)",CustomerService|CustomerCare|CustomerSupport|CustomerServiceExecutive|CustomerCareExecutive|
Executive - Customer Care - eCommerce -Work From Home,SnapHunt Pte Ltd,Mumbai|MumbaiCity|NaviMumbai|Thane,1-5years,240000 - 350000 INR,"Its a Voice process, where your job will require interacting with customers over the Call.",EcommerceServices|CustomerSupport|customerservices|CustomerCareExecutive|CustomerCare|CustomerSupportExecutive|HandlingEscalation|clientrelationshipmanager|ClientServicing|CustomerCareOfficer|CSR|upselling|Email|chats|
