jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hardware Sales Executive,Team Management Services,Pune,5-7years,Not Specified,Deal in day-to-day customer selling for various hardware products,DirectSales|Hardware|IT|SalesExecutive|Desktop|Laptop|
OPENINGS FOR BACK OFFICE COMPUTER OPERATER FOR FRESHERS,Career Mantra Management Services,Mumbai|Pune,0-2years,120000 - 229999 INR,"Setting up customer accounts and provide and relevant information to them. Follow the procedure, guidelines provided  |   and implement while troublesshooting queries. |   Fresher & Experience Required. |   Salary : 15k to 28k |   Experience : Data Entry, 1Year",BackOffice|BackOfficeExecutive|OfficeAssistant|Nonvoice|Operations|Computeroperator|
TOP MNC COMPANY HIRING Must Have Experience in Same Profile Quality Engineer,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,3-4years,330000 - 650000 INR,"Making and Finalizing Standard Operating Procedure for Coating /Plating Parts. Training to Personal assembly, store, supplier, transportation,Related to handling and usage of painted parts to assure defect prevention. Solid knowledge on PCB, circuit.",QcManager|TestManager|QualityControlManager|Qc|Inspection|Qualitycenter|QaManager|QaLead|QualityAssuranceManager|
Openings for Purchase head for Fresheers as well as Experiences,Career Mantra Management Services,Hyderabad/Secunderabad|Pune,4-10years,330000 - 760000 INR,"Develop,lead and execute purchasing strategies. Tracking and reporting key functional metrics to reduce expenses and improve effectiveness. Forecast price and market trends to identify changes of balance in buyer supplier power.Prices Negotiation.",Purchase|ProcurementPlanning|MaterialPlanning|StrategicSourcing|VendorDevelopment|PurchaseManagement|
Apply To Jobs At Civil Site Engineers For Freshers As Well As Experienced,Career Mantra Management Services,Pune|Nashik,0-4years,120000 - 440000 INR,"Taking Charge of Civil Works & delivering Them as per requirement. Perform or oversee testing to determine  |  the adequacy & strength of foundations.  |  control over the contractor,vendors & site workers. site engineer offers advice in the planning, tel.",SiteManager|ResidentialBuildings|Estimation|Tendering|Costing|Contractors|InteriorDesigners|ProjectSales|builders|Fabricators|
Top MNC Required Maintenance Engineer .,Career Mantra Management Services,Pune|Nagpur,0-2years,220000 - 440000 INR,Direct Joining Available |   Salary 15k to 22k |   BE/Dip any Stream allowed |   More Details Call 9371274040 HR Megha |   Apply Here,MaintenanceManager|MechanicalMaintenance|MaintenanceExecutive|MaintenanceSupervisor|Maintenance|Operation|Service|MaintenanceEngineer|ServiceEngineer|MaintenanceEngineer|
Openings for Experience as well as Freshers can apply for the post R And D,Career Mantra Management Services,Pune|Aurangabad,0-1years,229999 - 480000 INR,"Developing new products (NPD) for the healthcare market and leading the product safety and regulatory initiatives |  for our clients. Work closely with internal & external customers, pdn, QA teams as well.",NPD|FlexiblePackaging|pharmapackaging|r&d|
openings for Design Engineers for Experience Candidates Can Apply here,Career Mantra Management Services,Pune|Nashik,2-4years,140000 - 220000 INR,"The Mechanical Engineer is responsible for design, development & testing of Mechanical hardware based on the testing of mechanical architecture & the mechanical requirements within a Project. Development of core & application. Complies with (Q O S).",Creo|Catia|ProductEngineering|Simulation|Aerospace|HardwareDesign|Troubleshooting|soildwork|ANSYS|
Opening for Experience for the post Shift Incharge,Career Mantra Management Services,Pune|Nagpur,5-10years,229999 - 440000 INR,Management (Department /Plant ) |  Post : Shift Incharge |  Salary : 2.4 To 4.5 L.P.A |  Experience :5 to 10 Years |  Interested Candidate Apply Here |    For More Details Call Us HR MEGHA   9371274040,Management|shiftworkingotherskills|
Apply To Jobs At Design Engineers For Freshers As Well As Experienced,Career Mantra Management Services,Pune|Nashik,0-2years,180000 - 220000 INR,We are looking for a 1 or two years experienced or fresher Female and Male candidates for our new openings in Pune and Nashik. |        |       Software will include : |        |       Auto Cad UG |       Solid Work |       Solid Edge |        |,DesignEngineer|DesignTools|PlasticInjectionMoulding|PlasticComponentDesign|
