jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Store Manager,Jobs Rider,Wayanad|Wardha,1-5years,140000 - 420000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",StoreKeeper|StoreIncharge|StoreExecutive|StoreAssistant|
Computer Operator,Jobs Rider,Vijayawada|Vidisha,1-5years,150000 - 440000 INR,"SUPERVISORS STORE IN CHARGE REQUIRED |  Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  For more information plz contact to miss Sunita -7838405493 |  Company",DataEntryOperator|DataEntry|OfficeAssistant|ComputerOperator|
Store Keeper,Jobs Rider,Yavatmal|Palani,1-6years,160000 - 520000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja  -7838637963",StoresOfficer|
Customer Support Engineer/ Customer Support Voice role.,2COMS Consulting Private Limited,MumbaiCity|NaviMumbai,1-5years,100000 - 300000 INR,"Soft Skills- |  • Excellent ability to handle pressure, teamwork, and agility to switch between various tasks |  • Good Team Player |  • Good Communication Skills - English. |  • Ability to individually solve problems, quick decision making and identify practice",CustomerSupportExecutive|InternationalVoice|Bpo|Troubleshooting|UsProcess|Outbound|inbpundvoice|Sutherland|Wipro|Techm|GoodInCommunicationSkill|TechnicalSupportExecutive|CustomerSupportEngineer|Techsupport|TicketingTools|
Customer Support Engineer,2COMS Consulting Private Limited,Mumbai,1-4years,110000 - 260000 INR,customer support engineer. |  1-4 years |  2 ways cab  |  salary upto 25k |  Australian shift |,L1Engineer|l2engineer|DesktopSupportEngineer|CustomerSupportExecutive|CustomerSupportEngineer|TechnicalSupportExecutive|TechnicalSupportVoice|TechnicalSupportRepresentative|
Technical Support Voice Process- Customer Support Engineer- Immediate Joiners,Jobs Expert Private Limited,Gurgaon/Gurugram|Pune,1-9years,300000 - 560000 INR,Technical Support Voice Process- Customer Support Engineer- Immediate Joiners  |   |  Must have experience in International Technical Support Voice process |   |  CTC upto 5.6 lpa + huge incentives |   |  Sam-9999300435,Bpo|Enterprisesupport|ActiveDirectory|AD|MsOutlook|TechnicalSolutionengineer|Servicedesk|TSE|Tsa|TSR|CustomerSupportEngineer|TechnicalSupportvoice|TechnicalHelpdesk|Dns|DHCP|Office365|TechnicalHelpdesk|Fsmo|Servicenow|
Desktop Support Engineers,Esther Jeevitha (Proprietor of Morgan Techno India),Hyderabad/Secunderabad,1-6years,250000 - 450000 INR,Requirement for the post of Desktop Support Engineer.,DesktopSupportEngineers|DesktopSupportEngineer|ServiCeDesk|HardwareEngineer|DesktopSupport|DesktopEngineer|LaptopSupport|Technicalsupport|SystemAdmin|CustomerSupportEngineer|ItHelpdesk|
Customer Relation Officer,Quess Corp Limited,Bengaluru/Bangalore,0-3years,Not Specified,"customer relationship officer, customer support, sales and marketing, insides sales",customerrelationshipofficer|CustomerSupport|SalesAndMarketing|
Technical Support Engineer Desktop Support,Roundworld Immigration Private Limited,Delhi,1-4years,150000 - 200000 INR,"The Support Analyst is responsible for providing support to server infrastructure, LAN WAN networks and VMWare by answering questions or resolving problems in person, via telephone or from a remote location.",Fmsengineer|DesktopSupportEngineer|Hardwareengineer|Hardwarenetworkingmale|DesktopEngineer|Desktopsupport|CustomerSupportEngineer|NetworkEngineer|ITSupport|
Supervisor,Jobs Rider,Ahmedabad|Bengaluru/Bangalore,0-4years,140000 - 540000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Nisha  -7290954272",Supervisor|ElectricalSupervisor|ProductionSupervisor|Teamleader|
Hardware Engineer (Freshers) Job In Kolkata,Alpha Tech Solutions,Kolkata,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hardware Engineer (Freshers) Job In Bangalore,Alpha Tech Solutions,Bengaluru/Bangalore,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Hardware Engineer (Freshers) Job In Delhi,Alpha Tech Solutions,Delhi,0-2years,150000 - 250000 INR,Hardware Engineer,HardwareEngineer|DesktopSupportEngineer|DesktopEngineer|CustomerSupportEngineer|Networkengineer|
Store Manager,Jobs Rider,Indore|Jabalpur,1-4years,130000 - 409999 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Nisha -7838405493",StoreManager|Storekeeper|Storeincharge|
Store Manager,Jobs Rider,Hisar|Himatnagar,1-5years,150000 - 540000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Sushma -7289963579",StoreManager|Storekeeper|Storeincharge|
Back Office,Jobs Rider,Giridih|Godhra,1-4years,150000 - 470000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss Pooja -7838637963",BackOffice|BackOfficeExecutive|OfficeAssistant|
