jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore,0-5years,250000 - 320000 INR,"customer service |      Agents should know both English and hindi |      Must be flexible, organized, and function well under pressure |      part-time and full-time both available |      salary:16k - 18k |      timings:10 to 6:30 |      contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
Customer Support Executive,MP Dominic & Co,Mumbai,0-3years,Not Specified,We are hiring Customer Support Executive  for PAN India based fully automated diagnostic laboratory.,CustomerService|CustomerSupport|
Customer Support Executive,Nexplace Info Private Limited,Bengaluru/Bangalore,0-1years,110000 - 220000 INR,We are looking for a qualified Customer Support Executive to manage a team of representatives who will offer excellent customer service and after-sales support. You will create policies and procedures and oversee the customer service provided by the,CustomerSupportExecutive|Customercareexecutive|CustomerServiceExecutive|CustomerServiceRepresentative|InboundAndOutbound|CSR|
Customer Support  customer service executive,Gautam Consultancy,Bengaluru/Bangalore|Delhi,0-5years,250000 - 320000 INR,"customer service |     Agents should know both English and hindi |     Must be flexible, organized, and function well under pressure |     part-time and full-time both available |     salary:16k - 18k |     timings:10 to 6:30 |     contact HR Shashi @ 9164371238",VoiceProcess|Hindi|English|Voicesupport|CustomerSupport|ProductionSupport|
Customer Support Executive,Sapna Manish Sharma (Proprietor Of JBM India),Ahmedabad,1-6years,240000 - 350000 INR,Requirement for Customer Support Executive.,CustomerSupport|Inbound|Outbound|Graduate|GraduateFresherFreshers|InternationalBpo|DayShifts|VoiceProcessNightShift|TechnicalSupport|
Customer Support Executive,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / Ecommerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Support Executive (non voice),I Growth Services,Thane,0-5years,Not Specified,"Urgent requirement for chat support executive in thane wagle estate loction, this is one of the europe based process, freshers and experience both are welcome, |    |   Good communication required |    Interested candidate call us on this number 8104727774",ChatSupport|chatsupportexecutive|
Customer Support Executive || Karnataka,2COMS Consulting Private Limited,Bengaluru/Bangalore,0-2years,100000 - 250000 INR,"Greeting From 2Coms Consulting.Opening For customer support executive in a leading MNC,Providing Work from home Job.Location-BangaloreQualification- Any Graduate, Undergraduate also can Apply for this Job.(Need all educational documents)",KannadaLanuage|Customerservice|
Customer Support Executive,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / Ecommerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Support Executive,Izee Manpower Consultancy Private Limited,Bengaluru/Bangalore,1-5years,Not Specified,HIRING FOR INTERNATIONAL OUTBOUND SALES :: 5 DAYS WORKING 2 WORKING OFF :: SAL UPTO 4.5LPA,InternationalSales|OutboundSales|OutboundPrecess|Upselling|OutboundCalling|Bpo|OutboundProcess|Telesales|Ites|Bpo|internationalvoiceprocess|
BPO/Tech Support & Customer Support /Customer Care Executive,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-3years,150000 - 420000 INR,BPO/Tech Support & Customer Support /Customer Care Executive,CustomerServiceExecutive|Inbound|Outbound|Bpo|CallCenter|CallCentre|CSR|TSR|Kpo|TechnicalSupport|
Customer Support Executive,Hiringhub,NaviMumbai|Thane,0-2years,150000 - 250000 INR,Customer servive for Travel,CustomerService|CustomerServiceExecutive|CustomerCareExecutive|CustomerSupport|CustomerCare|
Customer support Executive,Wings Brand Activations India Private Limited,Bengaluru/Bangalore,1-3years,Not Specified,We are Hiring for Customer support Executive,CustomerSupportExecutive|
Customer Support Executive / Technical Support Associate,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
Customer Care Executive  Customer Support Executive  Customer Service Executive,CosyTech,Mumbai|MumbaiCity,2-5years,Not Specified,We are Urgently Looking for a Customer Care Executive in  Ecommerce Company - Mumbai |,CustomerCareExecutive|ChatSupport|CustomerServiceExecutive|CustomerSupportExecutive|emailprocess|
"Customer Care Job at - HSR Layout, Bengaluru (call me 9619022384)",first india hr solution,Bengaluru/Bangalore,0-1years,Not Specified,"Customer Care Job at - HSR Layout, Bengaluru (call me 9619022384)",CustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCareExecutive|CustomerCare|
Computer Data Entry Operator/Part-time work@Home /Home Based Work Jobs,Zarbex Solutions,Vellore|Alappuzha/Alleppey,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                   Concern Person Regarding That Mr. -HR Soniya |                   Contact No.- 8447612779,CustomerServiceExecutive|CustomerServiceRepresentative|CustomerSupport|Customercare|CustomerSupportExecutive|
International Technical Support / Rotational Shifts / Sal upto 3lpa,Black And White Business Solutions Private Limited,Bengaluru/Bangalore,0-5years,Not Specified,International Call Center / BPO /Banking / E commerce / Healthcare/Customer Support / Technical Support,Voice|ChatSupport|Email|SupportCustomerSupport|CustomerService|CustomerSupportExecutive|CustomerCare|CustomerCareExecutive|TechnicalSupport|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
