jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Telesales Executive -Sector 38, Gurgaon (call me 9619022384)",first india hr solution,Gurgaon/Gurugram,0-1years,Not Specified,"Telesales Executive -Sector 38, Gurgaon (call me 9619022384)",Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|
TELECALLER Executive,Netcomm IT Solutions Private Limited,Vijayawada,0-1years,100000 - 110000 INR,"WE REQUIRE TELECALLERS, EXECUTIVES FOR INBOUND TELECALLERS M/F FOR VIJAYAWADA |  LOCATION. ANY DEGREE WITH GOOD COMMUNICATION SKILLS |",Telecaller|Customercareexecutive|
HIRING FOR DOMESTIC PROCESS IN MNC AT  KOLKATA,2COMS Consulting Private Limited,Kolkata,0-1years,Not Specified,GREETING FROM 2COMS CONSULTANCY |  NO CHARGES REQUIRED |  POSITION OPEN FOR DOMESTIC SEMI VOICE PROCESS(CHAT+VOICE) |  FRESHER +EXPERIENCE CAN APPLY |  SALARY UPTO 15000  |  WORK FROM HOME |  FACE TO FACE INTERVIEW |  NEED IMMEDIATE JOINERS |,BPOExecutive|Telecaller|EnglishLanguage|Customercareexecutive|
Customercare Care Executive for a Limited Company at Ernakulam( female),Square One Management Services,Cochin/Kochi/Ernakulam,1-2years,220000 - 320000 INR,"We are looking for  the candidates who have experience in office admin or customercare. It is a limited company at Ernakulam south, The candidates must have fluency in English and computer knowledge. If interested please contact us immediately,",CustomerCareExecutives|
Online Promotion,Desnor Destination Pvt Ltd,Noida,0-3years,10000 - 120000 INR,"Desnor Destination Pvt. Ltd, one of the fast growing company in Travel & Tourism industry is providing online income opportunity. We need committed & result-oriented people who can join hands with us & contribute in the promotion. Earn huge benefits",Bde|Cce|Customercareexecutive|Customercare|AdvertisingExecutive|Hr|Recruiter|HrRecruitment|HrExecutive|Recruitment|RecruitmentExecutive|
Urgent requirement of Customer Service Associate for MNC,Vibrantzz Management Services,Mumbai|MumbaiCity,2-6years,Not Specified,Job Openings for International Stockbroking firm,CustomerServiceExecutive|Customercareexecutive|CustomerServiceRepresentative|CustomerserviceassociateCSE|
"Telesales Executive - Sector 38, Gurgaon (call me 9619022384)",first india hr solution,Gurgaon/Gurugram,0-1years,Not Specified,"Telesales Executive - Sector 38, Gurgaon (call me 9619022384)",Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Customercareexecutive|Telesalesexecutive|Telesalestelemarketing|
Computer Data Entry Operator/Part-time work@Home /Home Based Work Jobs,Zarbex Solutions,Vellore|Alappuzha/Alleppey,0-5years,150000 - 480000 INR,(On-the-spot offer letter.)Immediately Joining! |                   Concern Person Regarding That Mr. -HR Soniya |                   Contact No.- 8447612779,CustomerServiceExecutive|CustomerServiceRepresentative|CustomerSupport|Customercare|CustomerSupportExecutive|
Customer Care Executive,Qdegrees Services Private Limited,Chennai,0-4years,Not Specified,We have a requirement of Customer Care Representative For Oragadam Location |   Free accommodation in one of the most luxurious society of Oragadam  |   |  ➢ One free meal from company,CustomerServiceExecutive|Customercareexecutive|CustomerServiceRepresentative|CustomerSupportExecutive|CustomerSupport|
"Telesales / Telemarketing Job - Ellisbridge, Ahmedabad  (call me 9619022384)",first india hr solution,Ahmedabad,0-1years,Not Specified,"Telesales / Telemarketing Job - Ellisbridge, Ahmedabad  (call me 9619022384)",Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Counsellor|
Call Center Jobs In Bangalore for UK shifts  9886188040,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,0-2years,Not Specified,•         Candidate should possess excellent oral and written communication skills•         Candidate with good customer service skills would be preferred•         Candidate should have 0-5 year of experience in Customer Support Voice Process.•,CustomerServiceExecutive|Customercareexecutive|CustomerSupport|Customercare|CustomerSupportExecutive|
"Telecalling Operator cum Receptionist, Female",Aspire Group of Services,Lucknow,0-1years,140000 - 229999 INR,Job Responsibilities : |  Attending to all customer calls and offering assistance |  Maintaining various reports related to Sales and accounts |  Responsible for daily deposition of payment collected |  Coordinating with various functional heads,Telecalling|Telemarketing|Customercareexecutive|Telecaller|Telemarketingexecutive|Telesalesexecutive|
Telecaller (Inbound & Outbound) - Mumbai call me 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Telecaller (Inbound & Outbound) - Mumbai call me 9619022384,Telecaller|Telesales|Telemarketingexecutive|Customercareexecutive|Telesalesexecutive|Telemarketing|
Telesales Executive - Ahmedabad (Telesales / Telemarketing) call me urgent :9619022384,first india hr solution,Ahmedabad,0-1years,Not Specified,Telesales Executive - Ahmedabad (Telesales / Telemarketing) call me urgent :9619022384,Telecaller|Telesales|Telemarketingexecutive|Telemarketing|Telesalesexecutive|Customercareexecutive|Telesalestelemarketing|
Telesales / Telemarketing  (Pharma candidate and fresher can apply )call me 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Telesales / Telemarketing  (Pharma candidate and fresher can apply )call me 9619022384,Telecaller|Telemarketing|Telemarketingexecutive|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Telesales|
BPO / Call Center / Sales Executive / Only for Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |      Minimum 6 month of relevant experience |      Salary 11k to 15 CTC + incentives |      Graduation mandatory |      Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Inbound and Outbound Sales only for pharmacy candidate fresher call me  9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Inbound and Outbound Sales only for pharmacy candidate fresher call me  9619022384,Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|
Fresher Inbound & Outbound - Mumbai (Bachelor in Pharmacy) call me urgent 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Fresher Inbound & Outbound - Mumbai (Bachelor in Pharmacy) call me urgent 9619022384,Telecaller|Telemarketing|Telesales|Telemarketingexecutive|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|
Telecaller (Inbound & Outbound) - Mumbai/ D Pharma Freshers mandatory call 9619022384,first india hr solution,Mumbai|MumbaiCity|NaviMumbai|Thane,0-1years,Not Specified,Telecaller (Inbound & Outbound) - Mumbai/ D Pharma Freshers mandatory call 9619022384,Telecaller|Telemarketing|Telemarketingexecutive|Telesales|Telesalestelemarketing|Telesalesexecutive|Customercareexecutive|Counsellor|
Sales Process/Lead Generation/Outbond Process  - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |   Minimum 6 month of relevant experience |   Salary 11k to 15 CTC + incentives |   Graduation mandatory |   Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Telecaller,Orissa Doot Private Limited,Bhubaneswar,0-2years,Not Specified,Opening for Telecaller in Bhubaneswar Location,Telecaller|Telemarketingexecutive|Customercareexecutive|Telesalesexecutive|
Domestic Process/ Sales Process/ Call Process - Ahemdabad,Arise Solution,Ahmedabad,0-2years,Not Specified,Opening for sales executive |    Minimum 6 month of relevant experience |    Salary 11k to 15 CTC + incentives |    Graduation mandatory |    Interested person Contact on - 9687676593,Telesales|Bpo|CallCenter|InternationalCallCenter|DomesticBPO|Inbound|Fresher|Telecaller|Telemarketing|Telemarketingexecutive|Counsellor|Telesalestelemarketing|Customercareexecutive|Telesalesexecutive|Kpo|
Telesales Executive,Rohit associates,Delhi,1-3years,Not Specified,"PROFILE: - EDUCATION COUNSELOR/TELEMARKETING EXECUTIVE |  EXPERIENCE: - 1 To 4 YEARS |  SALARY:-10,000 TO 13,000 (IN HAND PACKAGE + 10% INCENTIVE ON BILLING)  |  QUALIFICATION: - 12TH PASS OR ABOVE |",TeleSalesExecutive|Telesales|TeleMarketingExecutive|Counsellor|TelesalesTelemarketing|CustomercareExecutive|TelesalesExecutive|
Indias top Bank is Hiring Customer support Experts-Hyderabad,Tarare Consulting services Private Limited,Hyderabad/Secunderabad,0-3years,Not Specified,"Location: Gachibowli,Hyderabad |  Need to have fluent Hindi & English |",Telecalling|Telecaller|Telemarketingexecutive|Counsellor|Telesalesexecutive|Customercareexecutive|
