jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",2COMS Consulting Private Limited,Delhi|Pune,0-5years,450000 - 650000 INR,"Data Analyst , Senior Data Analyst , Data Analyst - Tech Lead",FresherDataAnalyst|SeniorDataAnalyst|DataAnalyst|TechLead|TechnicalLead|
IT Data Analyst,Shalitin Immigrations LLP,Mumbai|Noida,4-6years,560000 - 860000 INR,"A Data Analyst would enable data requirements to a diverse set of customers - Operations, Business Unit Leaders and Product Managers.",DataAnalyst|ReportingAnalyst|MisExecutive|MISAnalyst|Mis|DataEntry|analaticskill|PowerPoint|ProjectManagement|ProjectExecution|ProjectPlanning|DataMining|ResearchAnalyst|Excel|MsExcel|
Sr Data Engineer Big Data,Smart Solution,Bengaluru/Bangalore|Chennai|Hyderabad/Secunderabad,6-10years,Not Specified,"About the role:As a Data Engineer, you will build a variety of big data analytics solutions, including big data lakes. More specifically, you will:· Design and build scalable data ingestion pipelines to handle real time streams, CDC events, and",
"Senior Analyst, Innovation Analytics (J)",2COMS Consulting Private Limited,Hyderabad/Secunderabad,1-4years,100000 - 700000 INR,"Will play a critical role in identifying new trends which will help in reducing overall credit and fraud losses. The selected candidate will manage people, projects, drive talent development, display thought leadership, build & leverage relationships","""Credit""|""Fraud""|""Python""|""Pyspark""|""Hive""|""Bigdata""|""Scala""|""Sqoop""|""Spark""|""Model""|""Strategy""|"
Opening For Sr Analyst TJ,Adal Immigrations LLP,Hyderabad/Secunderabad,1-5years,100000 - 700000 INR,Looking for someone with hands on exposure of Building and Developing Strategies to Acquire right customers for company product,"""SAS""|""CreditRisk""|""Customer""|""Strategy""|""CreditAcquisition""|""RiskAnalysis""|""PortfolioRisk""|""Acquisitionstrategy""|""Building""|""Developing""|""DevelopingStrategies""|""IdentifyLoss""|""IdentifyingRisk""|""Creditstrategy""|""|"
"Data Analyst Required For Canada, Singapore & Gulf",Sapna Manish Sharma (Proprietor Of JBM India),Canada|Singapore,2-5years,3000000 - 5400000 INR,"We are looking for a passionate certified Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions.",DataAnalyst|PL/SQLDeveloper|datafusion|BusinessAnalysis|Financialanalysis|ResearchAnalyst|DataMining|SqlDatabase|Oracle|DatabaseDeveloper|AlgorithmDevelopment|algorithmanalysis|OptimizationAlgorithms|
Data Analyst,Novartis Healthcare Private Limited,Agra|MumbaiCity,0-5years,Not Specified,Data Analyst  jobs opening all over India Contact Ms. himani 9311024990,rewriting|Management|BackOffice|mobilemarketing|DigitalMarketing|WorkFromHome|Typing|Bpo|adnetworks|freelancing|DataEntry|Writing|ContentWriting|Outsourcing|frontoffice|DataManagement|Kpo|ItOutsourcing|Networking|
Lead Data Analyst,HTC Global Services (India) Private Limited,Delhi|Mumbai,4-10years,550000 - 1500000 INR,"A Data Analyst would enable data requirements to a diverse set of customers - Operations, Business Unit Leaders and Product Managers.",DataAnalyst|ReportingAnalyst|MisExecutive|MISAnalyst|Mis|DataEntry|analaticskill|PowerPoint|ProjectManagement|ProjectExecution|ProjectPlanning|DataMining|ResearchAnalyst|Excel|MsExcel|
Big Data Analyst,Riju Karan (Proprietor Of Toyota Climax India),Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,Immediate requirement for Big data Analyst with Wipro (C2H) at Bangalore Location,BigData|hadoop|Mapreduce|
Hiring Digital marketing Analytic - SAS,TRANSVISION SOFTWARE AND DATA SOLUTIONS PVT LTD,Hyderabad/Secunderabad,1-4years,440000 - 700000 INR,The candidate will be part of Digital marketing Analytics team and will be responsible for taking project requirements & project execution and driving thought leadership & Innovation.,"""SAS""|""Digital""|""adobe""|""Omniture""|""Market""|"
Data Analyst Required in Canada| Australia| Dubai,Prishatech India (opc) Private Limited,Australia|Canada,2-7years,2000000 - 5000000 INR,"Data Analyst must demonstrate a disciplined approach to decision-making that is risk-based, data-driven, agile to shifting demands and expectations.",DataAnalyst|ReportingAnalyst|MisExecutive|MISAnalyst|DataEntry|ResearchAnalyst|DataMining|
Data Analyst/Business Analyst,2COMS Consulting Private Limited,Bengaluru/Bangalore,0-5years,250000 - 450000 INR,Requirement for Data Analyst/Business Analyst.,Analytics|BusinessAnalyst|Excel|DataAnalytics|Sql|
Data Scientist,Karyin HR Solutions,Hyderabad/Secunderabad,6-10years,1000000 - 2000000 INR,"20+ brands catering to 50+ disease areas! The team of Novartis specialists within Insights & Analytics are |  on a data and digital transformation journey, leveraging analytics to generate actionable insights for |  Novartis medicines.",PredictiveAnalyticsandModeling|StatisticalModeling|R|CustomerSegmentation|DataScience|DataScientist|MachineLearning|Python|Nlp|NaturalLanguageProcessing|DecisionTrees|
Angular developer,JMA Global IT Solutions SDN BHD,Bengaluru/Bangalore,4-9years,Not Specified,"Opening for Angular developer for Manipal(WFH) |  Exp-4-8yrs |  Relevant in Angular should be 2 or 3yrs |  Must have Skill-Angular, Javascript, HTML,CSS, UI Frame wok |  Notice - Immediate to 15days |  pls share your profile to [HIDDEN TEXT]  |",uiframework|Angular|Javascript|html|css|
Qualitative Research Analyst /Associate with a KPO,Winning Minds LLP,Chennai|Mumbai,3-7years,550000 - 1060000 INR,we are hiring....................,Business|CompetitiveIntelligence|FinancialResearch|MarketIntelligence|IndustryResearch|r&d|MarketResearch|IndustryAnalysis|PrimaryResearch|GlobalSales|BusinessResearch|SecondaryResearch|CompanyProfiling|
