jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Data Quality Analyst,SnapHunt Pte Ltd,Bengaluru/Bangalore,2-5years,Not Specified,"Analysing data as per defined specifications and providing feedback in case of deviations. Closely monitoring error records, fixing issues and tracking for smooth performance. |",Email|Analytics|Excel|Python|Java|QualityAnalyst|
Data Quality Management Specialist,Aryan Solutions Pte Ltd,Delhi|Lucknow,3-8years,Not Specified,"Permanent role with Aryan Solutions, India |      Supporting a billion dollar MNC project |      Working location: Lucknow/Delhi but must be willing to relocate to Delhi by EOY 2021 |       |      Initially work with the US team to get KT & Training on products","Salesforce|""dataconsumers""|""dataquality""|""dataacquisition""|""dataquality""|""dataunification""|""datagatekeeping""|DataManagement|Marketo|"
DATA QUALITY ANALYST,Advance Jobs Private Limited,Delhi|Noida,3-10years,450000 - 850000 INR,Data quality analysts examine complex data and turn it into information and insight to inform business decisions.,Extremelymeticulousinapproachtowork.Outstandingattentiontodetail.Abilitytoworkwithlittleornosupervision.Provenabilitytomeetestablisheddeadlines.|DataQuality|QualityAnalysis|
ETL Lead/Developer,Labridge Consulting,Hyderabad/Secunderabad,5-8years,Not Specified,Designation: ETL Lead/Developer |  Experience: 6-8 Years |  Location: Hyderabad |  Mode: Full Time,Informatica|Talend|Etl|DataModelling|MetadataManagement|DataQuality|
Quality Analyst,Agilisium consulting,Chennai,6-10years,Not Specified,Involved in Functional and Non-Functional Testing of REST APIs testing using Postman and Swagger. Ability to comprehend requirements and derive testing approach. Experience in exploratory testing and sprint/iterative lifecycle.,Non-FunctionalTesting|RESTAPIstesting|APIIntegrationtest|iterativelifecycle|Qa|qualityanalyst|FunctionalTesting|Postman|Swagger|ExploratoryTesting|automationtesting|Sprint|Jira|Confluence|Java|Javascript|Python|Ci|Jenkins|Teamcity|
Data Governance/Quality Manager,CloudWiz Consulting,Bengaluru/Bangalore,10-16years,Not Specified,Our client who is a IT Services company needs to staff Data Governance Managers/Data Quality Managers with experience in Bigdata projects on Cloud. Google Cloud experience is preferred. Location is Bangalore.,DataGovernance|DataQuality|
Senior Informatica MDM Developer,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,5-9years,1000000 - 1800000 INR,"Senior Informatica MDM Developer |   |  1. Should have good hands-on experience in Informatica MDM, Customer 360 and |  Data Quality. |  2. Should have a minimum of 6+ years’ experience in Informatica Platform. |  3. Should have minimum 4+ years working experience",MDM|Customer360|InformaticaPlatform|Enterprise|scratch|Strong|DataAnalysis|DataStewarding|DataMapping|DataModeling|buildingC360|creatingperformantdesign|InformaticaComponent|developingcomplex|Queries|Administ|DataQuality|DataModel|PL/SQL|
SAP Consultants - SAP BODS,Larsen & Toubro Infotech Limited,Mumbai|Pune,4-12years,Not Specified,Looking for SAP Consultants - SAP BODS |    |,SAPBODataServices|SapBods|SapBods|DataQuality|
SAP Consultants - SAP BODS,Larsen & Toubro Infotech Limited,Bengaluru/Bangalore,4-12years,Not Specified,Looking for SAP Consultants - SAP BODS |     |,SAPBODataServices|SapBods|SapBods|DataQuality|
SAP Consultants - SAP BODS,Larsen & Toubro Infotech Limited,Chennai|Hyderabad/Secunderabad,4-12years,Not Specified,Looking for SAP Consultants - SAP BODS |   |,SAPBODataServices|SapBods|SapBods|DataQuality|
