jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Database Administrator,Career Services,Ludhiana|Nagpur,0-1years,250000 - 360000 INR,DATA ENTRY JOB/WORK FROM HOME,DataEntry|
Database Developer,Team Management Services,Pune,3-7years,Not Specified,"The candidate will be looking after designing logical and physical data models along with collaring, preparing, and presenting statistical relevant information.",MsSqlServer|Ssrs|
Senior Database Engineer,FUSAQ Technologies Private Limited,Remote,10-15years,Not Specified,"Want to be part of a global team of best minds developing next generation DataOps platform USA based company, xFusion is hiring to extend their product development team in India. We are looking for the best minds and of course, will pay the best.",Apache|Spark|Scala|Python|Java|
Snowflake Database Administrator,Aroha Technologies,Chennai,6-9years,Not Specified,"Setup Snowflake DB instance with appropriate configuration |          Be able to script, and have programming ability with other programming languages |          Configure and monitoring Snowflake DB |          Optimizing database/query performanc",SnowFlake|Dba|
Technical Specialist - Database,Global Technologies,Mumbai,4-12years,Not Specified,Experienced in defining & realizing end-to-end Database Architecture for large scale enterprise systems. |  Excellent experience in improving performance and scalability of very large databases (1 Terabyte+) supporting large,Oracle|DatabaseArchitecture|Tuning|Sql|MSSQL|
SQL Database Administrator,Planet One,UK,2-7years,Not Specified,Urgent hiring for SQL DBA & Developer- Apply Now!!,SQLProgrammer|SQLServerProgrammer|SqlServerDeveloper|SQLDeveloper|DatabaseDeveloper|
Database Developer,Riju Karan (Proprietor Of Toyota Climax India),Bengaluru/Bangalore,1-5years,250000 - 450000 INR,Requirement for the post of Database Developer.,SQLProgrammer|MSSQLDeveloper|SQLDesigner|PL/SQLDeveloper|DatabaseDeveloper|SQLServerDeveloper|Programmer|
Database Developer,Jobs Rider,Bhopal|Bhubaneswar,1-5years,140000 - 550000 INR,"Urgent Required Helper, Store keeper, |  Supervisors ,100% JOB HERE |  Company required local candidates, joining district wise |  Payment monthly Base: - |  Company provides huge benefits to candidates |  For more information plz contact to miss sunita-7290954272,",DataEntry|
MSSQL DBA,Simple Logic IT Private Limited,MumbaiCity,3-8years,Not Specified,"- Install, configure & maintain MSSQL Standalone & Clustered databases |  - Migration of Databases from 2005/2008/2008 R2 to 2014/2016/2012 |  - Performance Optimization Instance and QUERY level |  - Backup and restore Management |",MSSQLDataBaseAdministrator|SSIS|Replication|Clustering|PerformanceTuning|Mssql|
Database Administrator,Career Services,Bengaluru/Bangalore|Guwahati,0-1years,250000 - 360000 INR,YOU HAVE TO DO DATA ENTRY OF RESUMES  |      NO  REGISTRATION CHARGES |      EARN WEEKLY  |   8735059559 |   AKHIL,DataEntry|
Database      hr avni  7600565598,Smart Solution,Guwahati|Gwalior,0-5years,Not Specified,data entry job opening for freshers and experience jobs all over India  hr avni  7600565598,rewriting|Management|BackOffice|mobilemarketing|DigitalMarketing|WorkFromHome|Typing|Bpo|adnetworks|freelancing|DataEntry|Writing|ContentWriting|Outsourcing|frontoffice|DataManagement|Kpo|ItOutsourcing|Networking|
Oracle database administrator,Orchid Management Consultancy,Bengaluru/Bangalore|Hyderabad/Secunderabad,0-4years,360000 - 660000 INR,We are hiring for the position of Oracle DBA at Chennai location.,OracleDBAOracleDatabaseAdministrator|
Database Administrator Postgresql,Aaryan Technology,Pune,5-8years,Not Specified,Urgent requirement for immediate joiners with reputed MNC in Pune for the role of Database Administrator Postgresql,DatabaseAdministratorPostgresql|
Online Data Entry / Form Filling  / Part Time Computer Operator,Aaryan Technology,Pune|Aurangabad,0-5years,210000 - 350000 INR,Online Data Entry / Form Filling  / Part Time Computer Operator,Fresher|OnlineDataEntry|DataEntryOperator|DataEntryOfficer|FormFilling|DataEntryExecutive|DEO|DataEntry|DatabaseAdministrator|DataBaseAdministrator|ComputerOperator|Dba|DatabaseAdmin|DataBaseAdministration|
Online Form Filling,A V Immigration And Careers Consultancy Private Limited,Pune|MumbaiCity,0-5years,210000 - 350000 INR,Online Form Filling,OnlineDataEntry|DataEntryOperator|DataEntryOfficer|FormFilling|DataEntryExecutive|DEO|DataEntry|DatabaseAdministrator|BackOffice|DataBaseAdministrator|ComputerOperator|Dba|DatabaseAdmin|DataBaseAdministration|
Database Administrator - Australia,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,9-14years,1600000 - 3200000 INR,"DATABASE AND SYSTEMS ADMINISTRATORS, AND ICT SECURITY SPECIALISTS plan, develop, maintain, manage and administer organisations database management systems, operating systems and security policies and procedures to ensure optimal database.",DatabaseAdministrator|integritycontrols|recoveryprocedures|Dba|DatabaseAdmin|DatabaseArchitecture|datastructures|Backups|
