jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Senior Technical Lead,Deputize Consultancy Private limited,OtherIndia,7-11years,Not Specified,Looking for a candidate who have 8-12 years of experience with hands-on software development background. |  Should have delivered at least 2-3 large projects in a technology organization.,Messagingqueues|NoSQLdatabases|Java|SpringBoot|Hibernate|Streams|AwsCloud|
Oracle DBA,Parna Hr Consultants,Bengaluru/Bangalore,3-7years,250000 - 850000 INR,PostgreSQL & MySQL databases,PostgreSQL&MySQLdatabases.|
Sr. Software Developer,Miracle Software Systems India Private Limited,Visakhapatnam,1-5years,200000 - 1000000 INR,"* Producing clean, efficient code based on specifications. Testing and deploying applications. |   *Working experience or familiarity with SQL/NoSQL databases, Spring Boot, REST APIs, ORM Frameworks and Microservices are highly recommended.",NoSQLDatabases|ORMFrameworks|Sql|SpringBoot|RestApis|MicroServices|Git|J2EE|
Data Lead,Hiremount Solutions Private Limited,Hyderabad/Secunderabad,4-8years,Not Specified,"Big Data, Data Lakes, AWS,SQL, RDS, DynamoDB |  Certified in AWS  or Data Administrator will be preferred. |",Dataarchitectures|Dataemulation|DatasecurityDatapipelines|Clouddatabases|Encryption|AwsCloud|BigData|Sql|Oracle|
Q.A manual,Navigator Systems Private Limited,Surat,1-3years,Not Specified,"Q.A manual ll QA databases and applications ll quality inspection, auditing, and testing ll",Q.Amanual|QAdatabasesandapplications|QualityInspection|auditing|andtesting|
Database Administrator (DBA),C P Careers Private Limited,Bengaluru/Bangalore,5-7years,Not Specified,"Good knowledge and hands-on experience on MSSQL Databases |  1.	MSSQL Database & Reports Server configuration architecture |  2.	Manage, configure and maintain Database Servers |  3.	Monitor the SQL Server health and performance. |  4.	Checking disk spaces, frag",MySQLDatabases|DBAAdministrator|
SENIOR SOFTWARE ENGINEER(PS),Angel And Genie,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-8years,2000000 - 3000000 INR,"Job Summary |   |  The Senior Software Engineer (SSE) will drive the company’s technical growth and delivery by working with engineering teams and client teams. A SSE will typically work in, and mentor, product development or client solution teams to creat",SSE|ProductDevelopment|Design|Architect|Review|designandarchitecture|solutioninganddesigningarchitecturedeveloping|deploying|maintainingsystems|object-orientedprogramming|Code|TestPlans|Testing|SoftwareDesign|Databases|Algorithms|
"Full Stack_Devloper_Python/Job Location-Bangalore/Minimum 5 yrs experience needed,Salary As per Indu",Navyah Immigration Services Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Full Stack_Devloper_Python/Job Location-Bangalore/Minimum 5 yrs experience needed,Salary As per Industry",SysDig|LogDNA|Python|Docker|RestApi|Flask|Databases|
Database Analysts and Administrators for Canada / USA,Brainworks Business Solutions Private Limited,Australia|Canada,2-5years,2570000 - 4550000 INR,"Lead and co-ordinate teams of data administrators in the development and implementation of data policies, standards and models...",Databaseanalyst|dataadministrator|Databaseadministrator(DBA)|Datawarehouseanalyst|OracleandDBA|SQLandDBA|DatabaseAdministration|Databases|DataWarehousing|DatabaseAdministration|DatabaseAdmin|
Java Full Stack Developer,Cybage Software Private Limited,Bengaluru/Bangalore,4-8years,1700000 - 1800000 INR,"Role         	: Consultant/ Lead Consultant (Java Full Stack Developer) |    Location       	: Bangalore  |    Experience    	: 4 – 8 Years |    Notice Period	: Immediate, Serving Notice Period, 30 Days |",andSQL/NoSQL|ReactJS/Redux|Javaprogramminglanguage.Knowledgeofrelational|columnarandNoSQLdatabases|CoreJava|Javascript|SoftwareArchitecture|SoftwareDesign|DesignPatterns|
Data Engineer or Data Scientist,Skill Mine Technologies,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,350000 - 550000 INR,hi we are hiring,InsuranceClaims|RelationalDatabases|snowflake|ET|LPython|DataScience|OracleSql|ScriptingLanguages|BigData|Tableau|
Cybage Software hiring For Mssql Support: Pune,Gempulse Infotech Private Limited,Pune,2-7years,Not Specified,"3+ years of overall experience in MS SQL Server 2005, 2008, 2008 R2 , 2012 and SQL Server 2016 databases. |",RelationalDatabases|Mssql|MsSqlServer|SQLServer|
DevOps Engineer,Arccaa Analytics And IT Solutions LLP,Hyderabad/Secunderabad,1-3years,Not Specified,"DevOps Engineer responsibilities include deploying product updates, identifying production issues and implementing integrations that meet customer needs. If you have a solid background in software engineering we’d like to meet you.",AzureArchitecture|Sql|Databases|
Senior Software Developer,Arccaa Analytics And IT Solutions LLP,Gurgaon/Gurugram|Mumbai,1-5years,340000 - 650000 INR,We are looking for an experienced Sr. Software Developer. Strong experience with Database is must. This is a senior developer position! Bring your ability to learn our ecosystem and help lead the technical direction.,SeniorSoftwareEngineer-Java|SeniorSoftwareDeveloperC#|RelationalDatabases|MSSQL|C++|WindowsServices|MySQL|Javascript|
Data Engineer For a TOP IT Company EXP 6-10 Yrs HQ @ Chennai,NEJIPR Global Services,Bengaluru/Bangalore|Chennai,6-10years,Not Specified,OP IT Company part of a Very Large Conglomerate Requires Data Engineers . Only Short notice Job Seekers Needed ( Immediate Joiners ) ..Bangalore Candidate willing relocate can also apply |    |,RDFTripleStores|Ontology|graphdatabases|Oracle|Etl|PYTHON|
.Net Developer,Klaus It Solutions Private Limited,Jaipur,5-10years,Not Specified,"Looking for talented, motivated, self-starter individual to join our engineering team. This role requires a demonstrated ability to design, code, test, and deliver our Projects.",.NetDeveloper|Retry|Chassis|CQRS|SAGA|Circuitbreakerpattern|NoSQLDatabases|Dotnet|DotNet|Velocity|Microservices|Agile|Azure|Kubernetes|DB2|MySQL|MongoDB|Cassandra|Hadoop|
