jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
DB2 Mainframes,Kbridge Consulting Services Private Limited,Hyderabad/Secunderabad|Pune,4-9years,Not Specified,Must Have Skills |  *  Mainframe DB2  |,Mainframes|DB2|TPF|JCL|Vsam|CICS|
Mainframe Developer  Mainframe Programmer  Mainframe Developer IMS DB,Talent Buffet,Chennai|Pune,4-12years,Not Specified,"Immediate Opportunity for Mainframe Developer, Work From Home - Laptop Being Couriered,  4 -12 years of experience, Work Location: Chennai/Pan India",COBOL74|COBOL/400|DB/400|COBOLORPL1|CobolIIPL1|JCLAdministration|Cobol|Cobol400|Cobol400|CobolIi|DB2|Db2400|Db2DatabaseAdministration|Db2Osm|Db2Udb|JCL|JclCobol|Mainframe|Rexx|Endevor|Ims|
Systems Integration Specialist,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Delhi,6-8years,Not Specified,POSITION OVERVIEW : Needing a Systems Integration Specialist for managing AS400 specific operations support profile. |  POSITION GENERAL DUTIES AND TASKS : An expert in database management with superior DB2.,As400|Rpgile|Clle|DB2|
Mainframe specialist Lead  & Developer : -Immediate Opening with our Top MNC Client Pune/Hyderabad L,Future Focus Infotech Private Limited,Hyderabad/Secunderabad|Pune,4-14years,Not Specified,Mainframe specialist Lead  & Developer : -Immediate Opening with our Top MNC Client Pune/Hyderabad Location. |,Cobol|JCL|DB2|CICS|Vsam|
AS 400  CLLE RPGILE DB2,ABACUS STAFFING & SERVICES PRIVATE LIMITED,Noida,7-9years,Not Specified,Looking for AS 400 Admin for one of our clients in Noida location,As400|Rpgle|Clle|DB2|Java|
DB2 Database administration,Empserv Private Limited,Mumbai,5-15years,Not Specified,IBM DB2 Administrator,IbmDb2Database|IbmDb2|
IMS DB,Sunsea E Services Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,•	5-8 years of strong hands on experience in Mainframe technology,ImsDb|Pl1|Cobol|CICS|DB2|JCL|Itil|Sdlc|
COBOL (Mainframe) Developer,POSIDEX TECHNOLOGIES PVT LTD,Chennai|Mumbai,3-5years,520000 - 740000 INR,We are looking for COBOL programmers  who write and work  with computer programs  using COBOL,MainframeProgrammer|Cobol|SdlcLifeCycle|DB2|Linux|IbmMainframe|As400|
Immediate requirement DB2-Support,Omnino Solutions Private Limited,Hyderabad/Secunderabad,1-4years,Not Specified,"1.Maintain database backup and recovery infrastructure |     2.Ensure database integrity, stability and system availability |     3.Monitor database performance and recommend improvements for operational efficiency",DB2support|DataBaseAdmin|DB2|Dba|DatabaseAdmin|DataBaseAdministration|
Techno Functional Consultant  Techno Functional,Quess IT Staffing (Formerly known as Magna Infotech),Mumbai|MumbaiCity|NaviMumbai|Thane,3-12years,Not Specified,"• Design, build, integrate and test new changes in Life Asia/Group Asia application. • Provide solutions and design for Life Asia/Group Asia application.• Provide first level support to incidents reported •Conduct internal training",CL/400|AS/400|OS/400|As400|Cobol400|Db2400|
Mainframe Developer,Provizor It services Private Limited,Hyderabad/Secunderabad,5-7years,Not Specified,Mainframe Developer,MainframeDeveloper|DB2|CICS|Cobol|
Data Engineer,3i Infotech Limited,Bengaluru/Bangalore|Mumbai,3-6years,Not Specified,Looking for Data Engineer,OLAPDeveloper|DataEngineer|Oracle|Sql|DB2|AWS|Gcp|Azure|
Full Stack Developer,Angel And Genie,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-12years,Not Specified,"Java web development experiences knowing Spring, Spring MVC, Hibernate and Javascript.",Java|Javascript|Spring|Mvc|Hibernate|HTML|CSS|Tomcat|Websphere|Mysql|DB2|Oracle|
AS400 RPG developer,Vinirma Consulting Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,Minimum 3 years’ experience in AS400 development.,rpgdeveloper|SQLRSQLRPGLE|As400|Rpg|Rpg400|Rpgle|Cl400|Clle|DB2|Aldon|Ile|
SQL Developer – Kolkata – Salary 7L CTC – 4-6yrs Exp,ALLEGIS SERVICES (INDIA) PRIVATE LIMITED (RPO),Kolkata,4-6years,Not Specified,SQL Developer – Kolkata – Salary 7L CTC – 4-6yrs Exp,DB2DB|SqlDevelopment|SQLDeveloper|MSSQL|
NGI Developer for Bahrain,Navigator Systems Private Limited,Bahrain,5-10years,Not Specified,"urgent hiring for NGI Developer for Bahrain.IIB, BPM, JAVA, MQ, DB2, Solution architecture, AWS, NodeJS, Frontend framework(Bootstrap, Angular), Technical Documentation.",NGI|Frontend.|Iib|BPM|Java|Mq|DB2|AWS|Nodejs|
Mainframe Developer,Sellcraft Global Solutions Private Limited,Bengaluru/Bangalore,5-9years,Not Specified,Opportunity with leading E-commerce domain project.,MainframeDeveloper|Mainframe|Cobol|Cobol|JCL|Vsam|CICS|DB2|
DB2  Administrator,Future Focus Infotech Private Limited,MumbaiCity|NaviMumbai|Thane,5-7years,Not Specified,We have a requirement for DB2 administrator for one of our esteemed clients based out of Mumbai.,Db2DatabaseAdministration|MongoDB|PostgreSQL|MYSQL|OracleDatabase|
Mainframe Developer,Jupiter Consulting,Mumbai|Pune,3-8years,Not Specified,Urgent Opening Mainframe Developer (+3 YEARS & Location PAN INDIA) |,Cobol|Mainframe|JCL|DB2|Vsam|Mainframedeveloper|IbmMainframe|
Mainframe DB2 ZOS : -Immediate Opening with our Top MNC Client-Bangalore  Location .,Best infosystems Ltd,Bengaluru/Bangalore,5-12years,Not Specified,Mainframe DB2 ZOS : -Immediate Opening with our Top MNC Client-Bangalore  Location .  |,MainframeDB2ZOS|DB2|JCL|IbmDb2|
Mainframe Developer,CGI Information Systems and Management Private Limited,Pune,4-10years,Not Specified,Hiring Mainframe Developer for MNC IT industry in Pune,DB2developer|Cobol|JCL|Mainframedeveloper|DB2|
MAINFRAME-TECHNICAL LEAD,Orcapod Consulting Services Private Limited,Chennai,7-10years,Not Specified,Looking for MAINFRAME-TECHNICAL LEAD,Cobol|Eztrieve|JCL|CICS|Vsam|DB2|
