jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
MSSQL DBA,Simple Logic IT Private Limited,MumbaiCity,3-8years,Not Specified,"- Install, configure & maintain MSSQL Standalone & Clustered databases |  - Migration of Databases from 2005/2008/2008 R2 to 2014/2016/2012 |  - Performance Optimization Instance and QUERY level |  - Backup and restore Management |",MSSQLDataBaseAdministrator|SSIS|Replication|Clustering|PerformanceTuning|Mssql|
Online Data Entry / Form Filling  / Part Time Computer Operator,Aaryan Technology,Pune|Aurangabad,0-5years,210000 - 350000 INR,Online Data Entry / Form Filling  / Part Time Computer Operator,Fresher|OnlineDataEntry|DataEntryOperator|DataEntryOfficer|FormFilling|DataEntryExecutive|DEO|DataEntry|DatabaseAdministrator|DataBaseAdministrator|ComputerOperator|Dba|DatabaseAdmin|DataBaseAdministration|
Online Form Filling,Aaryan Technology,Pune|MumbaiCity,0-5years,210000 - 350000 INR,Online Form Filling,OnlineDataEntry|DataEntryOperator|DataEntryOfficer|FormFilling|DataEntryExecutive|DEO|DataEntry|DatabaseAdministrator|BackOffice|DataBaseAdministrator|ComputerOperator|Dba|DatabaseAdmin|DataBaseAdministration|
Online Data Entry / Form Filling / Data Base Administrator /  Computer Operator,Aaryan Technology,Pune|NaviMumbai,0-5years,210000 - 350000 INR,Online Data Entry / Form Filling / Data Base Administrator /  Computer Operator,OnlineDataEntry|DataEntryOperator|DatabaseAdministrator|BackOffice|BackOfficeExecutive|DataEntry|Dba|DatabaseAdmin|ComputerOperator|
Data Entry Operator,Aaryan Technology,Pune|Sangli,0-5years,210000 - 350000 INR,Urgent Hiring for Fresher/Online Data Entry/Data Entry Operator/Data Base Administrator/Data Entry Officer/Form Filling and AD Posting kind of Data Entry jobs with 0-5 Yrs Exp-Candidate can work from any locations-for more info- Contact @ 7499592230,OnlineDataEntry|DataEntryOperator|DatabaseAdministrator|BackOffice|BackOfficeExecutive|DataEntry|Dba|DatabaseAdmin|ComputerOperator|
Fresher / Online Data Entry / Form Filling / Data Base Administrator /  Computer Operator,Aaryan Technology,Pune|Kolhapur,0-5years,210000 - 350000 INR,Urgent Hiring for Fresher/Online Data Entry/Data Entry Operator/Data Base Administrator/Data Entry Officer/Form Filling and AD Posting kind of Data Entry jobs with 0-5 Yrs Exp-Candidate can work from any locations-for more info- Contact @ 7499592230,OnlineDataEntry|DataEntryOperator|DatabaseAdministrator|BackOffice|BackOfficeExecutive|DataEntry|Dba|DatabaseAdmin|ComputerOperator|
Oracle DBA Dba Database Administrator,JDC Recruitment Services,Ahmedabad|Bengaluru/Bangalore,4-8years,500000 - 600000 INR,Deep knowledge of infrastructure landscapes including underlying infrastructure concepts  |  Preferred on OCP certification in Oracle 11g & 12c  |  Should be well versed on Database migration methodologies.  |,SAPOSM|ERPOSM|SAP11G|ERP11G|SQLSERVER11G|UNIX11G|RDBMS11G|Oracle|Sql|SybaseOSM|SQLOSMm|SqlServerOsm|UnixOsm|RDBMSOSM|Db2Osm|SQL11G|Sybase11G|10g|
MySQL Developer,Akken Technologies Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,"We are looking for a MySQL developer who will be responsible for designing databases and ensuring their stability, reliability, and performance. You will help solve all database usage issues and come up with ideas that can help avoid such problems.",DataWarehouseDeveloper|Mysql|SQLDeveloper|SQLserver|DatabaseDeveloper|
Database Analysts and Data Administrators Req in Canada OINP,I2canz Outsourcing Private Limited,Australia|Canada,2-10years,3050000 - 5050000 INR,"Database analysts design, develop and administer data management solutions using database management software. Data administrators develop and implement data administration policy, standards and models. They are employed in information technology",DatabaseAdministrator|Design|DataAnalysis|DataAnalyst|Dba|DatabaseAdmin|DataBaseAdministration|OracleDba|DataBaseAdministration|DataCentreSolutions|OracleDatabaseAdministrator|Oracleadministrator|
Hiring - Mongo DB Administrators - Contract - Bangalore,Techcom Solutions India Private Limited,Bengaluru/Bangalore,5-10years,Not Specified,"Administer and troubleshoot MongoDB databases and including security patching, data access tuning, capacity planning, and schema design |  Use Atlas monitoring tools to proactively monitor Database and Applications |  Support in developmentof MongoDB CI/CD","MongDBAdministration|""mongodbadmin""|""mongodbadministrator""|"
SAP BODS Consultant@ Client Location,Siera IT Services Private Limited,Hyderabad/Secunderabad,7-12years,Not Specified,SAP BODS Consultant@ Client Location,sap|Bods|Hana|
ORACLE DBA,C P Careers Private Limited,Bengaluru/Bangalore|Chennai,8-15years,1800000 - 2500000 INR,∙ Experience in working with a large scale enterprise client |  ∙ Experience in the production support environment |  ∙ Excellent communication skills and have experience in taking On-Call support |  handling P1/Sev1 tickets. |  ∙ Experience in managing,Design|Develop|RHEL/CentOS|OracleCloud.|Rman|AWS|Azure|Backups|PL/SQL|UNIX|Asm|Rac|
Redshift DBA,Millennium Ims Private Limited,Bengaluru/Bangalore|OtherIndia,5-8years,Not Specified,Total Experience - 5+ years |  Relevant Experience - 2 years in Redshift |  Location - Remote |  Shift - US Shift,Dms|Redshift|Cluster|AWS|Cloudwatch|Lambda|Iam|
Oracle Apps DBA,Freelancer Deepika D Bidri,Bengaluru/Bangalore|Pune,4-10years,Not Specified,Oracle Apps DBA with overall 4-10yrs of Relevant exp. Should have worked extensively on Upgradation from Any Version to 12.2.2 onwards |  Loc: Pune / Bangalore /Mumbai/Noida/Hyderabad/Chennai,OracleAppsDataBaseAdministrator|OracleAppsDataBaseAdministratorConsultant|ApplicationDBA|OracleAppsDba|OracleApplicationDba|OracleDba|
MongoDB DBA,Sonyo Management Consultants Private Limited,Pune|Thiruvananthapuram/Trivandrum,7-12years,Not Specified,Looking for MongoDB DBA,Linux|AWS|Nosql|BashScripting|DatabaseAdministration|
MySQL/POSTGRESQL/CLOUDSQL DBA,Kbridge Consulting Services Private Limited,Bengaluru/Bangalore,4-9years,Not Specified,"1)	Provision MySQL/PostgreSQL instances |  2)	Handle common DB procedures like Upgrade, Backup, Recovery , Troubleshooting and Migration |  3)	Good Understanding of MySQL and PostgreSQL Architecture  |  4)	Experience in building replication [BIN LOG/GTID ]  |",MySQL/PostgreSQL|
SQL Developer,Proteus Technologies Private Limited,Mumbai|MumbaiCity,2-5years,Not Specified,Experience of SQL is mandatory |  Experience in Jasper Report/ Crystal Reports |  Creating and Designing Tables,Procedures|Packages|CrystalReport|Sql|Pl-sql|SQLserver|Mysql|Tables|Joins|StoredProcedure|Functions|Views|Triggers|Forms|Cursors|JasperReports|
SQL Programmer / DBA,Comfyi Solution,Chennai,0-5years,Not Specified,To work as a programmer in SQL server.Walkin for an interview immediately with 2 hard copies of resumes for a technical interview to the below address.,"""SqlserverDBA""|""SQLServerDeveloper""|""mysql""|SQLProgrammer|Tsql|Triggers|"
Database analysts and data administrators - Canada,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,3-8years,2000000 - 3400000 INR,"Database analysts design, develop and administer data management solutions using database management software. Data administrators develop and implement data administration policy, standards and models.",DatabaseAdministrator|databaseanalyst|DataModelling|DataMining|DatabaseManagement|
Windows 10 Exchange Server Technician Call Ruby 8553281886,White Horse Manpower Consultancy Private Limited,Bengaluru/Bangalore,3-8years,300000 - 500000 INR,"1, Engineering graduate, Good communication, Analytical skills, knowledge on windows architecture, 2, Knowledge on Server Technologies, Hands-on on AD, DNS, DHCP, File Server, Hyper-V, VMWare, Antivirus Infrastructure",Technician|AD|Hyper-V|AntivirusInfrastructure|WindowsArchitecture|Sql|Dns|DHCP|FileServer|Vmware|Server|ExchangeServer|
Oracle Apps Dba,Orcapod Consulting Services Private Limited,Bengaluru/Bangalore,4-7years,Not Specified,•	Experience of following is mandatory: |  - DBA Support of Oracle E-Business Suite R 12.2  |  - Oracle Application Server 9i and/or 10g |  - Oracle Weblogic server  |  - Oracle Database 10 and/or 11g |  •	Experience of Linux and RAC is highly desirable. |,ApplicationDBA|OracleAppsDba|OracleApplicationDba|
Database analysts and data administrators - Canada,A V Immigration And Careers Consultancy Private Limited,Australia|Canada,9-14years,2000000 - 3400000 INR,"Database analysts design, develop and administer data management solutions using database management software. Data administrators develop and implement data administration policy, standards and models.",DatabaseAdministrator|databaseanalyst|DataModelling|DataMining|DatabaseManagement|
Oracle DBA for Bahrain,Vinirma Consulting Private Limited,Bahrain,3-7years,Not Specified,Urgent hiring for Oracle DBA for Bahrain. Oracle DBA with experience in Java programming.,Java.|OracleDba|
Oracle DBA Consultant,Siera IT Services Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,5-10years,Not Specified,Urgent Requirement For ORACLE DBA Consultant @ Client Location. |   |,GoldenGate|OracleDba|
