jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Software and Application Programmers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,9-14years,1800000 - 3400000 INR,"design, develop, test, maintain and document program code in accordance with user requirements, and system and technical specifications.",ApplicationProgrammer|SoftwareProgrammer|SoftwareDesign|Testing|Debugging|
Software and Application Programmers - Australia,A V Immigration And Careers Consultancy Private Limited,Australia,3-8years,1800000 - 3400000 INR,"design, develop, test, maintain and document program code in accordance with user requirements, and system and technical specifications.",ApplicationProgrammer|SoftwareProgrammer|SoftwareDesign|Testing|Debugging|
Python Developer with Django and Web Apps,Encora Innovation Labs India Private Limited,Bengaluru/Bangalore,5-12years,Not Specified,Looking for Python Developer with Django and Web Apps,PythonDeveloper|Django|WebApps|Debugging|Saas|Python|
SW C Development,Hissar IT Services,OtherIndia,4-8years,Not Specified,SW C Developer is responsible for analysis and implementation of Autosar based software component for ADAS sensor ECU.,SWCDevelopment|ECUtesting|Embedded|EmbeddedC|Debugging|JIRA|Git|Testing|
Software Developer- Pharmaceutical for Kandivali,VHB Medisciences Limited,MumbaiCity,5-15years,Not Specified,"Should be expert-ASP.Net and VB.net, troubleshooting",Troubleshooting|Debug|Software|Debugging|Softwaredeveloperer|
Backend Developer,SnapHunt Pte Ltd,Bengaluru/Bangalore,1-4years,400000 - 700000 INR,Evaluating user feedback and working on delivering winning products. Working with teams and writing robust and efficient code. |,Javascript|Node.js|Mysql|SoftwareEngineer|Debugging|
Java AWS Architect,Provance Business Consulting Private Limited,Hyderabad/Secunderabad|Pune,4-12years,Not Specified,Java AWS Architect with 12 years of experience,AWSS3BUCKETSEFSCLOUDMATCHEC2&JAVA|BUGFIXINGREGREINGTESTINGBugFixing|Debugging|
Network Administrator/PR Visa/Canada/Australia/Hongkong,Adal Immigrations LLP,Australia|Canada,2-7years,2500000 - 5000000 INR,"|  Troubleshoot, diagnose and repair office equipment such as desk phones, printers, scanners and fax machines. |   |  Supporting LANs, WANs, network segments, Internet, and intranet systems. |   |",TroubleShooting|Installation|Maintenance|Repair|Breakdown|NetworkAdministrator|NetworkAdmin|SystemEngineer|SystemAdministrator|Configuration|TechnicalSupport|Debugging|
Software Developer Trainee  software engineers,Hudson Agile Ventures Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
Angular Developer,SnapHunt Pte Ltd,Pune,2-4years,400000 - 800000 INR,Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.,Javascript|HTML|CSS|Angular|SoftwareEngineer|UnitTesting|Debugging|
Web Developer,Sumedha Management Consultancy,Faridabad,1-2years,110000 - 220000 INR,"Need a junior web developer with better knowledge in HTML, CSS3, JAVA SCRIPT, J QUERY , WORD PRESS ETC",Photoshop|Html5|WebDevelopment|JQuery|Debugging|chrome|Wordpress|Javascript|
Sr.Net full stack developer,C P Careers Private Limited,Chennai|Noida,5-10years,1100000 - 2000000 INR,Job description |   |  We are hiring .Net full stack developer for Noida office |  Total Exp :5 + yrs to 10 yrs |  Notice Period : Immediate to 30 days only |  Domain experience: Logistic (Added advantage),SQLServer&Angular4/5/6|atabaseschema(SPs/triggers)design|developmentandoptimizationwithRDBMSdatabase|strongdesign|codinganddebugging|icrosoftdesignpatterns|developmentbestpractices|applicationblocks|Tools|ASP.NET|Mvc|C#|
Flutter Develper,Avionic Consulting Solutions,Ahmedabad,1-2years,Not Specified,Upsquare is made of energetic people who play well and work hard (and smart!). You get inspired to do your best when you work with the Upsquare team.,FlutterDevelper|PN.Debugging|Kotlin|Firebase|MaterialDesign|Database|Oop|Apis|Gitlab|
Design Verification Engineer,Vitestork Consulting Private Limited,Bengaluru/Bangalore|Hyderabad/Secunderabad,4-9years,Not Specified,Strong System Verilog coding and debugging skills with in-depth knowledge of all the OOPs concepts |   |  4-8 years of experience |   |   |   |,SystemVerilog|Debugging|OopsConcepts|
Embedded Tech Lead developer,SnapHunt Pte Ltd,Bengaluru/Bangalore,6-8years,Not Specified,we have opportunity for embedded tech lead position for bangalore location.Looking for candidates who has 6-8 Years of experience into same field.,serialprogramming|C|EmbeddedFirmware|DeviceDrivers|ConfigurationManagement|Debugging|
AR Developer,Marvell India Private Limited,Mohali,1-3years,240000 - 480000 INR,Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review. Troubleshooting and debugging to optimise performance. |,ContinuousImprovement|SoftwareEngineering|SoftwareDevelopment|Debugging|TechnicalDocumentation|AugmentedReality|
5G NR DSP FW - Senior Staff Engineer,Career Carnival LLP,Bengaluru/Bangalore,8-12years,Not Specified,"8+ years of experience in developing L1 SW for Mobile Wireless Standards such as 5GNR, LTE, WiMAX, WCDMA/HSPA+.",5GNR|Wimax|HSPA+|Real-timeOS|ARMCPU|Real-timeimplementation|Validation|Lte|Wcdma|C++|Debugging|SystemTest|
Python  Technical Manager,Marvell India Private Limited,Pune,11-14years,2800000 - 3000000 INR,Position - Technical Manager |  Location - Pune |  Experience - 11-14 Years |  Salary - 28-30 LPA (including 13% performance bonus),Python|AWS|Linux|Agile|Java|C#|C++|.NET|Tdd|Debugging|
5G NR DSP FW - Senior Staff Engineer,Maxo Tech Solutions LLC,Bengaluru/Bangalore,10-15years,Not Specified,"10+ years of experience in developing L1 SW for Mobile Wireless Standards such as 5GNR, LTE, WiMAX, WCDMA/HSPA+.",5GNR|Wimax|HSPA+|Real-timeOS|ARMCPU|Real-timeimplementation|Validation|Lte|Wcdma|C++|Debugging|SystemTest|
Manual Tester Opening for Hyderabad Location,Sumedha Management Consultancy,Hyderabad/Secunderabad,2-5years,Not Specified,Manual Tester Opening for Hyderabad Location for Experienced Candidates,"""ManualTester""|""ManualTesting""|""ManualCases""|""ManualScripts""|""SmokeTesting""|""FunctionalTesting""|""SanityTesting""|""RegressionTesting""|""Debugging""|""SDLC""|""STLC""|"
Programmer HTML,Brainworks Business Solutions Private Limited,Faridabad,0-4years,110000 - 260000 INR,Urgent requirement of web developer for Faridabad location in a company of repute.,Photoshop|Illustrator|CorelDraw|Css3|Javascript|Html5|jQuery|Debugging|chrome|Firebug|
Engineer,Brainworks Business Solutions Private Limited,Bengaluru/Bangalore,2-4years,400000 - 500000 INR,Position : Engineer |  Experience : 2 to 4 |  Package : up to 5 lac,GoodknowledgeFullStack|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
Junior Engineer,A V Immigration And Careers Consultancy Private Limited,Bengaluru/Bangalore,1-2years,300000 - 350000 INR,Position : Junior Engineer |  Experience : 1 to 2 |  Package : up to 3 lac,GoodknowledgeReactJS|stronginproblemsolvingandanalyticalskills|DebuggingandReviews|
