jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Sales Coordinator EL Overseas - (Hyderabad),C P Careers Private Limited,Hyderabad/Secunderabad,4-5years,400000 - 450000 INR,"|  Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
Sales Coordinator EL Overseas - (Mumbai),Randstad Offshore Services Private Limited,Mumbai,4-5years,400000 - 450000 INR,"|   |  Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
Sales Coordinator EL Overseas - (Pune),ECA Global Education India Private Limited,Pune,4-5years,400000 - 450000 INR,"Ensuring the deliverables is met through effective planning and execution. Facilitate Disbursement, PDD and Collection activities. Endeavour to make Avanse a brand of first choice within our customer segment.",InterpersonalSkills|communication|Negotiation|DecisionMaking|Flexibility|
trainee hr executive,Venture-one Concepts Private Limited,Bengaluru/Bangalore|Chennai,8-15years,1800000 - 2500000 INR,"Responsibilities: |   |  • Hiring potential resources through campus, off campus, social media and external |  consultants |  • Plan and organize Onboarding process |  • Redressing the grievances of employees |  • Enhance job satisfaction by resolving issues promptly,",GoodListening|Goodattention|DecisionMaking|
Claims Analyst,Expertia Ai Technologies Private Limited,Hyderabad/Secunderabad,3-7years,Not Specified,"Skills necessary include analytical reasoning, confidential professionalism, positive attitude, prompt accurate decision making, and friendly demeanor in all communications (internal and external).",AnalyticalReasoning|CLAIM|ANALYST|DecisionMaking|COMPLAINCE|
Admission Assessment Officer,Os Consultancy,Ahmedabad,1-3years,220000 - 330000 INR,Job responsibilities |   |  1Assessment of the Applications |  2)Issuing of the conditional and full offer letters |  3)Conducting Interviews |  4)GTE Check of the Applicant |  5)Uploading the Applications |  6)Requesting of CoE |  7)Follow ups from the a,CorporateCommunication|InternalCommunication|Assessment|FastLearner|EnglishLanguage|DecisionMaking|
Chief Strategy Officer,I Square Consultancy,Mysore,5-15years,Not Specified,|                                  |                              |                                  |,
Operations Manager / Executive/ Head/ Support/ Analyst,INDIA INTERNATIONAL TECHNICAL RECRUITERS,Delhi|Gurgaon/Gurugram,3-8years,420000 - 860000 INR,We are hiring for Operations Manager / Executive/ Head/ Support/ Analyst |      Experience: 3-5 years,EmployeeManagement|InventoryManagement|VisualMerchandiser|CostManagement|ConflictManagement|Organization|Decision-making|PeopleManagement|DataEntrySkills|Dataprocessingskills|
Area Sales Manager ( Filed Work ),INDIA INTERNATIONAL TECHNICAL RECRUITERS,Vadodara,3-10years,200000 - 600000 INR,"Business development , Customer Relationship, Customer coordination, customer order booking , customer as per order payment collection , customer order as per goods delivery |     (https://amartinteriors.com/)",RetailSales|InsuranceSales|PresentationSkill|SalesAndMarketing|BusinessDevelopment|decisionmakingskillsMarketing|
Sr Manager-Manufacturing & Design,SR Group,OtherIndia,12-18years,Not Specified,To execute the works in tool room dept. as assigned by in charge.,DieToolMaking|DieMaking|
Electronic Components  -Batch Making,Issac Technologies Private limited,NaviMumbai,2-7years,160000 - 210000 INR,"A well electronic manufacturing company in Navi Mumbai is looking for Batch making in Store department  |   |  Key Skills : Batch making, Production ,Store,Electronic components,etc |   |","""Batchmaking""|BatchProcessing|ElectronicComponents|""ElectronicsBatchrecords""|""Store""|""Production""|ElectronicDevices|SMTTechnician|""Electronictechnician""|""Semiconductor""|BatchScripting|"
URGENT OPENING FOR COOK-BARISTA PIZZA IN KUWAIT,INDIA INTERNATIONAL TECHNICAL RECRUITERS,Kuwait,3-6years,Not Specified,Looking for cook-barista pizza for kuwait |  Salary 200KD |,COOK-BARISTAPIZZAMAKINGEXPERIENCEMUST|
Decision Analyst - Risk Analytics,INDIA INTERNATIONAL TECHNICAL RECRUITERS,Mumbai,3-5years,Not Specified,"The candidate will be expected to manage cross functional interactions with Underwriting, Risk Policy and Technology teams in order to implement product policy changes ; Responsible for configuring business rules defined by product risk policy ;Valid",BusinessRuleEngine|decisionmanagementplatform|blazeruleengine|riskframeworkShareJobLinkonSocialMedia|
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,INDIA INTERNATIONAL TECHNICAL RECRUITERS,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |   Interviews is May , 2021 |                           |         Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                         |         share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
STAFF NURSES- Online interviews for Nurses for NHS Trusts UK,India Travel Group,UK,1-11years,Not Specified,"Interviews for various NHS Trust Hospitals (Govt.)UK |  Interviews is May , 2021 |                          |        Salary-NHS Band 5 salary-£27906 (Rs. 25 lakhs) + attractive benefits |                        |        share your CV at [HIDDEN TEXT] |",Nurse|StaffNurse|Gnm|Registerednurse|Uk|NHS|NMC|unitedkingdom|NMCDecisionLetter|
PRODUCTION MANAGER,Manheer Singh (Proprietor Of BigBoss Decor),Ludhiana,7-17years,409999 - 1240000 INR,"SPECIALLY FOR I BEAM, GIRDER MANUFACTURING FOR RAILWAY BRIDGES",ThoseCompanyMakingRailwaysBridgesKnowledgeOfHeavyFabrication|Welding|Cutting|Painting&OperationofallProduction.|
