jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Hiring for Technical Support Voice Call Shruti 8777584221,One Degree North Human Resource,Bengaluru/Bangalore,0-3years,Not Specified,iring for Technical Support Voice Call Shruti 8777584221,Undergraduate|CallCenter|Bpo|ExcellentCommunication|International|
TPRM opening for Big four,One Degree North Human Resource,Hyderabad/Secunderabad|Pune,2-6years,Not Specified,TPRM opening-Third Party Risk management,TPRM|itgc|ITaudits|Cisa|SECURESOFTWAREDEVELOPMENT|Cissp|securesoftware|WellsFargo|Capgemini|Accenture|ValencyNetwork|PWC|AxisBank|KPMG|InformationSecurityRisk|RsaArcher|Isms|Iso27001|Cryptography|CyberSecurity|Ibm|
BIG FOUR hiring for Data Analyst/Business Analyst in Market/Credit Risk,One Degree North Human Resource,Bengaluru/Bangalore|Mumbai,2-10years,Not Specified,Data Analyst/Business Analyst in Credit/Market Risk.,DataAnalyst|BusinessAnalyst|TradeRisk|MarketRiskAnalyst|BA|Pd|ProbabiofDefault|lossgivendefault|lgd|ead|Exposureatdefault|SASCodes|RiskTransormation|CreditRisk|CreditStressModels|SFT|OTC|ETD|Pythonlity|Seniorbusinessanalyst|Sql|
"""HIRING FOR CUSTOMER SUPPORT FOR INTERNATIONAL AND DOMESTIC VOICE",One Degree North Human Resource,Bengaluru/Bangalore,0-5years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away.  |     We are hiring for below listed designations for multinational companies  |,CustomerService|CustomerSupport|CustomerServiceExecutive|VoiceProcess|InternationalBpo|CallCenter|Bpo|InternationalCallCenter|Voicesupport|Domestic|TechnicalSupport|TechnicalSupportEngineer|
Hiring  for Technical voice process,One Degree North Human Resource,Bengaluru/Bangalore,0-2years,Not Specified,Hiring  for Technical voice process,VoiceProcess|CustomerSupport|VoiceProcess|Voicesupport|InternationalCallCenter|Bpo|CallCenter|InternationalBpo|Outbound|CustomerCareExecutive|Inbound|TechnicalSupport|TechSupport|
HIRING FOR INTERNATIONAL AND DOMESTIC COMPANIES CONTACT HR PEARL 8971204530,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,150000 - 450000 INR,HIRING  INTERNATIONAL AND DOMESTIC COMPANIES CONTACT HR PEARL 8971204530,CustomerSupport|CustomerService|CustomerSupportExecutive|INTERNATINALVOICE|TechnicalSupport|
hiring for Technical voice  Domestic Voice Support,One Degree North Human Resource,Bengaluru/Bangalore,0-2years,Not Specified,hiring for Technical voice  Domestic Voice Support,Bpo|CallCenter|VoiceProcess|InternationalCallCenter|VoiceProcess|InternationalBpo|CustomerSupport|TechnicalSupport|
"Hiring for Software Testing Engineer, Ux Lead and React Developer",One Degree North Human Resource,Bengaluru/Bangalore,4-7years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away,UxLead|reactdeveloper|Javascriptcode|SoftwareTester|SoftwareTesting|Testing|UxDesign|UiDevelopment|graphicaluserinterface|
HIRING FOR INTERNATIONAL AND DOMESTIC BPO,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,HIRING FOR INTERNATIONAL AND DOMESTIC BPO,Bpo|VoiceProcess|InternationalCallCenter|DAYSHIFT|DayJob|CallCentre|Fresher|Inbound|Outbound|
HIRING FOR TOP MNC'S CONTACT HR SAFEENA 9798523811,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,50000 - 450000 INR,HIRING FOR TOP MNC'S CONTACT HR SAFEENA 9798523811,BPOExecutive|CustomerSupport|CustomerService|CustomerCareExecutive|InternationalVoice|US|Inbound|Bpo|TechnicalSupport|
Executive  Associate CSR Executive Technical Support TSR,One Degree North Human Resource,Bengaluru/Bangalore,0-5years,1210000 - 2530000 INR,HIRING!!!! |   INTERNATIONAL BPO |   CALL HR Sabatini : 9341818142 |   or Zubaida : 9343733535 |   or Keygen : 9342602201,tsrCustomerSupport|CsrVoice|CustomerSupportExecutive|Associate|Callcentre|CSR|Nightshift|TechnicalSupport|TechSupport|
Executive  Associate CSR Executive Technical Support TSR,One Degree North Human Resource,Bengaluru/Bangalore,0-5years,1210000 - 2530000 INR,HIRING!!!! |  INTERNATIONAL BPO |  CALL HR Sabatini : 9341818142 |  or Zubaida : 9343733535 |  or Keygen : 9342602201,tsrCustomerSupport|CsrVoice|CustomerSupportExecutive|Associate|Callcentre|CSR|Nightshift|TechnicalSupport|TechSupport|
HIRING MNC's CALL PRIYA@7595944662,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,HIRING ROTATIONAL OFF CALL PRIYA@7595944662,"""csr""|""customercare""|""voiceprocess""|""callcenter""|""inboundcalling""|"
HIRING FOR DELL FOR TECHNICAL SUPPORT VOICE CALL 9343733547,One Degree North Human Resource,Bengaluru/Bangalore,0-5years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away,Bpo|CallCenter|VoiceProcess|InternationalCallCenter|TSR|TSE|VoiceProcess|Females|CustomerSupport|CustomerService|CustomerCare|TechnicalSupport|TechSupport|TechnicalSupportExecutive|
"HIRING FOR 247, FIRST SOURCE, HGS, AZUGA FOR INTERNATIONAL VOICE",One Degree North Human Resource,Bengaluru/Bangalore,0-5years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away.  |    We are hiring for below listed designations for multinational companies  |     |,"""bpo""|CallCenter|VoiceProcess|InternationalCallCenter|""Customersupport""|CustomerService|CustomerCare|CustomerSupportExecutive|CustomerCareExecutive|""CSR""|""CSA""|""CSE""|""TSR""|VoiceProcess|InternationalBpo|Outbound|VoiceSu|TechnicalSupport|"
Hiring for mnc CALL SHRUTI @ 8777584221,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,HIRING WITH AN ATTRACTIVE SALARY PACKAGE Call SHRUTI @ 8777584221 and mail at [HIDDEN TEXT],Bpo|VoiceProcess|InternationalCallCenter|CustomerCareExecutive|BPOFresher|
Hiring for voice process Work from home,One Degree North Human Resource,Bengaluru/Bangalore,1-2years,Not Specified,"voice process, customer services, domestic voice process,international voice process,",CustomerSupport|CustomerService|CustomerCare|CustomerSupportExecutive|CustomerCareExecutive|VoiceProcess|CallCenter|Bpo|Voicesupport|Inbound|Outbound|
"day shift  Ecommerce job opportunities, MNC 9342602201",One Degree North Human Resource,Bengaluru/Bangalore,0-5years,Not Specified,"day shift  Ecommerce job opportunities, MNC 9342602201",csr|TSR|customerservice|Technical|Agent|Associate|rep|representative|Job|Jobs|Support|
Hiring For MNC CALL SHRUTI 8777584221,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,Call SHRUTI @ 8777584221 and mail at [HIDDEN TEXT] |  BEST COMPANIES HIRING WITH AN ATTRACTIVE SALARY PACKAGE!!!!,"""graduate""|""fresher""|""undergraduate""|""bpo""|""InternationalCallCenter""|"
Hiring for MNC CALL  SHRUTI 8777584221,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,|  Call SHRUTI @ 8777584221  |  FRESHER AND EXPERIENCE CANDIDATE WORKED WITH INTERNATIONAL CUSTOMER CARE CAN APPLY.,Inbound|Ccr|Voice|Outbound|InternationalBpo|Domestic|
HIRING FOR INTERNATIONAL AND DOMESTIC VOICE PROCESS PLEASE CALL ON 9343733547,One Degree North Human Resource,Bengaluru/Bangalore,0-5years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away.  |  We are hiring for below listed designations for multinational companies  |,"""BPO""|CallCenter|VoiceProcess|InternationalCallCenter|ICC|InternationalBpo|BPOCallCentre|CustomerCareExecutive|CallCenterExecutive|BPOFresher|CSR|Csa|CSE|TSR|Cso|CustomerSupport|Customerservice|Customercare|TechnicalSupport|TechSuppor|"
HIRING FOR NON VOICE CALL 9343733547,One Degree North Human Resource,Bengaluru/Bangalore,1-3years,Not Specified,Huge job opportunities under one roof!!Spot offers!!Make the best use of the opportunity. Your hunt is just a call away.  |  We are hiring for below listed designations for multinational companies  |,"""BPO""|VoiceProcess|Nonvoice|UKShift|graduates|ExcellentCommunicationskills|B.A|CallCenter|Bcom|Bba|Bsc|Bbm|MA|"
hiring for bpo,One Degree North Human Resource,Bengaluru/Bangalore,0-4years,Not Specified,"international bpo,international call center,bpo,'customer care executive','bpo fresher',us mortgage,chat process,technical support,'technical support executive","InternationalBpo|InternationalCallCenter|Bpo|""customercareexecutive""|""bpofresher""|UsMortgage|chatprocess|""technicalsupportexecutive|technicalsupport|"
Non voice opening for Capita with weekends off,One Degree North Human Resource,Bengaluru/Bangalore,1-3years,Not Specified,Non voice opening max salary 17.5K,NonVoice|NonVoiceBPO|Accenture|Graduate|BA|Bcom|Bbm|Bba|Bca|Bsc|247|Digitalinteractive|Email|EmailandChat|Concentrix|Telligent|ECPL|FirstSource|TransactionProcessing|Email|Omega|Concentrix|Microsoftprocess|Itunes|webchat|Mphasis|
