jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Design Engineer,Pegasys Systems Pvt Ltd,Bengaluru/Bangalore|Delhi,0-5years,350000 - 650000 INR,"Fresher Design Engineer, Design Engineer Mechanical, Electrical, Embedded Systems, Civil",DesignEngineer|DesignEngineerMechanical|Electrical|EmbeddedSystems|Civil|
Design Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Pune,2-5years,400000 - 700000 INR,"Design, Integration, Testing, Installation of Automatic Shaft Straightening Machines",MechanicalEngineering|SensorSelection|MachineIntegration|Pneumatics|basicelectricals|teamworking.|Solidworks|
Design Engineer,Expertia Ai Technologies Private Limited,Cochin/Kochi/Ernakulam,1-6years,250000 - 450000 INR,Requirement for Design Engineer.,DesignEngineering|SheetMetalFabrication|SheetMetalDesign|SolidWorks|
A210187-Civil & Structural Design Engineer,Enigmasoft Technologies Private Limited,Hyderabad/Secunderabad,8-12years,Not Specified,Civil & Structural Design Engineer,CivilDesign|ConstructionEngineer|
VLSI Design Engineer,Leaders Hunt,Ahmedabad|Delhi,2-5years,450000 - 750000 INR,INTERESTED CANDIDATES PLEASE APPLY AS SOON AS POSSIBLE.,VHDL|Vlsi|DigitalElectronics|Modelsim|Hardware|VlsiDesign|Xilinx|ManagerTechnology|
Physical Design Engineer,Enigmasoft Technologies Private Limited,Bengaluru/Bangalore|Goa,2-5years,Not Specified,Hiring for Bangalore Location,Vlsi|VHDL|MOStransistors.Modelsim|MIMO|ASIC|HdlLanguages|Verilog|SystemVerilog|Eda|Fpga|
Structural Design Engineer,AGN Corporate Consultancy Services,Mumbai,12-16years,1400000 - 1800000 INR,We invite you to bring your expertise into play as you will provide the technical leadership to the team of Design engineers and CAD technicians for the projects assigned. To succeed in this role you must have BE/B. Tech degree in Civil Engineering.,•BE/B.TechdegreeinCivilEngineeringfromaninstituteofrepute.ME/M.TechinStructureswouldbedesirable|•Shouldhavemorethan12+yearsofexperienceinstructuraldesign.KnowledgeofISCodesisessential.|
VLSI Design Engineer,Career Mantra Management Services,Bengaluru/Bangalore|Goa,2-6years,Not Specified,Goa and Bangalore,FamiliarwithVHDL|Modelsim|leonardospectrum|Mplab|microcontrollerandmicroprocessor.|Verilog|Orcad|
Solidworks design Engineer Diploma Mechanical Machine design  Design engineer  Design Manager,Expertia Ai Technologies Private Limited,Mohali|Chandigarh,1-10years,Not Specified,Solidworks design Engineer Diploma Mechanical Machine design  Design engineer  Design Manager,MechanicalEngineer|Fresher|DesignManager/Engineer|DiplomaInMechanical|MachineDesign|Autocad|Solidworks|
OPENINGS FOR Civil DESIGN ENGINEER FRESHERS,Modelcam Engineering Private Limited(OPC),Mumbai|Pune,0-1years,120000 - 229999 INR,We have urgent openings for Civil Design Engineer for Freshers. We are looking for a talented and detail-oriented Design Engineer to join our creative team.As the Design Engineer all candidates should be creative thinkers with excellent skills. |   |,UgNx|DesignEngineer|AutoCad|Solidworks|
A210180-Electrical Design Engineer for Datacenters.,Diraa HR Services,Hyderabad/Secunderabad,10-12years,Not Specified,Responsible to design the Electrical works of Datacenter,ElectricalDesignEngineer|
Design Engineer in CREO,2COMS Consulting Private Limited,Pune,1-10years,Not Specified,Mechanical  Design  Engineers with CREO software required for casting domain. Engineers should be able work independently with minimum supervision. Job location is in Pune City. Candidates outside Maharashtra need not apply.,Creo|MechanicalDesignEngineer|castingdomain|3DModeling|
Mechanical Design Engineer,Quess IT Staffing (Formerly known as Magna Infotech),Coimbatore,1-3years,Not Specified,opening are going on mechanical design engineer,MechanicalDesignEngineer|
FPGA Design Engineer,Expertia Ai Technologies Private Limited,Bengaluru/Bangalore,5-15years,Not Specified,"FPGA Design Engineer:· Expertise in understanding, gathering and finalizing the requirements for FPGA design.· Should have worked on architecture into micro-architecture/detailed design· Competent in basic digital design concepts, interfacing,",
Mechanical Design Engineer,Ameuro Migration Private Limited,NaviMumbai,4-10years,Not Specified,"The Mechanical Engineer is responsible for design, development and testing of Mechanical hardware based on the mechanical architecture and the mechanical requirements within a project. Development of core and/or application specific mechanical",MechanicalDesignEngineer|ThermalDesign|Telecom|
A210177-Mechanical / HVAC Design Engineer for Datacenters,Z-Tech Solutions,Hyderabad/Secunderabad,8-12years,Not Specified,Responsible to design the HVAC and Mechanical works of Datacenter,HvacMechanicalEngineer|
Design Engineer required in Germany ( Contact 9899528132),Z-Tech Solutions,Germany,2-12years,4830000 - 5640000 INR,"Full time Job in Europe |  IELTS is not mandatory   |  Experience range is from 02 to 20 Years |  Graduation compulsory |  Salary Slab 4500 Euro- 8000 Euro/ monthly |  Employers may provide benefit like food and accommodation, medical benefits. |  Contact 9899528132",DesignEngineer|DesignManager|Design|CadDesign|Autocad|AutomobileEngineer|Manufacturing|Production|Btech|BeMechanical|Mtech|SrManager|MechanicalEngineer|Engineering|EngineeringManager|Designer|ProjectManager|Quality|
ARGENT REQUIREMENT FOR DESIGN ENGINEER,Systel Rugged Computers India LLP,Pune,0-5years,180000 - 190000 INR,"DESIGN ENGINEER FRESHERS & EXPERIENCE |   Job Details: Dip/BE Mechanical/Automobile Are any degree . Candidate should have knowledge of manufacturing As Well As Design i.e. Auto Cad,Solid Works,Solid edge, Uni graphics with good knowledge      |   8669702312",DesignEngineer|
Wanted Design Engineer - Freshers,Riju Karan (Proprietor Of Toyota Climax India),Chennai,0-1years,Not Specified,"Openings for Mechanical design Engineer, From 0 to 1 years   , with basic knowledge in Design ( Auto CADD - Solid Works & CATIA ) related terms , and should also be self motivated and good in work Efficiency |                  |",MechanicalEngineer|Catia|AutoCad|SolidWorks|
Wanted Design Engineer - Freshers,The NaukriWala,Chennai,0-1years,Not Specified,"Openings for Mechanical design Engineer, From 0 to 1 years   , with basic knowledge in Design ( Auto CADD - Solid Works & CATIA ) related terms , and should also be self motivated and good in work Efficiency |                 |",MechanicalEngineer|Catia|AutoCad|SolidWorks|
Mechanical Design Engineer,Expertia Ai Technologies Private Limited,NaviMumbai,2-8years,Not Specified,Mechanical Design Engineer in the Navi Mumbai location in India. We are a leading manufacturer of custom and COTS rugged computing products and solutions. The company has 30 yrs experience in providing complex and advanced computer technologies.,MechanicalDesignEngineer|AutodeskInventor|PackagedElectronics|
Mechanical Design Engineer,Expertia Ai Technologies Private Limited,Ahmedabad,1-4years,250000 - 440000 INR,Requirement of Mechanical Design Engineer.,DesignEngineer|MechanicalDesignEngineer|
