jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Graphic Design,Karyin HR Solutions,Ahmedabad,1-5years,10000 - 130000 INR,Minimum 1-2 years of working experience . |   |  Job Location Ahmadabad. |   |  Salary up to 15000.(PM),GraphicDesigner|
Design Engineer,Diraa HR Services,Bengaluru/Bangalore|Delhi,0-5years,350000 - 650000 INR,"Fresher Design Engineer, Design Engineer Mechanical, Electrical, Embedded Systems, Civil",DesignEngineer|DesignEngineerMechanical|Electrical|EmbeddedSystems|Civil|
Civil Design,AGN Corporate Consultancy Services,Chennai|Coimbatore,0-2years,Not Specified,immediate opening for civil design,BECivil|
Solidworks design Engineer Diploma Mechanical Machine design  Design engineer  Design Manager,Pegasys Systems Pvt Ltd,Mohali|Chandigarh,1-10years,Not Specified,Solidworks design Engineer Diploma Mechanical Machine design  Design engineer  Design Manager,MechanicalEngineer|Fresher|DesignManager/Engineer|DiplomaInMechanical|MachineDesign|Autocad|Solidworks|
Design Engineer,Expertia Ai Technologies Private Limited,Pune,2-5years,400000 - 700000 INR,"Design, Integration, Testing, Installation of Automatic Shaft Straightening Machines",MechanicalEngineering|SensorSelection|MachineIntegration|Pneumatics|basicelectricals|teamworking.|Solidworks|
A210187-Civil & Structural Design Engineer,Sapna Manish Sharma (Proprietor Of JBM India),Hyderabad/Secunderabad,8-12years,Not Specified,Civil & Structural Design Engineer,CivilDesign|ConstructionEngineer|
Design Engineer,Provance Business Consulting Private Limited,Cochin/Kochi/Ernakulam,1-6years,250000 - 450000 INR,Requirement for Design Engineer.,DesignEngineering|SheetMetalFabrication|SheetMetalDesign|SolidWorks|
DMA Design,Quess IT Staffing (Formerly known as Magna Infotech),Ahmedabad|Pune,2-7years,Not Specified,DMA Design,ArchitectureDesign|DMA|ASIC|RtlDesign|VHDL|Ethernet|Pci|
Mmwave Design,Jailaxmi Enterprises,NaviMumbai,8-15years,Not Specified,"The RF/Microwave Design Engineer will be responsible for participating in the development of state-of-the-art antennas. This position is within the Hardware Engineering Center (HWEC) Airborne RADAR Electronics Department in El Segundo, CA.",Rf|Microwave|Design|
VLSI Design Engineer,Enigmasoft Technologies Private Limited,Ahmedabad|Delhi,2-5years,450000 - 750000 INR,INTERESTED CANDIDATES PLEASE APPLY AS SOON AS POSSIBLE.,VHDL|Vlsi|DigitalElectronics|Modelsim|Hardware|VlsiDesign|Xilinx|ManagerTechnology|
Required Design Engineers,Enigmasoft Technologies Private Limited,Pune,0-3years,Not Specified,"We have urgent requirement for design engineers . |  job type :- on roll,full time  |  Required Experience :- 0 to 3 year  |  About software :- autocad , catia , ug-nx , solid work , |  About company:- core automobile sector",DesignEngineer|
Physical Design Engineer,Leaders Hunt,Bengaluru/Bangalore|Goa,2-5years,Not Specified,Hiring for Bangalore Location,Vlsi|VHDL|MOStransistors.Modelsim|MIMO|ASIC|HdlLanguages|Verilog|SystemVerilog|Eda|Fpga|
VLSI Design Engineer,Career Mantra Management Services,Bengaluru/Bangalore|Goa,2-6years,Not Specified,Goa and Bangalore,FamiliarwithVHDL|Modelsim|leonardospectrum|Mplab|microcontrollerandmicroprocessor.|Verilog|Orcad|
Structural Design Engineer,Expertia Ai Technologies Private Limited,Mumbai,12-16years,1400000 - 1800000 INR,We invite you to bring your expertise into play as you will provide the technical leadership to the team of Design engineers and CAD technicians for the projects assigned. To succeed in this role you must have BE/B. Tech degree in Civil Engineering.,•BE/B.TechdegreeinCivilEngineeringfromaninstituteofrepute.ME/M.TechinStructureswouldbedesirable|•Shouldhavemorethan12+yearsofexperienceinstructuraldesign.KnowledgeofISCodesisessential.|
OPENINGS FOR Civil DESIGN ENGINEER FRESHERS,Modelcam Engineering Private Limited(OPC),Mumbai|Pune,0-1years,120000 - 229999 INR,We have urgent openings for Civil Design Engineer for Freshers. We are looking for a talented and detail-oriented Design Engineer to join our creative team.As the Design Engineer all candidates should be creative thinkers with excellent skills. |   |,UgNx|DesignEngineer|AutoCad|Solidworks|
A210180-Electrical Design Engineer for Datacenters.,Orissa Doot Private Limited,Hyderabad/Secunderabad,10-12years,Not Specified,Responsible to design the Electrical works of Datacenter,ElectricalDesignEngineer|
Design Engineer in CREO,Expertia Ai Technologies Private Limited,Pune,1-10years,Not Specified,Mechanical  Design  Engineers with CREO software required for casting domain. Engineers should be able work independently with minimum supervision. Job location is in Pune City. Candidates outside Maharashtra need not apply.,Creo|MechanicalDesignEngineer|castingdomain|3DModeling|
Auto Cad Design Diploma,Quess IT Staffing (Formerly known as Magna Infotech),OtherIndia,0-3years,Not Specified,Opening for Auto Cad Design  in Bhubaneswar Location .,AutoCadDesignDiploma|3D|2DDesign|DesignEngineer|
Sr Manager-Manufacturing & Design,Diraa HR Services,OtherIndia,12-18years,Not Specified,To execute the works in tool room dept. as assigned by in charge.,DieToolMaking|DieMaking|
Mechanical Design Engineer,Jailaxmi Enterprises,NaviMumbai,4-10years,Not Specified,"The Mechanical Engineer is responsible for design, development and testing of Mechanical hardware based on the mechanical architecture and the mechanical requirements within a project. Development of core and/or application specific mechanical",MechanicalDesignEngineer|ThermalDesign|Telecom|
Mechanical Design Engineer,2COMS Consulting Private Limited,Coimbatore,1-3years,Not Specified,opening are going on mechanical design engineer,MechanicalDesignEngineer|
Hire Design Engineers,Sapna Manish Sharma (Proprietor Of JBM India),Pune,0-2years,Not Specified,"We have urgent Requirement for Design engineers. |  Job type :- on roll,full time  |  Required Experience :- 0 to 2 year  |  About company :- core automobile  sector  |  Required knowledge :- good technical skill |  Required Software :- Autocad , catia , ug -nx,",DesignEngineer|
FPGA Design Engineer,Vitestork Consulting Private Limited,Bengaluru/Bangalore,5-15years,Not Specified,"FPGA Design Engineer:· Expertise in understanding, gathering and finalizing the requirements for FPGA design.· Should have worked on architecture into micro-architecture/detailed design· Competent in basic digital design concepts, interfacing,",
